,Formation,n_train,n_holdout,MAE,RMSE,Std
0,SSXS,198,66,17.4,25.360320952947074,24.303527584869215
1,SSXbase,264,87,6.9,9.451135348816123,9.42379814534696
2,SHNNu,682,234,2.8,7.039588700499858,7.035336721015191
3,SHNNl,704,216,2.6,6.884952980156417,6.8811841963556715
4,SHNNbs,499,170,2.9,7.924841922426368,7.875144671912652
5,StBR,78,22,3.9,6.33445655015616,5.955011683860343
6,StFT,73,27,2.9,4.685721346160216,4.665354434770542
7,StGD,60,30,2.4,3.0569455447655565,3.0487067296224097
8,StAM,83,25,5.6,9.081703851770799,9.069490868993798
9,NBRRws,136,53,6.0,8.4658803414891,8.460996417569158
10,NBRRsg,139,49,4.5,6.355916684579111,6.355828935972644
11,CRLL,204,64,5.6,13.355467965168064,13.250823049437544
12,F1WC,256,76,5.1,6.40412183217641,6.202095428662514
13,F1WCBench1Base,71,24,5.7,7.942269437764226,7.8632655670326255
14,F1WCBench2Top,65,23,6.5,8.513126201955924,8.21891925724598
15,F1WCBench2Base,56,17,4.9,7.801921567904491,7.442203628076157
16,F1WCBench3Top,60,14,2.5,3.2786832993497486,3.219858363069845
17,F1WCbase,264,68,14.7,17.34316751425826,17.342685013863004
18,B1,198,78,4.2,5.545403741211795,5.539195591759281
19,F2WC,247,77,4.6,6.622296471055707,6.3430394289013945
20,F2WCbase,220,69,3.4,4.484222559249369,4.366418988914584
21,F3WC,43,11,4.1,4.902371523215608,4.835707420436565
22,F3WCbase,35,9,3.3,4.713783952011321,4.70932430443591
23,MWRY,37,16,5.2,8.712043157288129,8.284523495363263
24,MDDY,23,8,2.1,2.9842763768909415,2.4065858460594782
25,THRM,24,5,2.2,3.51139600593307,3.3470381187295395
26,DKOT,34,12,3.4,3.887115561062324,3.7461652713542684
27,LKOT,27,4,6.5,7.635850438462092,5.089635985925632
28,MRSN,23,8,5.6,6.610592801886686,6.521014285536009
29,SNDCu,7,0,,,
30,CNSP,5,0,,,
31,CRMT,13,5,6.7,7.457617370665853,3.209630280296013
32,ALCV,11,4,4.9,6.195463922365885,4.4890902357320295
33,RDPK,10,5,7.7,8.809677370175908,8.766924855753018
34,ERVY,2,0,,,
35,FRLL,2,1,2.3,2.2800393380048263,0.0
36,GLND,1,0,,,
37,MNKT,31,5,7.7,11.769097476540518,9.485873860571186
38,OPCH,29,5,6.4,10.994550129856707,9.174270084360412
39,A Sand,21,12,3.2,4.468802531256523,4.148277881936833
40,B Dolo,31,4,3.5,4.555849577823875,4.471030150796206
41,B Sand,28,7,2.3,2.7218607101195325,2.717330667409925
42,C1 Dolo,23,9,3.0,3.579136846610241,3.5498552751550703
43,C1 Sand,1,1,44.2,44.15334569663787,0.0
44,C2 Dolo,1,1,42.9,42.926050578283366,0.0
45,C2 Sand,4,1,1.1,1.0622108155464502,0.0
46,C3 Dolo,4,0,,,
47,C3 Sand,2,3,1.6,1.9565774453901141,1.169339511487966
48,C4 Dolo,2,3,4.4,4.454924679194345,0.26367316591255135
49,C4 Sand,3,2,1.3,1.3631563787165382,1.2741955041422557
50,D Dolo,1,1,52.5,52.498805559503694,0.0
51,D Sand,1,0,,,
52,E Dolo,1,0,,,
53,AMSD,1,0,,,
54,MDSN,1,0,,,
55,PC,1,0,,,
