,Formation,n_train,n_holdout,MAE,RMSE,Std
0,SSXS,198,66,2.4,4.468063032539305,4.418950363273137
1,SSXbase,280,71,3.5,5.630110332981449,5.630072993530754
2,SHNNu,707,209,2.0,3.321351552972212,3.311535323356909
3,SHNNl,707,213,2.0,3.4934040597269074,3.4815175815118216
4,SHNNbs,517,152,1.7,3.661367974216063,3.6348478256076766
5,StBR,72,28,2.0,2.7016977778991818,2.701697126121718
6,StFT,73,27,3.5,6.346690297324392,6.345746067214354
7,StGD,77,13,3.7,5.415946610195333,5.352817554765196
8,StAM,79,29,3.4,4.662880598404314,3.9135113870340206
9,NBRRws,141,48,3.5,4.801952184706785,4.801913361045104
10,NBRRsg,140,48,4.1,6.404063502368257,6.395577661460194
11,CRLL,193,75,4.3,6.440980752365301,6.435093443963935
12,F1WC,245,87,4.6,5.90403652464202,5.894957969176283
13,F1WCBench1Base,70,25,5.5,7.303180620135221,6.918260177373081
14,F1WCBench2Top,66,22,8.4,9.994032408090455,9.740058714129551
15,F1WCBench2Base,52,21,3.9,5.416905693589915,5.350657023376969
16,F1WCBench3Top,56,18,4.2,6.052353825307385,5.941551517232491
17,F1WCbase,251,81,13.4,16.769409678342274,16.683352593061795
18,B1,205,71,3.6,4.8827182986248285,4.878587930809182
19,F2WC,239,85,5.8,9.108738539637432,9.108325037571689
20,F2WCbase,218,71,4.2,5.736226394901917,5.653774596100458
21,F3WC,37,17,2.9,4.364750585035348,4.110863435166708
22,F3WCbase,34,10,3.5,5.101907433823996,4.8846611607259645
23,MWRY,38,15,6.0,9.19506334074383,8.645470213011622
24,MDDY,23,8,2.7,3.767320258159408,3.6044636240012484
25,THRM,19,10,3.7,4.858980100305775,4.772627103842997
26,DKOT,34,12,5.0,6.825831442768266,6.718687456356512
27,LKOT,24,7,3.2,4.237319641195944,4.157463015816791
28,MRSN,22,9,5.5,6.582097041005965,6.472173686748209
29,SNDCu,4,3,19.7,21.313796260739245,8.119008216729735
30,CNSP,1,4,25.2,25.7305727907445,25.33727818014988
31,CRMT,13,5,5.1,6.150053048239384,5.511174192492494
32,ALCV,9,6,5.2,7.16818009766799,7.092002673923457
33,RDPK,12,3,3.1,3.6515615333046862,3.648082976590462
34,ERVY,2,0,,,
35,FRLL,2,1,36.7,36.718701130628915,0.0
36,GLND,1,0,,,
37,MNKT,19,17,2.9,3.7497915267363306,3.5209937379083933
38,OPCH,24,10,2.1,2.3735998144255928,2.21151324573549
39,A Sand,25,8,4.8,8.67679659903374,7.70503805364578
40,B Dolo,26,9,4.3,8.019019437119134,7.932182799509517
41,B Sand,24,11,4.1,7.387392950146196,6.905978399620354
42,C1 Dolo,27,5,1.4,1.9505464929336078,1.950541710313628
43,C1 Sand,2,0,,,
44,C2 Dolo,2,0,,,
45,C2 Sand,5,0,,,
46,C3 Dolo,3,1,0.4,0.4115761554794517,0.0
47,C3 Sand,4,1,0.0,0.02209590608003964,0.0
48,C4 Dolo,5,0,,,
49,C4 Sand,4,1,0.4,0.3560810226956619,0.0
50,D Dolo,2,0,,,
51,D Sand,1,0,,,
52,E Dolo,1,0,,,
53,AMSD,1,0,,,
54,MDSN,1,0,,,
55,PC,1,0,,,
