,Formation,n_train,n_holdout,MAE,RMSE,Std
0,SSXS,197,67,3.5,5.110625999195178,5.067798448398412
1,SSXbase,254,97,4.0,10.44635258471546,10.29715049954296
2,SHNNu,707,209,2.8,5.799602025320636,5.799572048460731
3,SHNNl,696,224,2.8,7.106170511940521,7.1059137247681745
4,SHNNbs,496,173,2.8,8.244012316032281,8.214568690672449
5,StBR,75,25,3.9,6.885624673757975,6.35611424795253
6,StFT,79,21,3.5,5.4407279694210855,5.169940428182276
7,StGD,75,15,4.4,7.29755044491292,6.840303833205486
8,StAM,82,26,3.3,7.007639151858554,6.635942471458287
9,NBRRws,152,37,6.5,9.726135913520194,9.686678670529528
10,NBRRsg,138,50,5.3,8.953194697309783,8.70353272716409
11,CRLL,205,63,4.8,6.490320814382656,6.489721391097239
12,F1WC,260,72,4.8,6.740421388065592,6.737590456112609
13,F1WCBench1Base,71,24,6.4,8.545146860272492,8.311950144774851
14,F1WCBench2Top,56,32,8.0,10.475448432631017,10.02640593188399
15,F1WCBench2Base,58,15,2.8,3.881672943449477,3.869377906173459
16,F1WCBench3Top,52,22,3.7,6.808812929318629,6.577243113352037
17,F1WCbase,242,90,14.4,17.558792834465546,17.361702054589458
18,B1,215,61,3.7,5.030585428642646,4.947673094614695
19,F2WC,243,81,5.2,7.285398966041694,7.259143068560119
20,F2WCbase,219,70,3.9,5.500739842125009,5.23197504730031
21,F3WC,40,14,7.8,11.00591970347247,10.843780073574417
22,F3WCbase,32,12,3.9,6.046479154798542,5.001369971942197
23,MWRY,43,10,10.0,17.54752911258971,16.343120568436795
24,MDDY,24,7,11.5,14.960130837637536,13.99437309663063
25,THRM,21,8,7.6,9.261421616779423,8.509685110173661
26,DKOT,37,9,10.5,13.312715159520733,12.663417169338068
27,LKOT,19,12,8.9,11.52914640676129,11.518532886433938
28,MRSN,22,9,13.4,17.735388457090895,14.065042842533785
29,SNDCu,6,1,5.2,5.246501669676491,0.0
30,CNSP,5,0,,,
31,CRMT,15,3,8.2,11.514276798102063,8.101243608069362
32,ALCV,13,2,3.2,3.4971575212701835,1.4165663203963845
33,RDPK,12,3,4.3,4.890893043282569,2.347825273495174
34,ERVY,2,0,,,
35,FRLL,2,1,10.2,10.180866090124937,0.0
36,GLND,1,0,,,
37,MNKT,30,6,5.0,6.2877824988280056,6.189561907662954
38,OPCH,24,10,4.5,5.9439661602073155,5.460973781560118
39,A Sand,26,7,2.4,3.2347585756779647,2.776735519334724
40,B Dolo,26,9,2.3,3.5343217697659797,3.4315868311544655
41,B Sand,23,12,2.0,3.5084381626119794,3.44115721923029
42,C1 Dolo,24,8,2.1,2.485546605306978,2.11811489339097
43,C1 Sand,1,1,42.0,41.96405145405561,0.0
44,C2 Dolo,2,0,,,
45,C2 Sand,2,3,26.7,29.303348109523142,23.203495640158096
46,C3 Dolo,3,1,35.9,35.886978724995515,0.0
47,C3 Sand,4,1,5.7,5.706900966008561,0.0
48,C4 Dolo,5,0,,,
49,C4 Sand,4,1,1.3,1.2834299983679784,0.0
50,D Dolo,2,0,,,
51,D Sand,1,0,,,
52,E Dolo,1,0,,,
53,AMSD,1,0,,,
54,MDSN,1,0,,,
55,PC,1,0,,,
