Formation,n_train,n_holdout,MAE,RMSE,Std,n_train,n_holdout,MAE,RMSE,Std,n_train,n_holdout,MAE,RMSE,Std,n_train,n_holdout,MAE,RMSE,Std
OPCH,24,10,2.1,2.373599814,2.211513246,25,9,0.9,1.344035874,1.308007943,29,5,6.4,10.99455013,9.174270084,24,10,4.5,5.94396616,5.460973782
A Sand,25,8,4.8,8.676796599,7.705038054,27,6,1.4,1.488083425,1.422879414,21,12,3.2,4.468802531,4.148277882,26,7,2.4,3.234758576,2.776735519
B Dolo,26,9,4.3,8.019019437,7.9321828,22,13,2.8,3.376133427,3.360285186,31,4,3.5,4.555849578,4.471030151,26,9,2.3,3.53432177,3.431586831
B Sand,24,11,4.1,7.38739295,6.9059784,30,5,2.3,2.572092174,2.527261955,28,7,2.3,2.72186071,2.717330667,23,12,2,3.508438163,3.441157219
C1 Dolo,27,5,1.4,1.950546493,1.95054171,22,10,1.8,2.058437939,1.955332934,23,9,3,3.579136847,3.549855275,24,8,2.1,2.485546605,2.118114893
C1 Sand,2,0,,,,2,0,,,,1,1,44.2,44.1533457,0,1,1,42,41.96405145,0
C2 Dolo,2,0,,,,1,1,37.4,37.37281352,0,1,1,42.9,42.92605058,0,2,0,,,
C2 Sand,5,0,,,,4,1,2.5,2.545045554,0,4,1,1.1,1.062210816,0,2,3,26.7,29.30334811,23.20349564
C3 Dolo,3,1,0.4,0.411576155,0,2,2,5.2,5.19986101,0.151568182,4,0,,,,3,1,35.9,35.88697872,0
C3 Sand,4,1,0,0.022095906,0,5,0,,,,2,3,1.6,1.956577445,1.169339511,4,1,5.7,5.706900966,0
C4 Dolo,5,0,,,,3,2,24.2,25.40636461,7.615128899,2,3,4.4,4.454924679,0.263673166,5,0,,,
C4 Sand,4,1,0.4,0.356081023,0,4,1,0,0.024457691,0,3,2,1.3,1.363156379,1.274195504,4,1,1.3,1.283429998,0
D Dolo,2,0,,,,1,1,40.4,40.38215003,0,1,1,52.5,52.49880556,0,2,0,,,
D Sand,1,0,,,,1,0,,,,1,0,,,,1,0,,,
E Dolo,1,0,,,,1,0,,,,1,0,,,,1,0,,,
AMSD,1,0,,,,1,0,,,,1,0,,,,1,0,,,
MDSN,1,0,,,,1,0,,,,1,0,,,,1,0,,,
PC,1,0,,,,1,0,,,,1,0,,,,1,0,,,
