,API,Formation,MD,SS
199,490251074500,F1WC,2858.82,2416.18
200,490251074500,F1WCBench2Base,3012.45,2262.55
201,490251074500,SHNNu,568.13,4706.87
202,490251074500,SHNNl,653.73,4621.27
203,490251074500,SHNNbs,733.29,4541.71
204,490251074500,B1,3078.7,2196.3
205,490251074500,F1WCBench1Base,2918.02,2356.98
206,490251074500,F2WC,3263.97,2011.03
207,490251074500,F2WCbase,3342.21,1932.79
208,490251074500,F1WCBench2Top,2966.23,2308.77
209,490251074500,F1WCBench3Top,3024.26,2250.74
210,490251074500,F1WCbase,3032.92,2242.08
211,490251080600,CRLL,2560.17,2726.83
212,490251076400,SHNNu,944.16,4313.84
213,490251076400,SHNNl,1029.13,4228.87
214,490251076400,SHNNbs,1109.33,4148.67
215,490251076400,SSXbase,561.85,4696.15
216,490251076400,SSXS,513.14,4744.86
217,490251076400,NBRRws,2517.57,2740.43
218,490251076400,NBRRsg,2718.81,2539.19
219,490251076400,CRLL,2920.18,2337.82
225,490251025200,F2WC,3079.04,2098.96
226,490251025200,F1WC,2660.73,2517.27
227,490251025200,NBRRws,1973.25,3204.75
228,490251025200,MWRY,3595.85,1582.15
229,490251025200,F2WCbase,3150.71,2027.29
230,490251025200,B1,2907.38,2270.62
231,490251025200,F1WCbase,2861.61,2316.39
232,490251058500,SHNNbs,533.21,4624.79
233,490251058500,SHNNl,456.98,4701.02
234,490251058500,SHNNu,368.25,4789.75
235,490251075700,SHNNbs,620.29,4600.71
236,490251075700,SHNNl,544.13,4676.87
237,490251075700,SHNNu,461.27,4759.73
238,490251075700,SSXbase,102.22,5118.78
239,490251075700,SSXS,58.7,5162.3
240,490250647900,SSXS,138.63,4966.37
241,490250647900,SSXbase,183.46,4921.54
242,490250647900,SHNNu,556.2,4548.8
243,490250647900,SHNNl,648.33,4456.67
244,490251028300,SHNNu,338.68,4839.32
245,490251028300,SHNNl,427.8,4750.2
246,490251028300,SHNNbs,499.09,4678.91
247,490251001700,MNKT,6001.26,-718.26
248,490251001700,OPCH,6018.13,-735.13
249,490251001700,B Sand,6124.61,-841.61
250,490251001700,A Sand,6078.49,-795.49
251,490251001700,B Dolo,6104.94,-821.94
252,490251001700,F2WC,3491.99,1791.01
253,490251001700,F1WCBench1Base,3086.64,2196.36
254,490251001700,F1WC,3072.8,2210.2
255,490251001700,F2WCbase,3565.01,1717.99
256,490251001700,B1,3301.05,1981.95
257,490251001700,CRLL,2827.98,2455.02
258,490251001700,F2WC,3490.15,1792.85
259,490251001700,F1WCBench2Base,3158.32,2124.68
260,490251001700,F1WCBench2Top,3103.64,2179.36
261,490251001700,F1WCBench3Top,3194.53,2088.47
262,490251001700,F1WCbase,3257.98,2025.02
263,490251001700,SHNNu,825.01,4457.99
264,490251001700,SHNNl,907.07,4375.93
265,490251001700,SHNNbs,983.32,4299.68
266,490251001700,SSXbase,450.69,4832.31
267,490251001700,SSXS,409.68,4873.32
268,490251124300,SHNNu,358.06,4815.54
269,490251124300,SHNNbs,520.24,4653.36
270,490251124300,SHNNl,445.75,4727.85
271,490251124000,SSXS,65.62,5037.38
272,490251124000,SSXbase,111.48,4991.52
273,490251124000,SHNNu,416.59,4686.41
274,490251124000,SHNNl,510.59,4592.41
275,490251124000,SHNNbs,581.34,4521.66
276,490252269200,SHNNl,472.43,4763.57
277,490252269200,SSXbase,25.4,5210.6
278,490252269200,SHNNu,386.14,4849.86
279,490252269200,SHNNbs,547.7,4688.3
280,490251104600,SHNNu,348.89,4803.11
281,490251104600,SHNNl,442.1,4709.9
282,490251104600,F1WC,2543.42,2608.58
283,490251104600,B1,2783.69,2368.31
284,490251104600,F2WC,2957.44,2194.56
285,490251104600,F1WCbase,2736.77,2415.23
286,490251110800,F2WCbase,3179.66,2065.34
287,490251110800,B1,2926.56,2318.44
288,490251110800,CRLL,2441.53,2803.47
289,490251110800,F1WCBench1Base,2772,2473
290,490251110800,F1WC,2686.26,2558.74
291,490251110800,F2WC,3101.54,2143.46
292,490251110800,SHNNbs,658.29,4586.71
293,490251110800,SHNNl,583.73,4661.27
294,490251110800,SHNNu,502.21,4742.79
295,490251110800,SSXbase,127.09,5117.91
296,490251110800,SSXS,83.66,5161.34
297,490251110800,NBRRws,1991.28,3253.72
298,490251110800,NBRRsg,2223.2,3021.8
299,490251110800,CRLL,2441.99,2803.01
300,490251110800,F1WC,2684.84,2560.16
301,490251110800,F1WCbase,2882.85,2362.15
302,490251110800,F2WCbase,3174.93,2070.07
303,490251110800,F1WCBench2Top,2793.46,2451.54
304,490251110800,F1WCbase,2880.14,2364.86
305,490251069300,F2WCbase,2759.71,2238.29
306,490251069300,SHNNl,162.09,4835.91
307,490251069300,StBR,479.28,4518.72
308,490251069300,StGD,1395.92,3602.08
309,490251069300,F2WC,2716.82,2281.18
310,490251069300,SHNNu,72.66,4925.34
311,490251069300,StFT,862.14,4135.86
312,490251069300,StAM,1495.13,3502.87
313,490251069300,F1WC,2300.76,2697.24
314,490251069300,F1WCbase,2413.13,2584.87
315,490251069300,CRLL,2052.28,2945.72
316,490251069300,NBRRsg,1828.34,3169.66
317,490251069300,NBRRws,1636.61,3361.39
318,490251069300,F2WCbase,2751.71,2246.29
319,490251069300,B1,2536.81,2461.19
320,490251069300,SHNNbs,234.61,4763.39
321,490251064200,F2WCbase,2866.3,2133.7
322,490251064200,F2WC,2794.73,2205.27
323,490251064200,SHNNbs,290.94,4709.06
324,490251064200,SHNNl,216.65,4783.35
325,490251064200,NBRRws,1689.04,3310.96
326,490251064200,NBRRsg,1917.44,3082.56
327,490251064200,CRLL,2148.3,2851.7
328,490251064200,F1WC,2401.35,2598.65
329,490251064200,F1WCbase,2505.76,2494.24
330,490251064200,B1,2619.02,2380.98
331,490251064200,F2WCbase,2847.28,2152.72
332,490251064200,SHNNu,130.87,4869.13
333,490251064200,StBR,529.49,4470.51
334,490251064200,StFT,917.18,4082.82
335,490251064200,StGD,1456.09,3543.91
336,490251064200,StAM,1554.19,3445.81
337,490251097200,F2WCbase,3067.36,2102.64
338,490251097200,F1WCBench2Top,2758.07,2411.93
339,490251097200,SHNNbs,576.17,4593.83
340,490251097200,SHNNl,500.88,4669.12
341,490251097200,SHNNu,415.96,4754.04
342,490251097200,SSXbase,42.87,5127.13
343,490251097200,CRLL,2373.32,2796.68
344,490251097200,NBRRsg,2140.42,3029.58
345,490251097200,NBRRws,1901.15,3268.85
346,490251097200,F2WC,3006.34,2163.66
347,490251097200,StBR,824.8,4345.2
348,490251097200,StFT,1123.66,4046.34
349,490251097200,StAM,1769.69,3400.31
350,490251097200,StGD,1665.7,3504.3
351,490251097200,SSXS,0,5170
352,490251097200,F1WC,2630.27,2539.73
353,490251097200,F1WCBench1Base,2730.23,2439.77
354,490251097200,B1,2830.15,2339.85
355,490251097200,F1WCbase,2781.62,2388.38
356,490251065000,SSXbase,121.03,5125.97
357,490251065000,SSXS,77.32,5169.68
358,490251065000,SHNNu,493.55,4753.45
359,490251065000,SHNNl,575.01,4671.99
360,490251078200,StBR,635.04,4466.96
361,490251078200,StFT,1015.56,4086.44
362,490251075500,SHNNu,351.62,4795.38
363,490251075500,SHNNl,440.81,4706.19
364,490251075500,SHNNbs,514.79,4632.21
365,490251055000,SSXS,100.05,4997.95
366,490251055000,SSXbase,144.07,4953.93
367,490251055000,SHNNu,458.72,4639.28
368,490251055000,SHNNl,552.82,4545.18
369,490251055000,SHNNbs,624.12,4473.88
370,490251067000,SHNNu,399.2,4795.8
371,490251067000,SHNNl,488.12,4706.88
372,490251067000,SHNNbs,557.52,4637.48
373,490251126500,SHNNl,500.69,4632.31
374,490251126500,SHNNu,408.42,4724.58
375,490251126500,SSXS,5.73,5127.27
376,490251126500,SSXbase,50.37,5082.63
377,490251126500,SHNNbs,572.06,4560.94
378,490251109700,SHNNu,398.74,4760.26
379,490251109700,SHNNl,486.48,4672.52
380,490251109700,SHNNbs,559.01,4599.99
381,490251109700,SSXbase,33.75,5125.25
382,490251090300,F2WC,3379.12,1925.88
383,490251090300,F1WCBench2Base,3132.06,2172.94
384,490251090300,SHNNu,672.17,4632.83
385,490251090300,SHNNl,756.36,4548.64
386,490251090300,SSXbase,297.14,5007.86
387,490251090300,SSXS,249.62,5055.38
388,490251090300,F1WC,2972.92,2332.08
389,490251090300,SHNNbs,831.96,4473.04
390,490251090300,B1,3190.3,2114.7
391,490251090300,F1WCBench1Base,3066.94,2238.06
392,490251090300,F1WCBench2Top,3079.54,2225.46
393,490251090300,F1WCBench3Top,3137.31,2167.69
394,490251090300,F1WCbase,3145.05,2159.95
417,490251112000,F2WC,2701.56,2284.44
418,490251112000,StBR,457.56,4528.44
419,490251112000,StAM,1476.35,3509.65
420,490251112000,StFT,841.09,4144.91
421,490251112000,StGD,1378.61,3607.39
422,490251112000,F2WCbase,2738.53,2247.47
