,Formation,n_train,n_holdout,MAE,RMSE,Std
0,1000,1195,396,43.6,170.69650637237893,170.35811133531547
1,2000,250,78,14.1,29.09887893976225,28.234353901971147
2,3000,274,88,12.2,20.77456490249524,20.369263903043016
3,4000,445,143,9.4,18.595693680886782,18.59115492555674
4,5000,1481,427,4.6,7.369717233898659,7.350978022037375
5,6000,312,113,4.6,6.863372502520056,6.850448351978427
6,7000,1141,435,5.4,35.42517217317743,35.33843316813254
7,8000,0,0,,,
8,9000,1313,470,4.5,24.39087700989715,24.30979102365788
9,9500,1323,460,5.8,36.772006690155905,36.57084019623784
10,10000,1383,448,2.8,8.52447813374923,8.507848088593427
11,11000,1318,479,4.7,31.635385120608834,31.523620314019993
12,12000,1363,420,6.0,35.71548351361261,35.49963565533389
13,13000,1425,455,6.6,23.09269436210815,23.074396605806083
14,14000,1594,505,27.9,44.57559705942896,43.708307745512535
