,UWI,DATUM,GL,EREF,UNIT,datum
1588,00/15-23-075-04W4/0,606.22,596.42,606.22,M,606.22
1589,00/15-23-079-22W4/0,579.42,575.8,579.42,M,579.42
1590,00/15-24-074-02W5/0,670.3,670.3,673.7,M,673.7
1591,00/15-26-068-05W4/0,713.2,713.2,716.8,M,716.8
1592,00/15-26-077-09W4/0,582.7,578.5,582.7,M,582.7
1593,00/15-31-084-14W4/0,534.67,531.17,534.67,M,534.67
1594,00/15-32-071-04W4/0,682.5,679.0,682.5,M,682.5
1595,00/15-34-073-25W4/0,681.45,681.45,684.45,M,684.45
1596,00/15-35-087-17W4/0,529.6,525.8,529.6,M,529.6
1597,00/15-35-093-21W4/0,669.0,665.6,669.0,M,669.0
1598,00/15-36-070-02W5/0,591.5,591.5,595.0,M,595.0
1599,00/15-36-080-19W4/0,569.976,569.976,573.329,M,573.329
1600,00/16-01-070-20W4/0,577.31,577.31,580.3,M,580.3
1601,00/16-03-083-07W4/0,675.45,670.8,675.45,M,675.45
1602,00/16-04-070-19W4/0,555.94,555.94,558.89,M,558.89
1603,00/16-04-075-05W4/0,649.834,649.834,652.272,M,652.272
1604,00/16-05-087-07W4/0,1527.0,1517.0,1527.0,F,464.20799999999997
1605,00/16-07-072-03W5/0,694.7,694.7,699.4,M,699.4
1606,00/16-07-081-03W4/0,457.9,453.0,457.9,M,457.9
1607,00/16-11-079-03W4/0,528.7,525.3,528.7,M,528.7
1608,00/16-12-071-05W5/0,756.27,752.46,756.27,M,756.27
1609,00/16-12-073-25W4/0,636.55,636.55,640.15,M,640.15
1610,00/16-12-076-03W5/0,834.8,834.8,838.8,M,838.8
1611,00/16-13-071-01W4/0,708.9,708.9,713.2,M,713.2
1612,00/16-15-073-01W5/0,631.85,627.583,631.85,M,631.85
1613,00/16-15-080-05W4/0,468.7,465.7,468.7,M,468.7
1614,00/16-15-087-17W4/0,511.17,507.65,511.17,M,511.17
1615,00/16-18-079-13W4/0,684.88,681.78,684.88,M,684.88
1616,00/16-20-072-23W4/0,674.7,674.7,678.7,M,678.7
1617,00/16-21-068-08W4/0,646.55,646.55,649.8,M,649.8
1618,00/16-21-074-24W4/0,649.224,649.224,653.796,M,653.796
1619,00/16-23-071-20W4/0,586.4,586.4,588.9,M,588.9
1620,00/16-23-096-16W4/0,661.2,658.0,661.2,M,661.2
1621,00/16-24-079-16W4/0,588.2,584.7,588.2,M,588.2
1622,00/16-27-071-03W5/0,635.2,635.2,638.78,M,638.78
1623,00/16-29-073-05W5/0,581.61,581.61,586.26,M,586.26
1624,00/16-29-083-02W5/0,623.316,623.316,627.278,M,627.278
1625,00/16-29-088-23W4/0,503.0,503.0,506.0,M,506.0
1626,00/16-33-070-15W4/0,570.01,570.01,573.21,M,573.21
1627,00/16-33-093-21W4/0,449.3,445.9,449.3,M,449.3
1628,00/16-34-071-10W4/0,653.64,658.64,662.14,M,662.14
1629,00/16-36-072-01W4/0,676.0,676.0,680.3,M,680.3
1630,02/04-13-079-23W4/0,575.31,573.207,575.31,M,575.31
1631,02/07-26-071-21W4/0,595.4,595.4,598.6,M,598.6
1632,00/10-12-072-19W4/0,608.686,608.686,612.648,M,612.648
1633,02/10-12-073-03W5/0,601.1,601.1,604.3,M,604.3
1634,02/10-30-072-14W4/0,611.3,611.3,614.8,M,614.8
1635,02/11-26-091-20W4/0,513.0,510.7,513.0,M,513.0
1636,02/16-11-072-04W5/0,659.91,659.91,663.41,M,663.41
1637,03/06-36-094-16W4/0,1754.4,1751.9,1754.4,F,533.3376000000001
1638,AA/01-01-095-07W4/0,531.35,530.35,531.35,M,531.35
1639,AA/01-01-096-07W4/0,490.01,488.01,490.01,M,490.01
1640,AA/01-02-086-11W4/0,1687.0,1679.0,1687.0,F,512.848
1641,AA/01-03-096-07W4/0,439.66,438.36,439.66,M,439.66
1642,AA/01-05-092-12W4/0,395.3,390.2,395.3,M,395.3
1643,AA/01-05-101-13W4/0,778.7,775.3,778.7,M,778.7
1644,AA/01-06-098-10W4/0,253.64,253.64,253.64,M,253.64
1645,AA/01-07-094-12W4/0,1156.0,1156.0,1156.0,F,351.424
1646,AA/01-08-095-12W4/0,1122.2,1122.2,1122.2,F,341.1488
1647,AA/01-09-095-13W4/0,390.571,390.571,390.571,M,390.571
1648,AA/01-18-086-08W4/0,1615.5,1610.0,1615.5,F,491.11199999999997
1649,AA/01-18-097-10W4/0,277.5,277.5,277.5,M,277.5
1650,AA/01-22-100-13W4/0,772.058,768.706,772.058,M,772.058
1651,AA/01-23-095-17W4/0,583.997,582.778,583.997,M,583.997
1652,AA/01-24-092-12W4/0,370.881,370.881,370.881,M,370.881
1653,AA/01-28-093-11W4/0,328.5,328.5,328.5,M,328.5
1654,AA/01-28-093-15W4/0,1456.9,1456.9,1456.9,F,442.8976
1655,AA/01-29-094-12W4/0,339.852,339.852,339.852,M,339.852
1656,AA/01-30-092-11W4/0,357.226,357.226,357.226,M,357.226
1657,AA/01-31-094-08W4/0,340.49,340.49,340.49,M,340.49
1658,AA/01-32-093-11W4/0,328.8,328.8,328.8,M,328.8
1659,AA/01-35-087-07W4/0,412.92,411.42,412.92,M,412.92
1660,AA/01-35-088-10W4/0,367.436,367.436,367.436,M,367.436
1661,AA/01-35-092-12W4/0,361.7,361.7,361.7,M,361.7
1662,AA/01-35-095-07W4/0,495.88,494.08,495.88,M,495.88
1663,AA/01-36-093-10W4/0,334.4,334.4,334.4,M,334.4
1664,AA/01-36-096-09W4/0,289.24,289.24,289.24,M,289.24
1665,AA/02-01-098-11W4/0,276.5,276.5,276.5,M,276.5
1666,AA/02-02-089-12W4/0,465.094,463.357,465.094,M,465.094
1667,AA/02-03-096-10W4/0,299.8,299.8,299.8,M,299.8
1668,AA/02-04-097-07W4/0,354.604,354.604,354.604,M,354.604
1669,AA/02-06-099-12W4/0,826.26,823.03,826.26,M,826.26
1670,AA/02-07-088-10W4/0,401.117,401.117,401.117,M,401.117
1671,AA/02-08-093-09W4/0,333.6,333.6,333.6,M,333.6
1672,AA/02-12-097-11W4/0,237.9,237.9,237.9,M,237.9
1673,AA/02-19-096-07W4/0,335.432,335.432,335.432,M,335.432
1674,AA/02-21-090-13W4/0,503.53,502.92,503.53,M,503.53
1675,AA/02-21-093-07W4/0,508.102,506.578,508.102,M,508.102
1676,AA/02-21-097-11W4/0,336.25,336.25,336.25,M,336.25
1677,AA/02-23-095-15W4/0,553.913,550.804,553.913,M,553.913
1678,AA/02-24-091-12W4/0,453.2,453.2,453.2,M,453.2
1679,AA/02-26-084-10W4/0,646.877,643.829,646.877,M,646.877
1680,AA/02-29-099-14W4/0,803.3,800.3,803.3,M,803.3
1681,AA/02-35-084-09W4/0,729.082,726.034,729.082,M,729.082
1682,AA/02-35-099-11W4/0,314.645,314.645,314.645,M,314.645
1683,AA/03-02-096-15W4/0,580.67,577.32,580.67,M,580.67
1684,AA/03-05-089-11W4/0,441.564,441.564,441.564,M,441.564
1685,AA/03-08-085-08W4/0,2347.6,2337.6,2347.6,F,713.6704
1686,AA/03-08-088-07W4/0,396.315,394.79,396.315,M,396.315
1687,AA/03-13-095-13W4/0,1216.4,1216.4,1216.4,F,369.78560000000004
1688,AA/03-15-092-10W4/0,330.86,330.86,330.86,M,330.86
1689,AA/03-16-088-09W4/0,384.7,380.7,384.7,M,384.7
1690,AA/03-18-093-09W4/0,331.24,331.24,331.24,M,331.24
1691,AA/03-23-096-08W4/0,324.703,329.275,324.703,M,324.703
1692,AA/03-23-097-12W4/0,338.9,338.9,338.9,M,338.9
1693,AA/03-25-096-16W4/0,655.0,651.2,655.0,M,655.0
1694,AA/03-27-088-10W4/0,382.219,382.219,382.219,M,382.219
1695,AA/03-28-096-15W4/0,628.99,625.64,628.99,M,628.99
1696,AA/03-28-096-16W4/0,658.17,655.42,658.17,M,658.17
1697,AA/03-30-095-09W4/0,282.586,282.586,282.586,M,282.586
1698,AA/03-30-095-11W4/0,310.347,308.823,310.347,M,310.347
1699,AA/03-32-092-09W4/0,332.262,332.262,332.262,M,332.262
1700,AA/03-33-091-13W4/0,446.55,443.18,446.55,M,446.55
1701,AA/03-34-094-10W4/0,288.9,288.9,288.9,M,288.9
1702,AA/03-36-090-11W4/0,403.25,403.25,403.25,M,403.25
1703,AA/03-36-093-09W4/0,355.36,355.36,355.36,M,355.36
1704,AA/04-04-092-10W4/0,320.0,320.0,320.0,M,320.0
1705,AA/04-04-093-09W4/0,341.6,341.6,341.6,M,341.6
1706,AA/04-04-097-08W4/0,294.57,294.57,294.57,M,294.57
1707,AA/04-05-092-11W4/0,393.101,393.101,393.101,M,393.101
1708,AA/04-05-096-12W4/0,350.886,350.886,350.886,M,350.886
1709,AA/04-08-089-07W4/0,423.611,422.392,423.611,M,423.611
1710,AA/04-08-098-12W4/0,516.5,513.25,516.5,M,516.5
1711,AA/04-11-090-08W4/0,434.2,434.2,0.0,M,0.0
1712,AA/04-11-094-10W4/0,311.6,311.6,311.6,M,311.6
1713,AA/04-13-098-11W4/0,283.86,283.86,283.86,M,283.86
1714,AA/04-15-095-10W4/0,950.0,950.0,950.0,F,288.8
1715,AA/04-17-092-12W4/0,397.3,387.2,397.3,M,397.3
1716,AA/04-18-086-15W4/0,1671.9,1671.9,1671.9,F,508.2576
1717,AA/04-19-091-11W4/0,432.542,432.542,432.542,M,432.542
1718,AA/04-20-091-07W4/0,1570.5,1570.5,1570.5,F,477.432
1719,AA/04-23-094-07W4/0,529.3,529.3,529.3,M,529.3
1720,AA/04-23-094-10W4/0,308.3,308.3,308.3,M,308.3
1721,AA/04-24-084-12W4/0,558.2,555.0,558.2,M,558.2
1722,AA/04-24-087-10W4/0,1349.0,1349.0,1349.0,F,410.096
1723,AA/04-30-081-19W4/0,585.0,585.0,588.2,M,588.2
1724,AA/04-34-091-07W4/0,1561.8,1561.8,1561.8,F,474.7872
1725,AA/05-01-094-12W4/0,333.8,333.8,333.8,M,333.8
1727,AA/05-03-088-07W4/0,404.27,402.77,404.27,M,404.27
1728,AA/05-05-094-09W4/0,332.5,324.5,332.5,M,332.5
1729,AA/05-13-084-11W4/0,618.5,615.3,618.5,M,618.5
1730,AA/05-14-078-24W4/0,597.38,597.38,602.13,M,602.13
1731,AA/05-14-087-10W4/0,1398.0,1390.0,1398.0,F,424.99199999999996
1732,AA/05-15-085-07W4/0,1557.0,1553.0,1557.0,F,473.328
1733,AA/05-24-088-23W4/0,511.0,511.0,515.1,M,515.1
1734,AA/05-25-085-09W4/0,708.5,705.0,708.5,M,708.5
