,UWI,DATUM,GL,EREF,UNIT,datum
1880,AA/10-11-074-07W4/0,688.25,685.15,688.25,M,688.25
1881,AA/10-11-077-08W4/0,566.83,566.83,570.4,M,570.4
1882,AA/10-11-078-08W4/0,566.9,563.4,566.9,M,566.9
1883,AA/10-11-079-12W4/0,643.5,640.0,643.5,M,643.5
1884,AA/10-11-080-11W4/0,689.153,686.105,689.153,M,689.153
1885,AA/10-11-080-15W4/0,615.0,612.0,615.0,M,615.0
1886,AA/10-11-082-08W4/0,726.6,723.0,726.6,M,726.6
1887,AA/10-11-083-11W4/0,2402.0,2392.0,2402.0,F,730.208
1888,AA/10-11-087-16W4/0,503.32,499.67,503.32,M,503.32
1889,AA/10-11-088-16W4/0,540.9,537.9,540.9,M,540.9
1890,AA/10-11-089-14W4/0,504.1,501.1,504.1,M,504.1
1891,AA/10-11-089-15W4/0,500.5,497.5,500.5,M,500.5
1892,AA/10-11-089-16W4/0,512.8,509.6,512.8,M,512.8
1893,AA/10-11-090-07W4/0,461.1,460.1,461.1,M,461.1
1894,AA/10-11-091-16W4/0,493.87,490.58,493.87,M,493.87
1895,AA/10-11-092-16W4/0,487.07,483.413,487.07,M,487.07
1896,AA/10-11-092-17W4/0,505.87,502.2,505.87,M,505.87
1897,AA/10-11-094-16W4/0,1655.8,1644.4,1655.8,F,503.36319999999995
1898,AA/10-11-095-06W4/0,599.8,596.9,599.8,M,599.8
1899,AA/10-12-093-07W4/0,521.635,520.111,521.635,M,521.635
1900,AA/10-12-093-08W4/0,475.8,475.8,475.8,M,475.8
1901,AA/10-13-091-12W4/0,451.4,451.4,451.4,M,451.4
1902,AA/10-14-076-07W4/0,590.89,590.89,594.34,M,594.34
1903,AA/10-14-082-10W4/0,710.48,706.79,710.48,M,710.48
1904,AA/10-14-084-19W4/0,599.7,599.7,602.32,M,602.32
1905,AA/10-14-093-08W4/0,466.5,466.5,466.5,M,466.5
1906,AA/10-14-096-13W4/0,419.527,418.003,419.527,M,419.527
1907,AA/10-15-095-08W4/0,342.66,342.66,342.66,M,342.66
1908,AA/10-15-097-06W4/0,367.9,367.9,367.9,M,367.9
1909,AA/10-16-087-11W4/0,1450.0,1450.0,1450.0,F,440.8
1910,AA/10-17-084-19W4/0,613.0,613.0,615.82,M,615.82
1911,AA/10-17-094-06W4/0,566.9,564.2,566.9,M,566.9
1912,AA/10-18-093-06W4/0,550.46,547.76,550.46,M,550.46
1913,AA/10-18-097-07W4/0,319.0,319.0,319.0,M,319.0
1914,AA/10-18-098-10W4/0,275.76,275.76,275.76,M,275.76
1915,AA/10-20-094-06W4/0,581.4,578.2,581.4,M,581.4
1916,AA/10-23-081-08W4/0,738.85,735.25,738.85,M,738.85
1917,AA/10-23-082-08W4/0,743.77,740.12,743.77,M,743.77
1918,AA/10-23-082-18W4/0,556.35,552.95,556.35,M,556.35
1919,AA/10-23-092-13W4/0,440.57,440.57,440.57,M,440.57
1920,AA/10-24-090-11W4/0,412.242,412.242,412.242,M,412.242
1921,AA/10-24-093-08W4/0,486.6,486.6,486.6,M,486.6
1922,AA/10-26-076-06W4/0,557.0,557.0,560.67,M,560.67
1923,AA/10-26-078-08W4/0,563.58,560.0,563.58,M,563.58
1924,AA/10-26-079-08W4/0,618.45,614.8,618.45,M,618.45
1925,AA/10-26-079-15W4/0,644.0,640.8,644.0,M,644.0
1926,AA/10-26-080-07W4/0,584.75,581.1,584.75,M,584.75
1927,AA/10-26-080-09W4/0,722.4,718.7,722.4,M,722.4
1928,AA/10-26-080-14W4/0,672.27,669.37,672.27,M,672.27
1929,AA/10-26-081-14W4/0,596.2,592.5,596.2,M,596.2
1930,AA/10-26-082-22W4/0,626.3,626.3,630.7,M,630.7
1931,AA/10-26-083-10W4/0,719.663,716.615,719.663,M,719.663
1932,AA/10-26-083-11W4/0,2264.0,2254.0,2264.0,F,688.256
1933,AA/10-26-086-09W4/0,483.98,478.88,483.98,M,483.98
1934,AA/10-26-087-16W4/0,521.25,517.6,521.25,M,521.25
1935,AA/10-26-088-16W4/0,540.75,537.55,540.75,M,540.75
1936,AA/10-26-089-14W4/0,503.2,500.2,503.2,M,503.2
1937,AA/10-26-089-15W4/0,479.61,476.41,479.61,M,479.61
1938,AA/10-26-089-16W4/0,484.09,480.8,484.09,M,484.09
1939,AA/10-26-090-16W4/0,476.57,473.0,476.57,M,476.57
1940,AA/10-26-091-15W4/0,477.15,474.15,477.15,M,477.15
1941,AA/10-26-091-16W4/0,1604.2,1592.8,1604.2,F,487.6768
1942,AA/10-26-092-16W4/0,1570.0,1562.0,1570.0,F,477.28
1943,AA/10-26-092-17W4/0,1708.93,1607.53,1708.93,F,519.51472
1944,AA/10-26-095-13W4/0,1282.7,1282.7,1282.7,F,389.9408
1945,AA/10-27-089-09W4/0,357.53,356.586,357.53,M,357.53
1946,AA/10-27-096-13W4/0,431.536,430.012,431.536,M,431.536
1947,AA/10-27-097-06W4/0,358.5,358.5,358.5,M,358.5
1948,AA/10-29-080-07W4/0,629.1,625.45,629.1,M,629.1
1949,AA/10-29-080-08W4/0,706.18,702.53,706.18,M,706.18
1950,AA/10-29-081-13W4/0,659.1,656.2,659.1,M,659.1
1951,AA/10-29-081-14W4/0,588.6,585.0,588.6,M,588.6
1952,AA/10-29-086-09W4/0,447.14,442.04,447.14,M,447.14
1953,AA/10-29-088-14W4/0,1700.8,1700.8,1700.8,F,517.0432
1954,AA/10-29-090-16W4/0,488.62,485.33,488.62,M,488.62
1955,AA/10-29-091-15W4/0,480.974,479.755,480.974,M,480.974
1956,AA/10-29-091-16W4/0,493.66,490.6,493.66,M,493.66
1957,AA/10-29-092-16W4/0,493.319,490.21,493.319,M,493.319
1958,AA/10-29-092-17W4/0,514.807,512.6,514.807,M,514.807
1959,AA/10-29-093-17W4/0,1684.9,1673.9,1684.9,F,512.2096
1960,AA/10-29-094-07W4/0,496.1,496.1,496.1,M,496.1
1961,AA/10-29-097-06W4/0,345.1,345.1,345.1,M,345.1
1962,AA/10-29-100-14W4/0,716.96,713.6,716.96,M,716.96
1963,AA/10-30-094-07W4/0,463.6,463.6,463.6,M,463.6
1964,AA/10-30-097-07W4/0,299.6,299.6,299.6,M,299.6
1965,AA/10-31-088-19W4/0,514.198,514.198,518.465,M,518.465
1966,AA/10-32-096-08W4/0,292.57,292.57,292.57,M,292.57
1967,AA/10-32-096-12W4/0,389.23,388.01,389.23,M,389.23
1968,AA/10-32-097-07W4/0,300.6,300.6,300.6,M,300.6
1970,AA/10-35-081-19W4/0,574.548,574.548,577.596,M,577.596
1971,AA/10-35-089-09W4/0,363.992,362.773,363.992,M,363.992
1972,AA/10-35-095-08W4/0,334.32,334.32,334.32,M,334.32
1973,AA/10-36-079-09W4/0,676.49,672.8,676.49,M,676.49
1974,AA/10-36-091-09W4/0,372.161,370.637,372.161,M,372.161
1975,AA/10-36-097-12W4/0,331.14,331.14,331.14,M,331.14
1976,AA/11-01-080-23W4/0,583.2,583.2,586.7,M,586.7
1977,AA/11-01-094-10W4/0,326.4,326.4,326.4,M,326.4
1978,AA/11-02-081-22W4/0,607.0,607.0,610.7,M,610.7
1979,AA/11-05-086-12W4/0,1663.0,1663.0,1663.0,F,505.55199999999996
1980,AA/11-05-096-08W4/0,333.433,331.909,333.433,M,333.433
1981,AA/11-06-085-11W4/0,537.2,532.0,537.2,M,537.2
1982,AA/11-06-090-13W4/0,504.139,504.139,504.139,M,504.139
1983,AA/11-06-098-06W4/0,339.4,339.4,339.4,M,339.4
1984,AA/11-07-084-08W4/0,730.92,272.32,730.92,M,730.92
1985,AA/11-08-078-08W4/0,591.54,587.96,591.54,M,591.54
1986,AA/11-08-081-19W4/0,580.5,580.5,584.0,M,584.0
1987,AA/11-08-101-14W4/0,737.96,734.7,737.96,M,737.96
1988,AA/11-09-092-10W4/0,327.0,327.0,327.0,M,327.0
1989,AA/11-09-094-13W4/0,381.25,377.9,381.25,M,381.25
1990,AA/11-09-096-11W4/0,285.293,284.074,285.293,M,285.293
1991,AA/11-09-099-15W4/0,727.3,723.9,727.3,M,727.3
1992,AA/11-11-085-09W4/0,738.226,735.482,738.226,M,738.226
1993,AA/11-11-096-08W4/0,332.842,331.318,332.842,M,332.842
1994,AA/11-12-089-09W4/0,362.102,361.036,362.102,M,362.102
1995,AA/11-13-100-13W4/0,794.8,791.0,794.8,M,794.8
1996,AA/11-14-081-20W4/0,580.1,580.1,583.6,M,583.6
1997,AA/11-14-090-09W4/0,370.332,369.113,370.332,M,370.332
1998,AA/11-14-096-14W4/0,533.78,530.78,533.78,M,533.78
1999,AA/11-15-084-07W4/0,594.35,591.0,594.35,M,594.35
2000,AA/11-15-085-12W4/0,534.0,531.0,534.0,M,534.0
2001,AA/11-16-099-13W4/0,833.323,829.97,833.323,M,833.323
2002,AA/11-17-082-18W4/0,575.7,572.0,575.7,M,575.7
2003,AA/11-17-082-19W4/0,585.216,585.216,588.569,M,588.569
2004,AA/11-17-084-07W4/0,682.4,679.4,682.4,M,682.4
2005,AA/11-19-081-05W4/0,491.5,487.0,491.5,M,491.5
2006,AA/11-19-092-11W4/0,362.407,362.407,362.407,M,362.407
2007,AA/11-20-082-20W4/0,603.504,603.504,606.857,M,606.857
2008,AA/11-20-095-07W4/0,998.0,994.0,998.0,F,303.392
2009,AA/11-22-099-14W4/0,817.1,815.9,817.1,M,817.1
2010,AA/11-24-090-09W4/0,404.531,403.311,404.531,M,404.531
2011,AA/11-24-096-12W4/0,313.9,313.9,313.9,M,313.9
2012,AA/11-24-099-14W4/0,819.1,815.9,819.1,M,819.1
2013,AA/11-26-087-09W4/0,412.9,407.8,412.9,M,412.9
2014,AA/11-26-099-15W4/0,727.9,724.5,727.9,M,727.9
2015,AA/11-27-096-14W4/0,601.0,598.0,601.0,M,601.0
2016,AA/11-27-101-13W4/0,770.1,766.7,770.1,M,770.1
2017,AA/11-28-088-08W4/0,363.725,362.2,363.725,M,363.725
2018,AA/11-29-082-08W4/0,739.17,735.57,739.17,M,739.17
2019,AA/11-29-082-10W4/0,713.842,710.794,713.842,M,713.842
2020,AA/11-29-084-09W4/0,690.677,687.629,690.677,M,690.677
2021,AA/11-29-090-15W4/0,473.35,470.0,473.35,M,473.35
2022,AA/11-29-100-12W4/0,779.8,776.4,779.8,M,779.8
2023,AA/11-30-071-05W4/0,684.1,684.1,687.4,M,687.4
2024,00/11-30-080-06W4/0,519.32,515.67,519.32,M,519.32
2025,AA/11-30-101-13W4/0,726.86,723.6,726.86,M,726.86
2026,AA/11-31-088-13W4/0,492.1,492.1,492.1,M,492.1
2027,AA/11-32-094-06W4/0,591.35,588.65,591.35,M,591.35
2028,AA/11-33-090-11W4/0,423.367,423.367,423.367,M,423.367
2029,AA/11-33-094-06W4/0,600.27,597.57,600.27,M,600.27
2030,AA/11-35-097-11W4/0,294.2,294.2,294.2,M,294.2
2031,AA/11-36-085-07W4/0,489.66,487.6,489.66,M,489.66
2032,AA/11-36-086-07W4/0,461.06,459.0,461.06,M,461.06
2033,AA/12-06-097-10W4/0,284.9,284.9,284.9,M,284.9
2034,AA/12-07-092-08W4/0,395.326,394.106,395.326,M,395.326
2035,AA/12-08-083-10W4/0,732.892,729.844,732.892,M,732.892
2036,AA/12-08-083-12W4/0,613.41,611.734,613.41,M,613.41
2037,AA/12-08-084-08W4/0,729.691,726.948,729.691,M,729.691
2038,AA/12-08-091-14W4/0,478.5,475.5,478.5,M,478.5
2039,AA/12-08-097-12W4/0,410.0,410.0,410.0,M,410.0
2040,AA/12-11-081-13W4/0,710.946,706.831,710.946,M,710.946
2041,AA/12-11-083-12W4/0,632.308,630.631,632.308,M,632.308
2042,AA/12-11-085-10W4/0,573.634,570.89,573.634,M,573.634
2043,AA/12-12-099-15W4/0,744.35,740.9,744.35,M,744.35
2044,AA/12-14-089-10W4/0,367.97,367.97,367.97,M,367.97
2045,AA/12-16-098-10W4/0,257.06,257.06,257.06,M,257.06
2046,AA/12-16-098-11W4/0,314.29,314.29,314.29,M,314.29
2047,AA/12-18-093-12W4/0,423.5,423.5,423.5,M,423.5
2048,AA/12-28-086-10W4/0,1474.0,1474.0,1474.0,F,448.096
2049,AA/12-29-079-22W4/0,568.6,568.6,573.2,M,573.2
2050,AA/12-29-083-10W4/0,743.407,740.359,743.407,M,743.407
2051,AA/12-30-087-10W4/0,1371.0,1371.0,1371.0,F,416.784
2052,AA/12-32-096-07W4/0,332.171,332.171,332.171,M,332.171
2053,AA/12-36-090-13W4/0,499.567,499.567,499.567,M,499.567
2054,AA/12-36-093-07W4/0,536.753,535.351,536.753,M,536.753
2055,AA/13-01-088-07W4/0,410.31,408.81,410.31,M,410.31
2056,AA/13-02-092-08W4/0,458.724,457.505,458.724,M,458.724
2057,AA/13-06-081-21W4/0,604.15,604.15,608.75,M,608.75
2058,AA/13-07-095-14W4/0,1733.2,1723.2,1733.2,F,526.8928
2059,AA/13-10-099-10W4/0,283.251,283.251,283.251,M,283.251
2060,AA/13-11-095-15W4/0,539.496,535.534,539.496,M,539.496
2061,AA/13-14-084-12W4/0,565.6,562.4,565.6,M,565.6
2062,AA/13-14-099-08W4/0,290.718,290.718,290.718,M,290.718
2063,AA/13-16-099-08W4/0,299.984,299.984,299.984,M,299.984
2064,AA/13-18-099-08W4/0,303.581,303.581,303.581,M,303.581
2065,AA/13-22-088-12W4/0,464.942,463.357,464.942,M,464.942
2066,AA/13-26-084-11W4/0,567.995,566.318,567.995,M,567.995
2067,AA/13-29-097-12W4/0,448.3,448.3,448.3,M,448.3
2068,AA/14-02-098-07W4/0,319.0,319.0,319.0,M,319.0
2069,AA/14-05-082-21W4/0,615.3,615.3,619.8,M,619.8
2070,AA/14-07-097-09W4/0,330.5,330.5,330.5,M,330.5
2071,AA/14-14-101-14W4/0,729.996,726.643,729.996,M,729.996
2072,AA/14-17-082-21W4/0,619.5,619.5,623.9,M,623.9
2073,AA/14-17-088-09W4/0,379.8,375.8,379.8,M,379.8
2074,AA/14-17-093-10W4/0,314.7,314.7,314.7,M,314.7
2075,AA/14-18-085-06W4/0,472.2,472.2,472.2,M,472.2
2076,AA/14-20-094-08W4/0,357.19,357.19,357.19,M,357.19
2077,AA/14-23-094-09W4/0,334.3,334.3,334.3,M,334.3
2078,AA/14-23-094-14W4/0,411.4,409.7,411.4,M,411.4
2079,AA/14-27-094-08W4/0,389.44,389.44,389.44,M,389.44
2080,AA/14-29-097-11W4/0,304.86,304.86,304.86,M,304.86
2081,AA/14-35-100-13W4/0,787.908,784.555,787.908,M,787.908
2082,AA/14-36-082-07W4/0,631.5,627.75,631.5,M,631.5
2083,AA/15-01-098-12W4/0,362.5,362.5,362.5,M,362.5
2084,00/15-06-085-06W4/0,507.7,504.5,507.7,M,507.7
2085,AA/15-08-098-10W4/0,253.92,253.92,253.92,M,253.92
2086,AA/15-12-097-08W4/0,308.79,308.79,308.79,M,308.79
2087,AA/15-14-101-13W4/0,809.0,804.0,809.0,M,809.0
2088,AA/15-15-097-13W4/0,484.632,484.632,484.632,M,484.632
2089,AA/15-19-098-12W4/0,721.67,718.4,721.67,M,721.67
2090,AA/15-23-081-11W4/0,703.98,700.26,703.98,M,703.98
2091,AA/15-24-097-08W4/0,296.936,296.936,296.936,M,296.936
2092,AA/15-26-091-14W4/0,475.4,472.4,475.4,M,475.4
2093,AA/15-29-084-12W4/0,559.796,558.119,559.796,M,559.796
2095,AA/16-02-091-09W4/0,360.243,360.243,361.615,M,361.615
2096,AA/16-02-099-08W4/0,287.64,287.64,287.64,M,287.64
2097,AA/16-03-098-07W4/0,315.0,315.0,315.0,M,315.0
2098,AA/16-04-099-09W4/0,296.342,296.342,296.342,M,296.342
2099,AA/16-05-085-07W4/0,1657.0,1647.0,1657.0,F,503.728
2100,AA/16-06-099-07W4/0,295.443,295.443,295.443,M,295.443
2101,AA/16-07-097-11W4/0,298.55,298.55,298.55,M,298.55
2102,AA/16-10-088-10W4/0,386.791,386.791,386.791,M,386.791
2103,AA/16-12-093-13W4/0,430.5,430.5,430.5,M,430.5
2104,AA/16-15-096-06W4/0,479.45,477.317,479.45,M,479.45
2105,AA/16-16-099-11W4/0,329.794,329.794,329.794,M,329.794
2106,AA/16-17-101-13W4/0,759.104,755.752,759.104,M,759.104
2107,AA/16-18-099-10W4/0,291.694,291.694,291.694,M,291.694
2108,AA/16-19-089-07W4/0,429.463,428.244,429.463,M,429.463
2109,AA/16-20-096-08W4/0,297.57,297.57,297.57,M,297.57
2110,AA/16-21-092-08W4/0,434.95,433.73,434.95,M,434.95
2111,AA/16-21-098-13W4/0,793.6,790.35,793.6,M,793.6
2112,AA/16-22-092-09W4/0,357.165,357.165,357.165,M,357.165
2113,AA/16-23-092-08W4/0,457.505,456.286,457.505,M,457.505
2114,AA/16-23-093-12W4/0,340.4,340.4,340.4,M,340.4
2115,AA/16-28-093-07W4/0,511.272,509.748,511.272,M,511.272
2116,AA/16-30-094-15W4/0,523.342,520.294,523.342,M,523.342
2117,AA/16-33-088-14W4/0,499.872,499.872,499.872,M,499.872
2118,AA/16-34-086-12W4/0,1515.0,1515.0,1515.0,F,460.56
2119,AA/16-34-099-13W4/0,805.099,802.081,805.099,M,805.099
2120,AB/01-23-093-13W4/0,420.86,420.86,420.86,M,420.86
2121,AB/04-23-092-11W4/0,332.5,332.5,332.5,M,332.5
2122,AB/05-02-086-07W4/0,480.0,478.6,480.0,M,480.0
2123,AB/06-17-094-09W4/0,322.89,322.89,322.89,M,322.89
2124,AB/07-11-094-11W4/0,292.0,292.0,292.0,F,88.768
2126,AB/10-08-089-08W4/0,386.578,385.359,386.578,M,386.578
2127,AB/10-13-095-09W4/0,322.0,322.0,322.0,M,322.0
2129,AB/11-15-094-08W4/0,396.83,396.83,396.83,M,396.83
2130,AB/11-32-084-06W4/0,489.4,486.3,489.4,M,489.4
2131,AB/12-06-094-11W4/0,327.6,327.6,327.6,M,327.6
2132,AB/12-15-093-11W4/0,323.7,323.7,323.7,M,323.7
2133,AB/13-07-096-09W4/0,300.5,300.5,300.5,M,300.5
2134,AB/15-34-092-10W4/0,270.1,270.1,270.1,M,270.1
2135,AB/16-28-095-10W4/0,302.971,302.057,302.971,M,302.971
2136,AC/03-04-093-11W4/0,336.6,336.6,336.6,M,336.6
2137,AC/15-07-093-12W4/0,432.8,432.8,432.8,M,432.8
2138,AC/15-31-097-10W4/0,254.2,254.2,254.2,M,254.2
2139,AD/05-15-088-08W4/0,387.34,385.51,387.34,M,387.34
