,SitID,Formation,MD,Quality,Unnamed: 0,UWI,DATUM,GL,EREF,UNIT,datum,UWI (AGS),TVDSS
53,102500,12000,549.00,3,1084.00,00/10-29-067-02W4/0,710.70,707.50,710.70,M,710.70,0674022910000,161.70
54,102500,13000,549.00,3,1084.00,00/10-29-067-02W4/0,710.70,707.50,710.70,M,710.70,0674022910000,161.70
55,102500,14000,636.50,1,1084.00,00/10-29-067-02W4/0,710.70,707.50,710.70,M,710.70,0674022910000,74.20
56,102501,1000,367.50,1,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,322.07
57,102501,2000,,-1,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,
58,102501,3000,,-1,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,
59,102501,4000,,-1,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,
60,102501,5000,489.50,1,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,200.07
61,102501,6000,,-1,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,
62,102501,7000,515.00,3,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,174.57
63,102501,9000,520.00,3,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,169.57
64,102501,9500,520.00,3,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,169.57
65,102501,10000,525.50,3,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,164.07
66,102501,11000,529.00,2,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,160.57
67,102501,12000,529.00,2,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,160.57
68,102501,13000,529.00,2,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,160.57
69,102501,14000,613.00,1,423.00,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,76.57
70,102503,1000,335.50,1,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,322.29
71,102503,2000,,-1,1186.00,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,
