,SitID,Well_MAE,well_rmse,Longitude,Latitude,foldno
684,108843,2.0182149730574537,2.0246740888046886,-113.76611100000001,55.393597,1
685,114398,8.359143484818853,18.42460720659511,-111.464312,56.226388,1
686,106447,10.78142856078506,19.21884798613834,-110.56684399999999,55.16094399999999,1
687,107456,5.388050025243734,5.951352152046423,-114.44117,55.226709,1
688,109265,16.923020135396698,20.924292828257958,-111.87855400000001,55.509928,1
689,118644,6.229602707779421,6.289627792395615,-112.53787700000001,56.924510999999995,1
690,144391,10.046775641185471,10.371553888835539,-112.75261499999999,56.866323,1
691,105796,30.245559357286922,41.62267419076801,-112.907316,55.036753000000004,1
692,109901,0.6381170922244337,0.6625411436560084,-110.94700800000001,55.59719499999999,1
693,116092,3.062282467205108,3.1195480986592536,-110.331681,56.469868999999996,1
694,117221,1.9730402904425166,2.8145173462331683,-112.068776,56.677001000000004,1
695,163809,6.578337595991934,8.229174822763683,-114.01172199999999,55.241381000000004,1
696,108143,15.61540853853296,30.52138659827651,-112.734099,55.295564,1
697,106533,10.344982589202505,17.521171655064553,-111.996873,55.150114,1
698,108736,18.15681411370208,30.09087484237554,-112.29822800000001,55.382829,1
699,124881,3.4667099150344853,5.500180707269149,-112.189999,57.360849,1
700,109908,1.772209740765798,1.9462999730061084,-111.205802,55.571732999999995,1
701,111098,2.8604762322427746,3.443427609092222,-113.411645,55.789911,1
702,107991,45.47797531476033,45.47797531476033,-110.990572,55.295581999999996,1
703,117208,92.15881941111013,92.15881941111013,-111.404296,56.637147,1
704,178277,4.269801901016258,4.269801901016258,-114.703226,55.495803,1
705,114400,4.450915170781116,4.450915170781116,-111.622308,56.182652000000004,1
706,106700,5.897623464847403,7.175778062304669,-114.120649,55.176019999999994,1
707,114361,4.653512650030204,5.367154192867324,-110.990255,56.211735,1
708,113823,2.223619549503894,2.223619549503894,-110.981108,56.135362,1
709,102743,6.879636451671587,8.99481495766575,-112.360351,54.83651700000001,1
710,112423,2.952096317612226,3.5839372636281275,-113.64995900000001,55.964362,1
711,104837,7.166035782288887,7.166035782288887,-112.538352,54.989388,1
712,116138,0.5428640210739483,0.6438175565905818,-112.372309,56.451822,1
713,124208,99.6086183064748,99.6086183064748,-111.3168,57.357241,1
714,164526,4.820550155562169,5.345184774095081,-113.72823700000001,56.026151,1
715,112333,2.56270964224953,2.902216543272603,-111.477011,55.924344999999995,1
716,110376,16.723847433835658,23.242103070386957,-111.128198,55.699135999999996,1
717,114476,5.258145219877548,6.799210844609324,-113.478794,56.164543,1
718,108774,10.556993609000793,17.415567047706986,-112.689173,55.37921899999999,1
719,106621,4.956403862540569,6.550250835004349,-112.99686899999999,55.193630000000006,1
720,142545,2.5989235905612134,2.697760634620383,-110.73356899999999,55.684456000000004,1
721,163611,10.804303400711376,17.623911795089224,-111.445246,54.826009,1
722,114451,0.6052116932933131,0.795026361658978,-112.86003600000001,56.226339,1
723,110485,2.0307797526830313,2.3692901209071784,-113.95511200000001,55.717347,1
724,112387,7.618645844139316,14.18170999747803,-113.245543,55.913433,1
725,112339,26.334527137894497,43.453592455806536,-111.60753899999999,55.960829000000004,1
726,110487,3.490396468227369,3.7610459203316,-114.146984,55.673953000000004,1
727,117230,1.5129943432910693,1.7682771849778922,-112.35453500000001,56.618854000000006,1
728,111795,1.3701110191484958,1.586995890109633,-113.25198799999998,55.891571,1
729,111134,2.707364554153383,2.811834051384586,-114.19228899999999,55.742979000000005,1
730,106479,3.6493008802672193,3.6493008802672193,-111.12516200000002,55.193674,1
731,141867,2.8659667534525113,2.939490781556479,-110.66318400000002,54.971501,1
732,106489,10.851170670861393,10.851170670861393,-111.381497,55.175603,1
733,106633,0.2257467679778813,0.2257467679778813,-113.150617,55.164539000000005,1
734,108617,1.4867185818590183,1.8817650443635792,-110.12421599999999,55.393588,1
735,117249,12.00885745155895,18.988126854929167,-112.806601,56.607986,1
736,115444,16.001880372015904,24.588578964386464,-111.31284099999999,56.357165,1
737,105824,7.337811605838269,10.265561336548135,-113.224658,55.05857099999999,1
738,141873,0.02235582235996958,0.02235582235996958,-110.67612,55.018671,1
739,117835,1.175729378178616,1.8659059140964156,-112.434376,56.749802,1
740,105677,14.68369056764351,19.994476338891356,-111.318119,55.058766000000006,1
741,106463,3.5443909263104274,3.5443909263104274,-111.048231,55.15013100000001,1
742,111660,34.23756512192019,53.73480362621008,-110.58952,55.819038,1
743,144547,2.898720516428019,3.129285446114317,-112.048124,56.997133999999996,1
744,118191,2.133728897648249,2.293269219663822,-112.43436899999999,56.837045999999994,1
745,106665,6.850229447954035,10.506443745202654,-113.58655700000001,55.197188,1
746,109253,5.100373049663307,9.30237569694215,-111.729699,55.495477,1
747,126152,16.283282917894496,20.391927536018454,-112.115907,57.651599,1
748,125902,24.450313164642647,39.79886989455805,-111.77043300000001,57.517086,1
749,142890,6.231040563014211,6.376305586147056,-110.458996,55.815428000000004,1
750,108159,11.68710718541967,15.99098698788097,-113.02242700000001,55.335485999999996,1
751,121613,16.534688649353527,29.061901650054576,-111.028677,57.142557,1
752,114893,2.7227776753226323,3.731019806556075,-113.571226,56.328084999999994,1
753,109868,7.419904473575741,14.357740825849989,-110.89524499999999,55.57173100000001,1
754,114861,0.9839806525574488,0.9975235459401557,-112.445198,56.324454,1
755,112399,1.590206377312171,1.8985224691319407,-113.343101,55.96798199999999,1
756,116443,2.4136639239248914,3.1104704210696603,-110.992443,56.582581999999995,1
757,109228,15.2594833189751,21.891402422679466,-110.94700800000001,55.495475,1
758,109914,2.065887648369724,2.583637930511433,-111.335255,55.597198,1
759,106735,119.43289601885465,120.93518894320582,-114.434426,55.16493199999999,1
760,106573,5.044496118125366,5.044496118125366,-112.76601799999999,55.164563,1
761,178147,4.14452055281728,4.516304530357572,-113.099368,55.29554399999999,1
762,142039,1.101683283120579,1.42159165446415,-111.330216,55.153757999999996,1
763,126244,5.303767252209165,7.317525862505809,-112.18413899999999,57.80781700000001,1
764,113800,48.106957655868484,67.39727584306685,-110.59597,56.095271,1
765,106635,4.111911012950202,4.111911012950202,-113.11863500000001,55.17556,1
766,104812,14.444496506372085,22.970482116114837,-112.201601,54.960301,1
767,141878,1.7713810971224102,1.9956632157832916,-110.784125,55.015042,1
768,114429,0.5089892425571824,0.6355924488394614,-112.43868300000001,56.237190000000005,1
