,Formation,n_train,n_holdout,MAE,RMSE,Std
0,1000,1195,396,41.5,53.47669491153499,51.950925644090205
1,2000,248,80,7.1,12.42242066352223,11.879597379041902
2,3000,284,78,3.8,10.137391399400256,10.083016184634705
3,4000,434,154,12.1,23.426934664787087,23.23817178275494
4,5000,1409,499,6.1,20.065209120654732,20.06113653096527
5,6000,324,101,3.1,4.1961044762997926,4.195902307830445
6,7000,1195,381,3.6,12.958154489049923,12.835918373635764
7,8000,0,0,,,
8,9000,1336,447,5.7,35.09468994187538,34.88630947315644
9,9500,1342,441,4.9,20.103629712047173,19.87412903854295
10,10000,1349,482,4.3,23.175846454930895,23.031342255567466
11,11000,1380,417,5.0,18.01823563586561,17.849815924606624
12,12000,1321,462,5.7,27.51212900445781,27.26078978478721
13,13000,1437,443,9.0,43.48274772180555,43.36877287255192
14,14000,1559,540,30.4,40.64858924159428,40.03188754093925
