,Formation,n_train,n_holdout,MAE,RMSE,Std
0,1000,1196,395,38.4,50.57156580076087,49.68593042900454
1,2000,245,83,5.0,8.778403366207616,8.707897417504736
2,3000,275,87,4.1,17.226495864886846,17.110376710051206
3,4000,438,150,14.3,52.23193332518177,52.04446931622247
4,5000,1410,498,6.1,15.431462628505512,15.426541797116899
5,6000,320,105,3.1,4.213355472278169,4.192455658001248
6,7000,1171,405,6.0,27.753718178468453,27.472912530165765
7,8000,0,0,,,
8,9000,1345,438,3.7,12.619241933751232,12.45030731791541
9,9500,1338,445,2.6,7.912253082201212,7.878139483782121
10,10000,1382,449,5.5,36.82082281286369,36.66288413281105
11,11000,1358,439,4.8,20.538727827592812,20.35280164149181
12,12000,1336,447,3.4,10.666043298467558,10.622008605925773
13,13000,1401,479,4.3,10.6374746406634,10.610992572159308
14,14000,1595,504,31.4,76.21496117592709,76.2104979739606
