,Formation,n_train,n_holdout,MAE,RMSE,Std
0,SSXS,197,67,11.9,21.677514237744724,21.662918767018102
1,SSXbase,254,97,14.7,38.57405795753897,38.14593209007611
2,SHNNu,707,209,9.1,19.031834969317902,19.020587426206166
3,SHNNl,696,224,9.0,24.039333742606527,24.03864002003948
4,SHNNbs,496,173,9.5,28.377709801252692,28.283957949275052
5,StBR,75,25,13.0,22.3639017951672,20.626917419684982
6,StFT,79,21,11.2,17.344061859943682,16.505556231220375
7,StGD,75,15,14.3,23.953198418494093,22.50889710328549
8,StAM,82,26,10.9,22.960895969485392,21.74712154372055
9,NBRRws,152,37,21.2,32.08996405360804,31.98068562746364
10,NBRRsg,138,50,17.3,29.328385171756658,28.553984561760707
11,CRLL,205,63,16.0,21.22130457895237,21.21424917032886
12,F1WC,260,72,16.1,22.695481165132797,22.67813152713592
13,F1WCBench1Base,71,24,19.9,26.58246491044249,25.498994259892186
14,F1WCBench2Top,56,32,25.8,33.32011459543147,32.03495823931366
15,F1WCBench2Base,58,15,8.9,12.251798351983615,12.234726441625105
16,F1WCBench3Top,52,22,12.3,23.189366874657786,22.51823830075518
17,F1WCbase,242,90,47.3,57.5830902680238,56.87972648031577
18,B1,215,61,12.6,16.88079047653702,16.60819589239951
19,F2WC,243,81,17.6,24.763360860217293,24.69575396856012
20,F2WCbase,219,70,13.2,18.66758188443139,17.820352681166696
21,F3WC,40,14,28.0,39.886570669219026,39.600050947669125
22,F3WCbase,32,12,13.1,20.207973101345537,16.854017080600073
23,MWRY,43,10,75.6,185.0608669629947,174.02760358416413
24,MDDY,24,7,41.0,51.927336140919365,49.227780820655006
25,THRM,21,8,19.1,21.601152978190306,20.973482178981588
26,DKOT,37,9,33.2,42.664790388215415,40.3853439667104
27,LKOT,19,12,30.0,38.185664927843725,38.16341721898873
28,MRSN,22,9,44.8,59.45400597828504,47.63298677096439
29,SNDCu,6,1,19.6,19.5522180143671,0.0
30,CNSP,5,0,,,
31,CRMT,15,3,25.6,37.035267423676444,26.749789272116146
32,ALCV,13,2,11.6,12.93692337252973,5.657595333404743
33,RDPK,12,3,11.0,13.903186612288351,9.175554907816812
34,ERVY,2,0,,,
35,FRLL,2,1,40.0,39.978338503949544,0.0
36,GLND,1,0,,,
37,MNKT,30,6,19.0,25.744889655369587,25.237030347433592
38,OPCH,24,10,18.1,25.172372583175036,23.036155654645718
39,A Sand,26,7,10.0,13.227388021562012,11.246457455531676
40,B Dolo,26,9,8.2,13.26568471836551,12.79030010745168
41,B Sand,23,12,8.5,16.155952860079765,15.701626406991387
42,C1 Dolo,24,8,7.8,9.447918341793576,8.098336650122965
43,C1 Sand,1,1,143.6,143.55417333674086,0.0
44,C2 Dolo,2,0,,,
45,C2 Sand,2,3,99.2,108.85850986503051,86.63903592229168
46,C3 Dolo,3,1,137.9,137.9283134584448,0.0
47,C3 Sand,4,1,21.2,21.23906448769776,0.0
48,C4 Dolo,5,0,,,
49,C4 Sand,4,1,5.9,5.938194256421411,0.0
50,D Dolo,2,0,,,
51,D Sand,1,0,,,
52,E Dolo,1,0,,,
53,AMSD,1,0,,,
54,MDSN,1,0,,,
55,PC,1,0,,,
