API,Formation,SS,MD,Observation number
10/4-1,CROMER KNOLL GP. Top,-1350.9,1382,1
10/4-1,Roedby Fm. Top,-1350.9,1382,1
10/4-1,Sola Fm. Top,-1381.9,1413,1
10/4-1,Aasgard Fm. Top,-1397.9,1429,1
10/4-1,VESTLAND GP. Top,-2242.88,2274,1
10/4-1,Bryne Fm. Top,-2279.88,2311,1
10/4-1,Sandnes Fm. Top,-2242.88,2274,1
10/4-1,SHETLAND GP. Top,-558.93,590,1
10/4-1,Ekofisk Fm. Top,-558.93,590,1
10/4-1,Hod Fm. Top,-900.9,932,1
10/4-1,Tor Fm. Top,-616.92,648,1
10/4-1,ROGALAND GP. Top,-458.94,490,1
10/4-1,Balder Fm. Top,-458.94,490,1
10/4-1,Lista Fm. Top,-517.93,549,1
10/4-1,Sele Fm. Top,-491.93,523,1
10/4-1,Vaale Fm. Top,-553.93,585,1
10/4-1,NORDLAND GP. Top,-98,129,1
10/4-1,BOKNFJORD GP. Top,-1905.9,1937,1
10/4-1,Egersund Fm. Top,-2213.88,2245,1
10/4-1,Flekkefjord Fm. Top,-1810.9,1842,1
10/4-1,Sauda Fm. Top,-1905.9,1937,1
10/4-1,Tau Fm. Top,-2183.89,2215,1
10/4-1,HORDALAND GP. Top,-197.97,229,1
10/5-1,Borglum Unit Fm. Top,-1372,1396,1
10/5-1,Gassum Fm. Top,-1500,1524,1
10/5-1,Skagerrak Fm. Top,-1515,1539,1
10/5-1,Smith Bank Fm. Top,-1537,1561,1
10/5-1,CROMER KNOLL GP. Top,-1022,1046,1
10/5-1,Roedby Fm. Top,-1022,1046,1
10/5-1,Sola Fm. Top,-1069,1093,1
10/5-1,Aasgard Fm. Top,-1115,1139,1
10/5-1,VESTLAND GP. Top,-1448,1472,1
10/5-1,Bryne Fm. Top,-1466,1490,1
10/5-1,Sandnes Fm. Top,-1448,1472,1
10/5-1,SHETLAND GP. Top,-311,335,1
10/5-1,Blodoeks Fm. Top,-1001,1025,1
10/5-1,Ekofisk Fm. Top,-311,335,1
10/5-1,Hidra Fm. Top,-1016,1040,1
10/5-1,Hod Fm. Top,-511,535,1
10/5-1,Tor Fm. Top,-404,428,1
10/5-1,ROGALAND GP. Top,-246,270,1
10/5-1,Balder Fm. Top,-246,270,1
10/5-1,Lista Fm. Top,-266,290,1
10/5-1,Vaale Fm. Top,-303,327,1
10/5-1,NORDLAND GP. Top,-98,122,1
10/5-1,BOKNFJORD GP. Top,-1251,1275,1
10/5-1,Flekkefjord Fm. Top,-1251,1275,1
10/5-1,Sauda Fm. Top,-1311,1335,1
10/5-1,HORDALAND GP. Top,-166,190,1
10/5-1,BASEMENT Top,-1794,1818,1
10/7-1,CROMER KNOLL GP. Top,-997.88,1022,1
10/7-1,VESTLAND GP. Top,-1514.81,1539,1
10/7-1,Bryne Fm. Top,-1607.8,1632,1
10/7-1,Sandnes Fm. Top,-1514.81,1539,1
10/7-1,SHETLAND GP. Top,-756.97,781,1
10/7-1,ROGALAND GP. Top,-627.97,652,1
10/7-1,Balder Fm. Top,-627.97,652,1
10/7-1,Fiskebank Fm. Top,-648.97,673,1
10/7-1,Lista Fm. Top,-695.97,720,1
10/7-1,NORDLAND GP. Top,-86,110,1
10/7-1,BOKNFJORD GP. Top,-1273.85,1298,1
10/7-1,Flekkefjord Fm. Top,-1273.85,1298,1
10/7-1,Sauda Fm. Top,-1361.84,1386,1
10/7-1,Tau Fm. Top,-1461.82,1486,1
10/7-1,HORDALAND GP. Top,-426.97,451,1
10/8-1,Gassum Fm. Top,-1470,1494,1
10/8-1,Skagerrak Fm. Top,-1543,1567,1
10/8-1,Smith Bank Fm. Top,-2725,2749,1
10/8-1,CROMER KNOLL GP. Top,-1159,1183,1
10/8-1,Roedby Fm. Top,-1159,1183,1
10/8-1,Sola Fm. Top,-1177,1201,1
10/8-1,Aasgard Fm. Top,-1302,1326,1
10/8-1,SHETLAND GP. Top,-632,656,1
10/8-1,Blodoeks Fm. Top,-1129,1153,1
10/8-1,Ekofisk Fm. Top,-632,656,1
10/8-1,Hidra Fm. Top,-1133,1157,1
10/8-1,Hod Fm. Top,-997,1021,1
10/8-1,Tor Fm. Top,-724,748,1
10/8-1,ROGALAND GP. Top,-492,516,1
10/8-1,Balder Fm. Top,-492,516,1
10/8-1,Fiskebank Fm. Top,-518,542,1
10/8-1,Lista Fm. Top,-545,569,1
10/8-1,Sele Fm. Top,-503,527,1
10/8-1,Vaale Fm. Top,-597,621,1
10/8-1,NORDLAND GP. Top,-81,105,1
10/8-1,BOKNFJORD GP. Top,-1343,1367,1
10/8-1,Egersund Fm. Top,-1440,1464,1
10/8-1,Flekkefjord Fm. Top,-1343,1367,1
10/8-1,Sauda Fm. Top,-1369,1393,1
10/8-1,Tau Fm. Top,-1427,1451,1
10/8-1,HORDALAND GP. Top,-196,220,1
11/10-1,Borglum Unit Fm. Top,-1722.35,1750,1
11/10-1,Gassum Fm. Top,-1832.35,1860,1
11/10-1,Skagerrak Fm. Top,-1872.35,1900,1
11/10-1,CROMER KNOLL GP. Top,-1465.35,1493,1
11/10-1,Roedby Fm. Top,-1465.35,1493,1
11/10-1,Aasgard Fm. Top,-1482.35,1510,1
11/10-1,SHETLAND GP. Top,-1020.52,1048,1
11/10-1,Blodoeks Fm. Top,-1427.35,1455,1
11/10-1,Ekofisk Fm. Top,-1020.52,1048,1
11/10-1,Hod Fm. Top,-1328.35,1356,1
11/10-1,Tor Fm. Top,-1082.49,1110,1
11/10-1,ROGALAND GP. Top,-995.53,1023,1
11/10-1,Balder Fm. Top,-995.53,1023,1
11/10-1,Lista Fm. Top,-1015.52,1043,1
11/10-1,Sele Fm. Top,-1011.53,1039,1
11/10-1,Vaale Fm. Top,-1017.52,1045,1
11/10-1,NORDLAND GP. Top,-62.96,90,1
11/10-1,BOKNFJORD GP. Top,-1627.35,1655,1
11/10-1,Flekkefjord Fm. Top,-1627.35,1655,1
11/10-1,Sauda Fm. Top,-1644.35,1672,1
11/10-1,HORDALAND GP. Top,-402.8,430,1
11/5-1,ROTLIEGENDES GP. Top,-1298.88,1322,1
11/5-1,CROMER KNOLL GP. Top,-358.93,382,1
11/5-1,Sola Fm. Top,-396.91,420,1
11/5-1,Aasgard Fm. Top,-693.89,717,1
11/5-1,VESTLAND GP. Top,-1252.88,1276,1
11/5-1,Sandnes Fm. Top,-1252.88,1276,1
11/5-1,SHETLAND GP. Top,-331.96,355,1
11/5-1,NORDLAND GP. Top,-176,199,1
11/5-1,BOKNFJORD GP. Top,-1062.89,1086,1
11/5-1,Egersund Fm. Top,-1117.89,1141,1
11/5-1,Sauda Fm. Top,-1062.89,1086,1
11/5-1,Tau Fm. Top,-1083.89,1107,1
11/5-1,BASEMENT Top,-1882.96,1920,1
11/9-1,Skagerrak Fm. Top,-120,145,1
11/9-1,Smith Bank Fm. Top,-619,644,1
15/12-1,Grid Fm. Top,-2230.81,2256,1
15/12-1,Skagerrak Fm. Top,-3178.54,3204,1
15/12-1,VIKING GP. Top,-2980.56,3006,1
15/12-1,Draupne Fm. Top,-2980.56,3006,1
15/12-1,Heather Fm. Top,-3001.56,3027,1
15/12-1,CROMER KNOLL GP. Top,-2966.56,2992,1
15/12-1,Roedby Fm. Top,-2966.56,2992,1
15/12-1,VESTLAND GP. Top,-3097.55,3123,1
15/12-1,Hugin Fm. Top,-3097.55,3123,1
15/12-1,Sleipner Fm. Top,-3126.55,3152,1
15/12-1,SHETLAND GP. Top,-2617.62,2643,1
15/12-1,Blodoeks Fm. Top,-2928.56,2954,1
15/12-1,Ekofisk Fm. Top,-2617.62,2643,1
15/12-1,Hod Fm. Top,-2858.57,2884,1
15/12-1,Svarte Fm. Top,-2935.56,2961,1
15/12-1,Tor Fm. Top,-2712.58,2738,1
15/12-1,ROGALAND GP. Top,-2369.78,2395,1
15/12-1,Balder Fm. Top,-2369.78,2395,1
15/12-1,Lista Fm. Top,-2464.75,2490,1
15/12-1,Maureen Fm. Top,-2608.62,2634,1
15/12-1,Sele Fm. Top,-2399.77,2425,1
15/12-1,NORDLAND GP. Top,-94,119,1
15/12-1,Utsira Fm. Top,-929.96,955,1
15/12-1,HORDALAND GP. Top,-1251.95,1277,1
15/12-10 S,Skagerrak Fm. Top,-2970.38,3429,1
15/12-10 S,VIKING GP. Top,-2833.49,3261,1
15/12-10 S,Heather Fm. Top,-2833.49,3261,1
15/12-10 S,Heather Fm. Top,-2936.94,3388,2
15/12-10 S,Intra Heather Fm. Sst. Top,-2923.92,3372,1
15/12-10 S,CROMER KNOLL GP. Top,-2787.15,3204,1
15/12-10 S,Roedby Fm. Top,-2787.15,3204,1
15/12-10 S,Aasgard Fm. Top,-2803.37,3224,1
15/12-10 S,VESTLAND GP. Top,-2963.03,3420,1
15/12-10 S,Sleipner Fm. Top,-2963.03,3420,1
15/12-10 S,SHETLAND GP. Top,-2435.3,2766,1
15/12-10 S,Blodoeks Fm. Top,-2701.55,3097,1
15/12-10 S,Hod Fm. Top,-2503.47,2850,1
15/12-10 S,Svarte Fm. Top,-2709.52,3107,1
15/12-10 S,Tor Fm. Top,-2435.3,2766,1
15/12-10 S,ROGALAND GP. Top,-2257.37,2550,1
15/12-10 S,Balder Fm. Top,-2257.37,2550,1
15/12-10 S,Lista Fm. Top,-2305.18,2607,1
15/12-10 S,Sele Fm. Top,-2264.95,2559,1
15/12-10 S,NORDLAND GP. Top,-84,107,1
15/12-10 S,Utsira Fm. Top,-993.07,1096,1
15/12-10 S,HORDALAND GP. Top,-1260.63,1408,1
15/12-11 S,Grid Fm. Top,-2247,2270,1
15/12-11 S,Skagerrak Fm. Top,-3521,3544,1
15/12-11 S,VIKING GP. Top,-3218,3241,1
15/12-11 S,Draupne Fm. Top,-3218,3241,1
15/12-11 S,Heather Fm. Top,-3299,3322,1
15/12-11 S,CROMER KNOLL GP. Top,-3198,3221,1
15/12-11 S,Roedby Fm. Top,-3198,3221,1
15/12-11 S,Aasgard Fm. Top,-3211,3234,1
15/12-11 S,VESTLAND GP. Top,-3372,3395,1
15/12-11 S,Hugin Fm. Top,-3372,3395,1
15/12-11 S,Sleipner Fm. Top,-3396,3419,1
15/12-11 S,SHETLAND GP. Top,-2817,2840,1
15/12-11 S,Blodoeks Fm. Top,-3105,3128,1
15/12-11 S,Ekofisk Fm. Top,-2817,2840,1
15/12-11 S,Hod Fm. Top,-2899,2922,1
15/12-11 S,Svarte Fm. Top,-3123,3146,1
15/12-11 S,Tor Fm. Top,-2833,2856,1
15/12-11 S,ROGALAND GP. Top,-2507,2530,1
15/12-11 S,Balder Fm. Top,-2507,2530,1
15/12-11 S,Heimdal Fm. Top,-2657,2680,1
15/12-11 S,Lista Fm. Top,-2589,2612,1
15/12-11 S,Maureen Fm. Top,-2790,2813,1
15/12-11 S,Sele Fm. Top,-2549,2572,1
15/12-11 S,Vaale Fm. Top,-2802,2825,1
15/12-11 S,NORDLAND GP. Top,-99,122,1
15/12-11 S,Utsira Fm. Top,-944,967,1
15/12-11 S,HORDALAND GP. Top,-1300,1323,1
15/12-12,HEGRE GP. Top,-2932.53,2977,1
15/12-12,Skagerrak Fm. Top,-2932.53,2977,1
15/12-12,VIKING GP. Top,-2765.08,2793,1
15/12-12,Draupne Fm. Top,-2765.08,2793,1
15/12-12,Intra Heather Fm. Sst. Top,-2827.95,2861,1
15/12-12,CROMER KNOLL GP. Top,-2684.27,2711,1
15/12-12,Roedby Fm. Top,-2684.27,2711,1
15/12-12,Roedby Fm. Top,-2746.66,2774,2
15/12-12,Sola Fm. Top,-2706.17,2733,1
15/12-12,SHETLAND GP. Top,-2418.52,2445,1
15/12-12,Blodoeks Fm. Top,-2624.34,2651,1
15/12-12,Ekofisk Fm. Top,-2418.52,2445,1
15/12-12,Hidra Fm. Top,-2648.31,2675,1
15/12-12,Hod Fm. Top,-2531.45,2558,1
15/12-12,Tor Fm. Top,-2423.52,2450,1
15/12-12,ROGALAND GP. Top,-2211.62,2238,1
15/12-12,Balder Fm. Top,-2211.62,2238,1
15/12-12,Lista Fm. Top,-2285.58,2312,1
15/12-12,Sele Fm. Top,-2225.61,2252,1
15/12-12,Vaale Fm. Top,-2393.54,2420,1
15/12-12,NORDLAND GP. Top,-87,113,1
15/12-12,HORDALAND GP. Top,-1218.94,1245,1
15/12-13,VIKING GP. Top,-2812.14,2856,1
15/12-13,Draupne Fm. Top,-2812.14,2856,1
15/12-13,Heather Fm. Top,-2898.29,2944,1
15/12-13,Intra Heather Fm. Sst. Top,-2965.8,3013,1
15/12-13,CROMER KNOLL GP. Top,-2681.84,2723,1
15/12-13,VESTLAND GP. Top,-2982.43,3030,1
15/12-13,Hugin Fm. Top,-2982.43,3030,1
15/12-13,SHETLAND GP. Top,-2417.09,2453,1
15/12-13,ROGALAND GP. Top,-2253.18,2286,1
15/12-13,Balder Fm. Top,-2253.18,2286,1
15/12-13,Lista Fm. Top,-2335.61,2370,1
15/12-13,Sele Fm. Top,-2263.98,2297,1
15/12-13,NORDLAND GP. Top,-87,105,1
15/12-13,Utsira Fm. Top,-1206.8,1225,1
15/12-13,HORDALAND GP. Top,-1221.8,1240,1
15/12-13 A,ROGALAND GP. Top,-2250.7,2452,1
15/12-13 A,Balder Fm. Top,-2250.7,2452,1
15/12-13 A,Sele Fm. Top,-2262.88,2468,1
15/12-13 A,NORDLAND GP. Top,-87,105,1
15/12-13 A,Utsira Fm. Top,-1206.8,1225,1
15/12-13 A,HORDALAND GP. Top,-1221.8,1240,1
15/12-13 B,Skagerrak Fm. Top,-2993.81,3092,1
15/12-13 B,VIKING GP. Top,-2788.52,2877,1
15/12-13 B,Draupne Fm. Top,-2788.52,2877,1
15/12-13 B,Heather Fm. Top,-2847.19,2939,1
15/12-13 B,Intra Heather Fm. Sst. Top,-2858.55,2951,1
15/12-13 B,CROMER KNOLL GP. Top,-2674.24,2756,1
15/12-13 B,VESTLAND GP. Top,-2869.93,2963,1
15/12-13 B,Hugin Fm. Top,-2869.93,2963,1
15/12-13 B,SHETLAND GP. Top,-2451.44,2520,1
15/12-13 B,ROGALAND GP. Top,-2221.03,2277,1
15/12-13 B,Balder Fm. Top,-2221.03,2277,1
15/12-13 B,Lista Fm. Top,-2284.63,2344,1
15/12-13 B,Sele Fm. Top,-2228.62,2285,1
15/12-13 B,NORDLAND GP. Top,-87,105,1
15/12-13 B,Utsira Fm. Top,-1206.8,1225,1
15/12-13 B,HORDALAND GP. Top,-1221.8,1240,1
15/12-14,VIKING GP. Top,-2774.7,2992,1
15/12-14,Draupne Fm. Top,-2774.7,2992,1
15/12-14,Heather Fm. Top,-2793.79,3015,1
15/12-14,Heather Fm. Top,-2960.72,3220,2
15/12-14,Intra Heather Fm. Sst. Top,-2864.04,3100,1
15/12-14,CROMER KNOLL GP. Top,-2767.99,2984,1
15/12-14,VESTLAND GP. Top,-2989.28,3255,1
15/12-14,Sleipner Fm. Top,-2989.28,3255,1
15/12-14,SHETLAND GP. Top,-2411.55,2571,1
15/12-14,ROGALAND GP. Top,-2251.56,2391,1
15/12-14,Balder Fm. Top,-2251.56,2391,1
15/12-14,Lista Fm. Top,-2277.52,2420,1
15/12-14,Sele Fm. Top,-2256.03,2396,1
15/12-14,NORDLAND GP. Top,-85,136,1
15/12-14,HORDALAND GP. Top,-1268.53,1325,1
15/12-15,VIKING GP. Top,-2930.67,2956,1
15/12-15,Draupne Fm. Top,-2930.67,2956,1
15/12-15,Heather Fm. Top,-2936.67,2962,1
15/12-15,Intra Heather Fm. Sst. Top,-3019.64,3045,1
15/12-15,CROMER KNOLL GP. Top,-2855.71,2881,1
15/12-15,VESTLAND GP. Top,-3253.58,3279,1
15/12-15,Sleipner Fm. Top,-3253.58,3279,1
15/12-15,SHETLAND GP. Top,-2629.8,2655,1
15/12-15,ROGALAND GP. Top,-2422.81,2448,1
15/12-15,Balder Fm. Top,-2422.81,2448,1
15/12-15,Lista Fm. Top,-2486.81,2512,1
15/12-15,Sele Fm. Top,-2433.81,2459,1
15/12-15,Vaale Fm. Top,-2610.8,2636,1
15/12-15,NORDLAND GP. Top,-88,113,1
15/12-15,Utsira Fm. Top,-1044.96,1070,1
15/12-15,HORDALAND GP. Top,-1276.95,1302,1
15/12-16 S,Skagerrak Fm. Top,-2816.75,2914,1
15/12-16 S,VIKING GP. Top,-2717.82,2802,1
15/12-16 S,Draupne Fm. Top,-2717.82,2802,1
15/12-16 S,Heather Fm. Top,-2746.17,2834,1
15/12-16 S,CROMER KNOLL GP. Top,-2619.69,2693,1
15/12-16 S,Sola Fm. Top,-2639.75,2715,1
15/12-16 S,Aasgard Fm. Top,-2700.05,2782,1
15/12-16 S,SHETLAND GP. Top,-2383.79,2447,1
15/12-16 S,Blodoeks Fm. Top,-2603.13,2675,1
15/12-16 S,Ekofisk Fm. Top,-2383.79,2447,1
15/12-16 S,Hidra Fm. Top,-2610.49,2683,1
15/12-16 S,Hod Fm. Top,-2514.7,2581,1
15/12-16 S,Tor Fm. Top,-2391.7,2455,1
15/12-16 S,ROGALAND GP. Top,-2198.16,2259,1
15/12-16 S,Balder Fm. Top,-2198.16,2259,1
15/12-16 S,Lista Fm. Top,-2263.2,2325,1
15/12-16 S,Maureen Fm. Top,-2371.92,2435,1
15/12-16 S,Sele Fm. Top,-2207.02,2268,1
15/12-16 S,NORDLAND GP. Top,-88,127,1
15/12-16 S,Utsira Fm. Top,-1146.29,1192,1
15/12-16 S,HORDALAND GP. Top,-1212.04,1259,1
15/12-17 A,Skagerrak Fm. Top,-3499,3550,1
15/12-17 A,VIKING GP. Top,-3124,3175,1
15/12-17 A,Draupne Fm. Top,-3124,3175,1
15/12-17 A,Intra Heather Fm. Sst. Top,-3305,3356,1
15/12-17 A,CROMER KNOLL GP. Top,-2996,3047,1
15/12-17 A,Roedby Fm. Top,-2996,3047,1
15/12-17 A,Sola Fm. Top,-3044,3095,1
15/12-17 A,Aasgard Fm. Top,-3076,3127,1
15/12-17 A,SHETLAND GP. Top,-2642,2693,1
15/12-17 A,Blodoeks Fm. Top,-2966,3017,1
15/12-17 A,Ekofisk Fm. Top,-2642,2693,1
15/12-17 A,Hidra Fm. Top,-2988,3039,1
15/12-17 A,Hod Fm. Top,-2853,2904,1
15/12-17 A,Tor Fm. Top,-2654,2705,1
15/12-17 A,ROGALAND GP. Top,-2450,2501,1
15/12-17 A,Balder Fm. Top,-2450,2501,1
15/12-17 A,Lista Fm. Top,-2528,2579,1
15/12-17 A,Sele Fm. Top,-2472,2523,1
15/12-17 A,Vaale Fm. Top,-2633,2684,1
15/12-17 A,NORDLAND GP. Top,-79,130,1
15/12-17 A,Utsira Fm. Top,-1144,1195,1
15/12-17 A,HORDALAND GP. Top,-1207,1258,1
15/12-17 S,Skagerrak Fm. Top,-2781.48,3331,1
15/12-17 S,VIKING GP. Top,-2662.52,3162,1
15/12-17 S,Draupne Fm. Top,-2662.52,3162,1
15/12-17 S,Intra Heather Fm. Sst. Top,-2721.58,3246,1
15/12-17 S,CROMER KNOLL GP. Top,-2581.73,3047,1
15/12-17 S,Roedby Fm. Top,-2581.73,3047,1
15/12-17 S,Sola Fm. Top,-2613.33,3092,1
15/12-17 S,Aasgard Fm. Top,-2634.41,3122,1
15/12-17 S,SHETLAND GP. Top,-2333.07,2693,1
15/12-17 S,Blodoeks Fm. Top,-2560.67,3017,1
15/12-17 S,Ekofisk Fm. Top,-2333.07,2693,1
15/12-17 S,Hidra Fm. Top,-2576.11,3039,1
15/12-17 S,Hod Fm. Top,-2481.28,2904,1
15/12-17 S,Tor Fm. Top,-2341.5,2705,1
15/12-17 S,ROGALAND GP. Top,-2198.21,2501,1
15/12-17 S,Balder Fm. Top,-2198.21,2501,1
15/12-17 S,Lista Fm. Top,-2252.97,2579,1
15/12-17 S,Sele Fm. Top,-2213.65,2523,1
15/12-17 S,Vaale Fm. Top,-2326.75,2684,1
15/12-17 S,NORDLAND GP. Top,-79,130,1
15/12-17 S,Utsira Fm. Top,-1139.12,1195,1
15/12-17 S,HORDALAND GP. Top,-1200.16,1258,1
15/12-18 A,SHETLAND GP. Top,-2590.36,2974,1
15/12-18 A,Tor Fm. Top,-2610.48,3000,1
15/12-18 A,ROGALAND GP. Top,-2361.28,2678,1
15/12-18 A,Balder Fm. Top,-2361.28,2678,1
15/12-18 A,Heimdal Fm. Top,-2520.7,2884,1
15/12-18 A,Lista Fm. Top,-2446.36,2788,1
15/12-18 A,Lista Fm. Top,-2528.44,2894,2
15/12-18 A,Sele Fm. Top,-2378.24,2700,1
15/12-18 A,Ty Fm. Top,-2567.95,2945,1
15/12-18 A,Vaale Fm. Top,-2583.41,2965,1
15/12-18 A,NORDLAND GP. Top,-94,134,1
15/12-18 A,Utsira Fm. Top,-922.97,963,1
15/12-18 A,HORDALAND GP. Top,-1055.97,1096,1
15/12-18 S,Grid Fm. Top,-2194.23,2250,1
15/12-18 S,VIKING GP. Top,-2994.46,3210,1
15/12-18 S,Draupne Fm. Top,-2994.46,3210,1
15/12-18 S,Heather Fm. Top,-3116.7,3351,1
15/12-18 S,CROMER KNOLL GP. Top,-2933.51,3138,1
15/12-18 S,Roedby Fm. Top,-2933.51,3138,1
15/12-18 S,Sola Fm. Top,-2969.08,3180,1
15/12-18 S,Aasgard Fm. Top,-2986.85,3201,1
15/12-18 S,VESTLAND GP. Top,-3179.23,3420,1
15/12-18 S,Hugin Fm. Top,-3179.23,3420,1
15/12-18 S,Sleipner Fm. Top,-3200.2,3443,1
15/12-18 S,SHETLAND GP. Top,-2582.72,2712,1
15/12-18 S,Blodoeks Fm. Top,-2828.84,3013,1
15/12-18 S,Hidra Fm. Top,-2866.19,3058,1
15/12-18 S,Hod Fm. Top,-2736.28,2900,1
15/12-18 S,Tor Fm. Top,-2582.72,2712,1
15/12-18 S,ROGALAND GP. Top,-2368.62,2450,1
15/12-18 S,Balder Fm. Top,-2368.62,2450,1
15/12-18 S,Lista Fm. Top,-2434.86,2530,1
15/12-18 S,Sele Fm. Top,-2383.61,2468,1
15/12-18 S,Ty Fm. Top,-2548.7,2670,1
15/12-18 S,Vaale Fm. Top,-2520.39,2635,1
15/12-18 S,NORDLAND GP. Top,-94,134,1
15/12-18 S,Utsira Fm. Top,-922.97,963,1
15/12-18 S,HORDALAND GP. Top,-1055.97,1096,1
15/12-19,Skagerrak Fm. Top,-2929.39,2973,1
15/12-19,VIKING GP. Top,-2925.39,2969,1
15/12-19,Draupne Fm. Top,-2925.39,2969,1
15/12-19,CROMER KNOLL GP. Top,-2852.4,2896,1
15/12-19,Roedby Fm. Top,-2852.4,2896,1
15/12-19,Sola Fm. Top,-2867.4,2911,1
15/12-19,Aasgard Fm. Top,-2883.4,2927,1
15/12-19,SHETLAND GP. Top,-2609.42,2653,1
15/12-19,Ekofisk Fm. Top,-2609.42,2653,1
15/12-19,Hod Fm. Top,-2693.42,2737,1
15/12-19,Tor Fm. Top,-2619.42,2663,1
15/12-19,ROGALAND GP. Top,-2375.43,2419,1
15/12-19,Balder Fm. Top,-2375.43,2419,1
15/12-19,Lista Fm. Top,-2463.43,2507,1
15/12-19,Sele Fm. Top,-2389.43,2433,1
15/12-19,Vaale Fm. Top,-2578.42,2622,1
15/12-19,NORDLAND GP. Top,-85,128,1
15/12-19,HORDALAND GP. Top,-1259.69,1303,1
15/12-2,Smith Bank Fm. Top,-2843,2868,1
15/12-2,VIKING GP. Top,-2678,2703,1
15/12-2,Draupne Fm. Top,-2678,2703,1
15/12-2,Heather Fm. Top,-2740,2765,1
15/12-2,CROMER KNOLL GP. Top,-2625,2650,1
15/12-2,Sola Fm. Top,-2625,2650,1
15/12-2,Aasgard Fm. Top,-2642,2667,1
15/12-2,VESTLAND GP. Top,-2793,2818,1
15/12-2,Hugin Fm. Top,-2793,2818,1
15/12-2,SHETLAND GP. Top,-2209,2234,1
15/12-2,Blodoeks Fm. Top,-2500,2525,1
15/12-2,Ekofisk Fm. Top,-2209,2234,1
15/12-2,Hod Fm. Top,-2400,2425,1
15/12-2,Svarte Fm. Top,-2517,2542,1
15/12-2,Tor Fm. Top,-2243,2268,1
15/12-2,ROGALAND GP. Top,-1938,1963,1
15/12-2,Balder Fm. Top,-1938,1963,1
15/12-2,Lista Fm. Top,-2050,2075,1
15/12-2,Sele Fm. Top,-2020,2045,1
15/12-2,Vaale Fm. Top,-2199,2224,1
15/12-2,NORDLAND GP. Top,-86,111,1
15/12-2,Utsira Fm. Top,-968,993,1
15/12-2,HORDALAND GP. Top,-1013,1038,1
15/12-20 S,Skagerrak Fm. Top,-2900.49,3874,1
15/12-20 S,VIKING GP. Top,-2853.03,3791,1
15/12-20 S,Draupne Fm. Top,-2853.03,3791,1
15/12-20 S,Heather Fm. Top,-2856.51,3797,1
15/12-20 S,CROMER KNOLL GP. Top,-2799.64,3699,1
15/12-20 S,Roedby Fm. Top,-2799.64,3699,1
15/12-20 S,Aasgard Fm. Top,-2827.51,3747,1
15/12-20 S,VESTLAND GP. Top,-2862.86,3808,1
15/12-20 S,Sleipner Fm. Top,-2862.86,3808,1
15/12-20 S,SHETLAND GP. Top,-2549.89,3269,1
15/12-20 S,Blodoeks Fm. Top,-2774.07,3655,1
15/12-20 S,Hod Fm. Top,-2644.64,3432,1
15/12-20 S,Tor Fm. Top,-2549.89,3269,1
15/12-20 S,ROGALAND GP. Top,-2338.91,2906,1
15/12-20 S,Balder Fm. Top,-2338.91,2906,1
15/12-20 S,Lista Fm. Top,-2406.47,3022,1
15/12-20 S,Sele Fm. Top,-2349.41,2924,1
15/12-20 S,Vaale Fm. Top,-2495.85,3176,1
15/12-20 S,NORDLAND GP. Top,-84,136,1
15/12-20 S,HORDALAND GP. Top,-1228.38,1305,1
15/12-21,Skagerrak Fm. Top,-3078.85,3122,1
15/12-21,VIKING GP. Top,-2843.85,2887,1
15/12-21,Draupne Fm. Top,-2843.85,2887,1
15/12-21,Heather Fm. Top,-2872.85,2916,1
15/12-21,CROMER KNOLL GP. Top,-2792.85,2836,1
15/12-21,Roedby Fm. Top,-2792.85,2836,1
15/12-21,Sola Fm. Top,-2814.85,2858,1
15/12-21,Aasgard Fm. Top,-2829.85,2873,1
15/12-21,VESTLAND GP. Top,-2987.85,3031,1
15/12-21,Hugin Fm. Top,-2987.85,3031,1
15/12-21,Sleipner Fm. Top,-3015.85,3059,1
15/12-21,SHETLAND GP. Top,-2461.87,2505,1
15/12-21,Blodoeks Fm. Top,-2708.86,2752,1
15/12-21,Hidra Fm. Top,-2740.85,2784,1
15/12-21,Hod Fm. Top,-2632.86,2676,1
15/12-21,Tor Fm. Top,-2461.87,2505,1
15/12-21,ROGALAND GP. Top,-2279.88,2323,1
15/12-21,Balder Fm. Top,-2279.88,2323,1
15/12-21,Lista Fm. Top,-2357.88,2401,1
15/12-21,Sele Fm. Top,-2292.88,2336,1
15/12-21,Vaale Fm. Top,-2443.87,2487,1
15/12-21,NORDLAND GP. Top,-85,128,1
15/12-21,Utsira Fm. Top,-886.98,930,1
15/12-21,HORDALAND GP. Top,-1087.97,1131,1
15/12-21 A,Skagerrak Fm. Top,-3155.24,3493,1
15/12-21 A,VIKING GP. Top,-2882.94,3088,1
15/12-21 A,Draupne Fm. Top,-2882.94,3088,1
15/12-21 A,Heather Fm. Top,-3013.35,3285,1
15/12-21 A,CROMER KNOLL GP. Top,-2804.59,2970,1
15/12-21 A,Roedby Fm. Top,-2804.59,2970,1
15/12-21 A,Sola Fm. Top,-2831.89,3011,1
15/12-21 A,Aasgard Fm. Top,-2861.8,3056,1
15/12-21 A,VESTLAND GP. Top,-3075.13,3378,1
15/12-21 A,Hugin Fm. Top,-3075.13,3378,1
15/12-21 A,Sleipner Fm. Top,-3098.48,3412,1
15/12-21 A,SHETLAND GP. Top,-2459.76,2516,1
