,Formation,n_train,n_holdout,MAE,RMSE,Std
0,1000,1189,402,33.9,49.75695360064538,49.62024538519773
1,2000,242,86,19.8,38.43612149418701,36.73899277290525
2,3000,254,108,11.9,24.162975357878203,23.13441614871472
3,4000,447,141,13.0,25.272466486054313,24.809010137117497
4,5000,1425,483,5.5,10.253239606042131,10.250926556271905
5,6000,319,106,5.0,9.721231377083967,9.656363444542048
6,7000,1221,355,2.8,7.635342907998613,7.584681992694438
7,8000,0,0,,,
8,9000,1356,427,3.3,17.469843534832528,17.40605233260198
9,9500,1346,437,4.0,15.692598510392182,15.545974258759879
10,10000,1380,451,3.5,15.240164136738754,15.167447869257062
11,11000,1336,461,3.7,11.158459252887036,11.100189279268701
12,12000,1330,453,4.2,16.85704854733129,16.799178930714323
13,13000,1393,487,5.2,15.064957338027904,15.064142313062932
14,14000,1567,532,30.3,48.74978567918865,48.40759765442607
