API,Elevation
490251061900,5213
490251062000,5250
490251062100,5272
490251062200,5244
490251062300,5225
490251062400,5293
490251062500,5269
490251062600,5085.7
490251062700,5173
490251062900,5206
490251063000,5197
490251063100,5216
490251063200,5250
490251063300,5236
490251063400,5206
490251063500,5236
490251063600,5221
490251063700,5250
490251063800,5269
490251063900,5267
490251064000,5251
490251064100,5072
490251064200,5000
490251064300,5060
490251064400,5049
490251064500,5042
490251064600,4993
490251064800,5204
490251064900,5220
490251065000,5247
490251065100,5189
490251065200,5239
490251065300,5243
490251065400,5257
490251065600,5267
490251065700,5208
490251065800,5248
490251065900,5003
490251066000,5368
490251066200,5220
490251066300,5242
490251066400,5206
490251066500,5268
490251066600,5213
490251066700,5197
490251066800,5190
490251066900,5142.92
490251067000,5195
490251067100,5207
490251067200,5183
490251067300,5242
490251067400,4998
490251067500,5191
490251067600,5185
490251067700,5204
490251067800,5007
490251067900,4989
490251068000,5150
490251068100,5163
490251068200,5195
490251068300,5217
490251068400,5082
490251068600,5133
490251068700,5153.51
490251068800,5204
490251068900,5253
490251069000,5172
490251069100,5159
490251069200,5062
490251069300,4998
490251069400,5031
490251069500,5036
490251069600,5066
490251069700,5073
490251069800,5068
490251069900,5114
490251070000,5128
490251070100,5089
490251070200,5043
490251070300,5067
490251070400,5087
490251070500,5080
490251070600,5104
490251070700,5089
490251070800,5083
490251070900,5007
490251071100,5170
490251071400,5139
490251071500,5229
490251071600,5245
490251071700,5192
490251071800,5133
490251071900,5192
490251072000,5202
490251072100,5177
490251072200,5143
490251072300,5155
490251072400,5155
490251072500,5288
490251072600,5237
490251072700,5197
490251072800,5200
490251072900,5233
490251073100,5524
490251073200,5151
490251073300,5006
490251073400,5335
490251073500,4967.24
490251073600,5180
490251073800,5316
490251073900,5218
490251074000,5154
490251074100,5103
490251074200,5124
490251074300,5204
490251074400,5179
490251074500,5275
490251074700,5215
490251074900,5149
490251075000,5193
490251075100,5133
490251075200,5149
490251075300,5200
490251075400,5266
490251075500,5147
490251075600,5197
490251075700,5221
490251075800,5216
490251075900,5212
