,SitID,Formation,MD,Quality,UWI,DATUM,GL,EREF,UNIT,datum,UWI (AGS),TVDSS
77,102503,9000,475.0,3,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,182.78999999999996
78,102503,9500,475.0,3,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,182.78999999999996
79,102503,10000,486.0,3,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,171.78999999999996
80,102503,11000,488.5,2,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,169.28999999999996
81,102503,12000,488.5,2,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,169.28999999999996
82,102503,13000,488.5,2,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,169.28999999999996
83,102503,14000,553.5,1,00/11-04-067-03W4/0,657.79,654.03,657.79,M,657.79,0674030411000,104.28999999999996
84,102505,1000,350.5,1,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,327.53999999999996
88,102505,5000,464.0,1,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,214.03999999999996
90,102505,7000,487.5,3,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,190.53999999999996
91,102505,9000,489.0,3,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,189.03999999999996
92,102505,9500,489.0,3,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,189.03999999999996
93,102505,10000,496.0,3,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,182.03999999999996
94,102505,11000,501.5,2,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,176.53999999999996
95,102505,12000,501.5,2,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,176.53999999999996
96,102505,13000,501.5,2,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,176.53999999999996
97,102505,14000,572.5,1,00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04,0674030810000,105.53999999999996
98,102507,1000,386.0,1,00/10-14-067-03W4/0,700.96,697.3,700.96,M,700.96,0674031410000,314.96000000000004
102,102507,5000,506.0,1,00/10-14-067-03W4/0,700.96,697.3,700.96,M,700.96,0674031410000,194.96000000000004
104,102507,7000,539.5,3,00/10-14-067-03W4/0,700.96,697.3,700.96,M,700.96,0674031410000,161.46000000000004
105,102507,9000,545.0,3,00/10-14-067-03W4/0,700.96,697.3,700.96,M,700.96,0674031410000,155.96000000000004
106,102507,9500,545.0,3,00/10-14-067-03W4/0,700.96,697.3,700.96,M,700.96,0674031410000,155.96000000000004
107,102507,10000,549.0,3,00/10-14-067-03W4/0,700.96,697.3,700.96,M,700.96,0674031410000,151.96000000000004
108,102507,11000,553.5,2,00/10-14-067-03W4/0,700.96,697.3,700.96,M,700.96,0674031410000,147.46000000000004
109,102507,12000,553.5,2,00/10-14-067-03W4/0,700.96,697.3,700.96,M,700.96,0674031410000,147.46000000000004
110,102507,13000,553.5,2,00/10-14-067-03W4/0,700.96,697.3,700.96,M,700.96,0674031410000,147.46000000000004
111,102507,14000,606.5,1,00/10-14-067-03W4/0,700.96,697.3,700.96,M,700.96,0674031410000,94.46000000000004
112,102514,1000,339.5,1,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,343.03999999999996
116,102514,5000,454.5,1,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,228.03999999999996
118,102514,7000,483.0,3,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,199.53999999999996
119,102514,9000,486.0,3,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,196.53999999999996
120,102514,9500,486.0,3,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,196.53999999999996
121,102514,10000,491.0,3,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,191.53999999999996
122,102514,11000,493.5,3,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,189.03999999999996
123,102514,12000,493.5,3,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,189.03999999999996
124,102514,13000,493.5,3,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,189.03999999999996
125,102514,14000,558.0,1,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,124.53999999999996
126,102517,1000,378.0,1,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,326.28
130,102517,5000,495.5,1,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,208.77999999999997
132,102517,7000,523.0,3,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,181.27999999999997
133,102517,9000,527.5,3,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,176.77999999999997
134,102517,9500,527.5,3,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,176.77999999999997
135,102517,10000,532.5,3,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,171.77999999999997
136,102517,11000,536.5,2,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,167.77999999999997
137,102517,12000,536.5,2,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,167.77999999999997
138,102517,13000,536.5,2,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,167.77999999999997
139,102517,14000,615.0,1,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,89.27999999999997
140,102518,1000,372.5,1,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,324.61
144,102518,5000,488.0,1,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,209.11
146,102518,7000,511.0,3,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,186.11
147,102518,9000,513.0,3,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,184.11
148,102518,9500,513.0,3,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,184.11
149,102518,10000,516.0,3,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,181.11
150,102518,11000,528.0,1,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,169.11
151,102518,12000,528.0,1,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,169.11
152,102518,13000,528.0,1,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,169.11
153,102518,14000,588.5,1,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,108.61000000000001
154,102565,1000,365.5,1,00/10-07-067-04W4/0,686.8,682.01,686.28,M,686.28,0674040710000,320.78
158,102565,5000,473.5,1,00/10-07-067-04W4/0,686.8,682.01,686.28,M,686.28,0674040710000,212.77999999999997
160,102565,7000,497.5,2,00/10-07-067-04W4/0,686.8,682.01,686.28,M,686.28,0674040710000,188.77999999999997
161,102565,9000,504.0,3,00/10-07-067-04W4/0,686.8,682.01,686.28,M,686.28,0674040710000,182.27999999999997
162,102565,9500,504.0,3,00/10-07-067-04W4/0,686.8,682.01,686.28,M,686.28,0674040710000,182.27999999999997
163,102565,10000,510.0,3,00/10-07-067-04W4/0,686.8,682.01,686.28,M,686.28,0674040710000,176.27999999999997
164,102565,11000,514.0,1,00/10-07-067-04W4/0,686.8,682.01,686.28,M,686.28,0674040710000,172.27999999999997
165,102565,12000,514.0,1,00/10-07-067-04W4/0,686.8,682.01,686.28,M,686.28,0674040710000,172.27999999999997
166,102565,13000,514.0,1,00/10-07-067-04W4/0,686.8,682.01,686.28,M,686.28,0674040710000,172.27999999999997
167,102565,14000,568.5,1,00/10-07-067-04W4/0,686.8,682.01,686.28,M,686.28,0674040710000,117.77999999999997
168,102577,1000,329.5,1,00/11-24-067-04W4/0,678.0,674.8,678.0,M,678.0,0674042411000,348.5
172,102577,5000,448.0,1,00/11-24-067-04W4/0,678.0,674.8,678.0,M,678.0,0674042411000,230.0
174,102577,7000,475.0,3,00/11-24-067-04W4/0,678.0,674.8,678.0,M,678.0,0674042411000,203.0
175,102577,9000,478.0,3,00/11-24-067-04W4/0,678.0,674.8,678.0,M,678.0,0674042411000,200.0
