,SitID,Formation,MD,Quality,UWI,DATUM,GL,EREF,UNIT,datum,UWI (AGS),TVDSS
790,103700,7000,508.0,2,00/09-11-068-02W4/0,681.9,681.9,686.0,M,686.0,0684021109000,178.0
793,103700,10000,512.0,2,00/09-11-068-02W4/0,681.9,681.9,686.0,M,686.0,0684021109000,174.0
794,103700,11000,514.0,2,00/09-11-068-02W4/0,681.9,681.9,686.0,M,686.0,0684021109000,172.0
795,103700,12000,514.0,2,00/09-11-068-02W4/0,681.9,681.9,686.0,M,686.0,0684021109000,172.0
796,103700,13000,514.0,2,00/09-11-068-02W4/0,681.9,681.9,686.0,M,686.0,0684021109000,172.0
797,103700,14000,603.0,1,00/09-11-068-02W4/0,681.9,681.9,686.0,M,686.0,0684021109000,83.0
798,103703,1000,398.0,1,00/06-26-068-02W4/0,709.94,709.94,713.29,M,713.29,0684022606000,315.28999999999996
802,103703,5000,509.0,1,00/06-26-068-02W4/0,709.94,709.94,713.29,M,713.29,0684022606000,204.28999999999996
804,103703,7000,532.5,2,00/06-26-068-02W4/0,709.94,709.94,713.29,M,713.29,0684022606000,180.78999999999996
807,103703,10000,537.0,2,00/06-26-068-02W4/0,709.94,709.94,713.29,M,713.29,0684022606000,176.28999999999996
808,103703,11000,541.0,2,00/06-26-068-02W4/0,709.94,709.94,713.29,M,713.29,0684022606000,172.28999999999996
809,103703,12000,541.0,2,00/06-26-068-02W4/0,709.94,709.94,713.29,M,713.29,0684022606000,172.28999999999996
810,103703,13000,541.0,2,00/06-26-068-02W4/0,709.94,709.94,713.29,M,713.29,0684022606000,172.28999999999996
811,103703,14000,627.0,1,00/06-26-068-02W4/0,709.94,709.94,713.29,M,713.29,0684022606000,86.28999999999996
812,103704,1000,399.0,1,00/11-29-068-02W4/0,724.6,724.6,729.1,M,729.1,0684022911000,330.1
816,103704,5000,523.0,1,00/11-29-068-02W4/0,724.6,724.6,729.1,M,729.1,0684022911000,206.10000000000002
818,103704,7000,544.0,2,00/11-29-068-02W4/0,724.6,724.6,729.1,M,729.1,0684022911000,185.10000000000002
821,103704,10000,550.0,2,00/11-29-068-02W4/0,724.6,724.6,729.1,M,729.1,0684022911000,179.10000000000002
822,103704,11000,552.5,2,00/11-29-068-02W4/0,724.6,724.6,729.1,M,729.1,0684022911000,176.60000000000002
823,103704,12000,552.5,2,00/11-29-068-02W4/0,724.6,724.6,729.1,M,729.1,0684022911000,176.60000000000002
824,103704,13000,552.5,2,00/11-29-068-02W4/0,724.6,724.6,729.1,M,729.1,0684022911000,176.60000000000002
825,103704,14000,626.0,1,00/11-29-068-02W4/0,724.6,724.6,729.1,M,729.1,0684022911000,103.10000000000002
826,103707,1000,353.5,1,00/09-05-068-03W4/0,705.08,705.08,709.0,M,709.0,0684030509000,355.5
830,103707,5000,470.0,1,00/09-05-068-03W4/0,705.08,705.08,709.0,M,709.0,0684030509000,239.0
832,103707,7000,493.0,2,00/09-05-068-03W4/0,705.08,705.08,709.0,M,709.0,0684030509000,216.0
833,103707,9000,497.0,1,00/09-05-068-03W4/0,705.08,705.08,709.0,M,709.0,0684030509000,212.0
834,103707,9500,497.0,1,00/09-05-068-03W4/0,705.08,705.08,709.0,M,709.0,0684030509000,212.0
835,103707,10000,504.0,2,00/09-05-068-03W4/0,705.08,705.08,709.0,M,709.0,0684030509000,205.0
836,103707,11000,507.5,1,00/09-05-068-03W4/0,705.08,705.08,709.0,M,709.0,0684030509000,201.5
837,103707,12000,507.5,1,00/09-05-068-03W4/0,705.08,705.08,709.0,M,709.0,0684030509000,201.5
838,103707,13000,507.5,1,00/09-05-068-03W4/0,705.08,705.08,709.0,M,709.0,0684030509000,201.5
839,103707,14000,574.5,1,00/09-05-068-03W4/0,705.08,705.08,709.0,M,709.0,0684030509000,134.5
840,103710,1000,390.5,1,00/06-13-068-03W4/0,722.86,722.86,726.87,M,726.87,0684031306000,336.37
844,103710,5000,512.5,1,00/06-13-068-03W4/0,722.86,722.86,726.87,M,726.87,0684031306000,214.37
846,103710,7000,537.5,2,00/06-13-068-03W4/0,722.86,722.86,726.87,M,726.87,0684031306000,189.37
847,103710,9000,540.0,3,00/06-13-068-03W4/0,722.86,722.86,726.87,M,726.87,0684031306000,186.87
848,103710,9500,540.0,3,00/06-13-068-03W4/0,722.86,722.86,726.87,M,726.87,0684031306000,186.87
849,103710,10000,542.0,2,00/06-13-068-03W4/0,722.86,722.86,726.87,M,726.87,0684031306000,184.87
850,103710,11000,546.0,2,00/06-13-068-03W4/0,722.86,722.86,726.87,M,726.87,0684031306000,180.87
851,103710,12000,546.0,2,00/06-13-068-03W4/0,722.86,722.86,726.87,M,726.87,0684031306000,180.87
852,103710,13000,546.0,2,00/06-13-068-03W4/0,722.86,722.86,726.87,M,726.87,0684031306000,180.87
853,103710,14000,616.0,1,00/06-13-068-03W4/0,722.86,722.86,726.87,M,726.87,0684031306000,110.87
854,103711,1000,380.5,1,00/07-16-068-03W4/0,736.44,736.44,740.9,M,740.9,0684031607000,360.4
858,103711,5000,495.0,1,00/07-16-068-03W4/0,736.44,736.44,740.9,M,740.9,0684031607000,245.89999999999998
860,103711,7000,519.0,2,00/07-16-068-03W4/0,736.44,736.44,740.9,M,740.9,0684031607000,221.89999999999998
861,103711,9000,521.0,3,00/07-16-068-03W4/0,736.44,736.44,740.9,M,740.9,0684031607000,219.89999999999998
862,103711,9500,521.0,3,00/07-16-068-03W4/0,736.44,736.44,740.9,M,740.9,0684031607000,219.89999999999998
863,103711,10000,523.5,2,00/07-16-068-03W4/0,736.44,736.44,740.9,M,740.9,0684031607000,217.39999999999998
864,103711,11000,528.0,1,00/07-16-068-03W4/0,736.44,736.44,740.9,M,740.9,0684031607000,212.89999999999998
865,103711,12000,528.0,1,00/07-16-068-03W4/0,736.44,736.44,740.9,M,740.9,0684031607000,212.89999999999998
866,103711,13000,528.0,1,00/07-16-068-03W4/0,736.44,736.44,740.9,M,740.9,0684031607000,212.89999999999998
867,103711,14000,598.0,1,00/07-16-068-03W4/0,736.44,736.44,740.9,M,740.9,0684031607000,142.89999999999998
868,103713,1000,403.0,1,00/10-28-068-03W4/0,748.86,748.86,752.86,M,752.86,0684032810000,349.86
872,103713,5000,515.0,1,00/10-28-068-03W4/0,748.86,748.86,752.86,M,752.86,0684032810000,237.86
874,103713,7000,540.0,2,00/10-28-068-03W4/0,748.86,748.86,752.86,M,752.86,0684032810000,212.86
875,103713,9000,542.0,3,00/10-28-068-03W4/0,748.86,748.86,752.86,M,752.86,0684032810000,210.86
876,103713,9500,542.0,3,00/10-28-068-03W4/0,748.86,748.86,752.86,M,752.86,0684032810000,210.86
877,103713,10000,548.0,2,00/10-28-068-03W4/0,748.86,748.86,752.86,M,752.86,0684032810000,204.86
878,103713,11000,552.0,1,00/10-28-068-03W4/0,748.86,748.86,752.86,M,752.86,0684032810000,200.86
879,103713,12000,552.0,1,00/10-28-068-03W4/0,748.86,748.86,752.86,M,752.86,0684032810000,200.86
880,103713,13000,552.0,1,00/10-28-068-03W4/0,748.86,748.86,752.86,M,752.86,0684032810000,200.86
881,103713,14000,610.0,1,00/10-28-068-03W4/0,748.86,748.86,752.86,M,752.86,0684032810000,142.86
882,103715,1000,372.0,1,00/11-02-068-04W4/0,705.39,705.39,709.24,M,709.24,0684040211000,337.24
886,103715,5000,471.5,1,00/11-02-068-04W4/0,705.39,705.39,709.24,M,709.24,0684040211000,237.74
888,103715,7000,499.0,3,00/11-02-068-04W4/0,705.39,705.39,709.24,M,709.24,0684040211000,210.24
889,103715,9000,502.0,3,00/11-02-068-04W4/0,705.39,705.39,709.24,M,709.24,0684040211000,207.24
890,103715,9500,502.0,3,00/11-02-068-04W4/0,705.39,705.39,709.24,M,709.24,0684040211000,207.24
891,103715,10000,508.0,2,00/11-02-068-04W4/0,705.39,705.39,709.24,M,709.24,0684040211000,201.24
892,103715,11000,511.0,1,00/11-02-068-04W4/0,705.39,705.39,709.24,M,709.24,0684040211000,198.24
893,103715,12000,511.0,1,00/11-02-068-04W4/0,705.39,705.39,709.24,M,709.24,0684040211000,198.24
894,103715,13000,511.0,1,00/11-02-068-04W4/0,705.39,705.39,709.24,M,709.24,0684040211000,198.24
895,103715,14000,577.0,1,00/11-02-068-04W4/0,705.39,705.39,709.24,M,709.24,0684040211000,132.24
896,103717,1000,345.0,1,00/06-09-068-04W4/0,692.65,692.65,696.5,M,696.5,0684040906000,351.5
900,103717,5000,459.5,1,00/06-09-068-04W4/0,692.65,692.65,696.5,M,696.5,0684040906000,237.0
902,103717,7000,486.0,2,00/06-09-068-04W4/0,692.65,692.65,696.5,M,696.5,0684040906000,210.5
903,103717,9000,489.0,3,00/06-09-068-04W4/0,692.65,692.65,696.5,M,696.5,0684040906000,207.5
904,103717,9500,492.0,3,00/06-09-068-04W4/0,692.65,692.65,696.5,M,696.5,0684040906000,204.5
905,103717,10000,495.0,2,00/06-09-068-04W4/0,692.65,692.65,696.5,M,696.5,0684040906000,201.5
906,103717,11000,497.5,1,00/06-09-068-04W4/0,692.65,692.65,696.5,M,696.5,0684040906000,199.0
907,103717,12000,497.5,1,00/06-09-068-04W4/0,692.65,692.65,696.5,M,696.5,0684040906000,199.0
908,103717,13000,497.5,1,00/06-09-068-04W4/0,692.65,692.65,696.5,M,696.5,0684040906000,199.0
909,103717,14000,563.0,1,00/06-09-068-04W4/0,692.65,692.65,696.5,M,696.5,0684040906000,133.5
910,103723,1000,373.5,1,00/10-26-068-04W4/0,731.85,731.85,735.7,M,735.7,0684042610000,362.20000000000005
914,103723,5000,491.0,1,00/10-26-068-04W4/0,731.85,731.85,735.7,M,735.7,0684042610000,244.70000000000005
916,103723,7000,527.0,3,00/10-26-068-04W4/0,731.85,731.85,735.7,M,735.7,0684042610000,208.70000000000005
919,103723,10000,529.5,2,00/10-26-068-04W4/0,731.85,731.85,735.7,M,735.7,0684042610000,206.20000000000005
920,103723,11000,531.0,1,00/10-26-068-04W4/0,731.85,731.85,735.7,M,735.7,0684042610000,204.70000000000005
921,103723,12000,531.0,1,00/10-26-068-04W4/0,731.85,731.85,735.7,M,735.7,0684042610000,204.70000000000005
922,103723,13000,531.0,1,00/10-26-068-04W4/0,731.85,731.85,735.7,M,735.7,0684042610000,204.70000000000005
923,103723,14000,590.0,1,00/10-26-068-04W4/0,731.85,731.85,735.7,M,735.7,0684042610000,145.70000000000005
924,103724,1000,358.0,1,00/06-29-068-04W4/0,710.98,710.98,714.48,M,714.48,0684042906000,356.48
928,103724,5000,475.5,1,00/06-29-068-04W4/0,710.98,710.98,714.48,M,714.48,0684042906000,238.98000000000002
930,103724,7000,504.0,2,00/06-29-068-04W4/0,710.98,710.98,714.48,M,714.48,0684042906000,210.48000000000002
933,103724,10000,507.0,2,00/06-29-068-04W4/0,710.98,710.98,714.48,M,714.48,0684042906000,207.48000000000002
934,103724,11000,510.5,2,00/06-29-068-04W4/0,710.98,710.98,714.48,M,714.48,0684042906000,203.98000000000002
935,103724,12000,510.5,2,00/06-29-068-04W4/0,710.98,710.98,714.48,M,714.48,0684042906000,203.98000000000002
936,103724,13000,510.5,2,00/06-29-068-04W4/0,710.98,710.98,714.48,M,714.48,0684042906000,203.98000000000002
937,103724,14000,580.0,1,00/06-29-068-04W4/0,710.98,710.98,714.48,M,714.48,0684042906000,134.48000000000002
938,103729,1000,353.0,1,00/07-08-068-05W4/0,690.6,690.6,694.1,M,694.1,0684050807000,341.1
942,103729,5000,471.0,1,00/07-08-068-05W4/0,690.6,690.6,694.1,M,694.1,0684050807000,223.10000000000002
944,103729,7000,492.5,2,00/07-08-068-05W4/0,690.6,690.6,694.1,M,694.1,0684050807000,201.60000000000002
945,103729,9000,496.0,3,00/07-08-068-05W4/0,690.6,690.6,694.1,M,694.1,0684050807000,198.10000000000002
946,103729,9500,496.0,3,00/07-08-068-05W4/0,690.6,690.6,694.1,M,694.1,0684050807000,198.10000000000002
947,103729,10000,500.0,3,00/07-08-068-05W4/0,690.6,690.6,694.1,M,694.1,0684050807000,194.10000000000002
948,103729,11000,502.0,1,00/07-08-068-05W4/0,690.6,690.6,694.1,M,694.1,0684050807000,192.10000000000002
949,103729,12000,502.0,1,00/07-08-068-05W4/0,690.6,690.6,694.1,M,694.1,0684050807000,192.10000000000002
950,103729,13000,502.0,1,00/07-08-068-05W4/0,690.6,690.6,694.1,M,694.1,0684050807000,192.10000000000002
951,103729,14000,556.5,1,00/07-08-068-05W4/0,690.6,690.6,694.1,M,694.1,0684050807000,137.60000000000002
952,103730,1000,337.5,1,00/07-12-068-05W4/0,683.1,683.1,686.8,M,686.8,0684051207000,349.29999999999995
956,103730,5000,456.5,1,00/07-12-068-05W4/0,683.1,683.1,686.8,M,686.8,0684051207000,230.29999999999995
958,103730,7000,482.0,2,00/07-12-068-05W4/0,683.1,683.1,686.8,M,686.8,0684051207000,204.79999999999995
959,103730,9000,486.0,3,00/07-12-068-05W4/0,683.1,683.1,686.8,M,686.8,0684051207000,200.79999999999995
960,103730,9500,486.0,3,00/07-12-068-05W4/0,683.1,683.1,686.8,M,686.8,0684051207000,200.79999999999995
961,103730,10000,492.0,3,00/07-12-068-05W4/0,683.1,683.1,686.8,M,686.8,0684051207000,194.79999999999995
962,103730,11000,494.0,1,00/07-12-068-05W4/0,683.1,683.1,686.8,M,686.8,0684051207000,192.79999999999995
963,103730,12000,494.0,1,00/07-12-068-05W4/0,683.1,683.1,686.8,M,686.8,0684051207000,192.79999999999995
964,103730,13000,494.0,1,00/07-12-068-05W4/0,683.1,683.1,686.8,M,686.8,0684051207000,192.79999999999995
965,103730,14000,555.0,1,00/07-12-068-05W4/0,683.1,683.1,686.8,M,686.8,0684051207000,131.79999999999995
966,103732,1000,342.5,1,00/11-16-068-05W4/0,683.92,683.92,687.58,M,687.58,0684051611000,345.08000000000004
970,103732,5000,458.5,1,00/11-16-068-05W4/0,683.92,683.92,687.58,M,687.58,0684051611000,229.08000000000004
972,103732,7000,480.0,2,00/11-16-068-05W4/0,683.92,683.92,687.58,M,687.58,0684051611000,207.58000000000004
973,103732,9000,483.0,2,00/11-16-068-05W4/0,683.92,683.92,687.58,M,687.58,0684051611000,204.58000000000004
974,103732,9500,483.0,2,00/11-16-068-05W4/0,683.92,683.92,687.58,M,687.58,0684051611000,204.58000000000004
975,103732,10000,487.5,2,00/11-16-068-05W4/0,683.92,683.92,687.58,M,687.58,0684051611000,200.08000000000004
976,103732,11000,490.0,1,00/11-16-068-05W4/0,683.92,683.92,687.58,M,687.58,0684051611000,197.58000000000004
977,103732,12000,490.0,1,00/11-16-068-05W4/0,683.92,683.92,687.58,M,687.58,0684051611000,197.58000000000004
978,103732,13000,490.0,1,00/11-16-068-05W4/0,683.92,683.92,687.58,M,687.58,0684051611000,197.58000000000004
979,103732,14000,550.5,1,00/11-16-068-05W4/0,683.92,683.92,687.58,M,687.58,0684051611000,137.08000000000004
980,103734,1000,367.5,1,00/15-26-068-05W4/0,713.2,713.2,716.8,M,716.8,0684052615000,349.29999999999995
984,103734,5000,489.0,1,00/15-26-068-05W4/0,713.2,713.2,716.8,M,716.8,0684052615000,227.79999999999995
986,103734,7000,516.0,2,00/15-26-068-05W4/0,713.2,713.2,716.8,M,716.8,0684052615000,200.79999999999995
987,103734,9000,519.0,3,00/15-26-068-05W4/0,713.2,713.2,716.8,M,716.8,0684052615000,197.79999999999995
988,103734,9500,519.0,3,00/15-26-068-05W4/0,713.2,713.2,716.8,M,716.8,0684052615000,197.79999999999995
989,103734,10000,523.0,2,00/15-26-068-05W4/0,713.2,713.2,716.8,M,716.8,0684052615000,193.79999999999995
990,103734,11000,523.0,3,00/15-26-068-05W4/0,713.2,713.2,716.8,M,716.8,0684052615000,193.79999999999995
991,103734,12000,523.0,3,00/15-26-068-05W4/0,713.2,713.2,716.8,M,716.8,0684052615000,193.79999999999995
992,103734,13000,523.0,3,00/15-26-068-05W4/0,713.2,713.2,716.8,M,716.8,0684052615000,193.79999999999995
993,103734,14000,600.0,1,00/15-26-068-05W4/0,713.2,713.2,716.8,M,716.8,0684052615000,116.79999999999995
994,103738,1000,351.0,2,00/07-01-068-06W4/0,672.57,672.57,675.6,M,675.6,0684060107000,324.6
998,103738,5000,459.0,1,00/07-01-068-06W4/0,672.57,672.57,675.6,M,675.6,0684060107000,216.60000000000002
1000,103738,7000,482.0,2,00/07-01-068-06W4/0,672.57,672.57,675.6,M,675.6,0684060107000,193.60000000000002
1001,103738,9000,485.0,3,00/07-01-068-06W4/0,672.57,672.57,675.6,M,675.6,0684060107000,190.60000000000002
1002,103738,9500,485.0,3,00/07-01-068-06W4/0,672.57,672.57,675.6,M,675.6,0684060107000,190.60000000000002
1003,103738,10000,489.5,1,00/07-01-068-06W4/0,672.57,672.57,675.6,M,675.6,0684060107000,186.10000000000002
1004,103738,11000,492.0,1,00/07-01-068-06W4/0,672.57,672.57,675.6,M,675.6,0684060107000,183.60000000000002
1005,103738,12000,492.0,1,00/07-01-068-06W4/0,672.57,672.57,675.6,M,675.6,0684060107000,183.60000000000002
1006,103738,13000,492.0,1,00/07-01-068-06W4/0,672.57,672.57,675.6,M,675.6,0684060107000,183.60000000000002
1007,103738,14000,547.5,1,00/07-01-068-06W4/0,672.57,672.57,675.6,M,675.6,0684060107000,128.10000000000002
1008,103742,1000,361.0,1,00/07-15-068-06W4/0,694.03,694.03,697.03,M,697.03,0684061507000,336.03
1012,103742,5000,482.0,1,00/07-15-068-06W4/0,694.03,694.03,697.03,M,697.03,0684061507000,215.02999999999997
1014,103742,7000,504.0,2,00/07-15-068-06W4/0,694.03,694.03,697.03,M,697.03,0684061507000,193.02999999999997
1015,103742,9000,508.0,3,00/07-15-068-06W4/0,694.03,694.03,697.03,M,697.03,0684061507000,189.02999999999997
1016,103742,9500,508.0,3,00/07-15-068-06W4/0,694.03,694.03,697.03,M,697.03,0684061507000,189.02999999999997
1017,103742,10000,513.0,1,00/07-15-068-06W4/0,694.03,694.03,697.03,M,697.03,0684061507000,184.02999999999997
1018,103742,11000,513.0,1,00/07-15-068-06W4/0,694.03,694.03,697.03,M,697.03,0684061507000,184.02999999999997
1019,103742,12000,513.0,1,00/07-15-068-06W4/0,694.03,694.03,697.03,M,697.03,0684061507000,184.02999999999997
1020,103742,13000,513.0,1,00/07-15-068-06W4/0,694.03,694.03,697.03,M,697.03,0684061507000,184.02999999999997
1021,103742,14000,576.0,1,00/07-15-068-06W4/0,694.03,694.03,697.03,M,697.03,0684061507000,121.02999999999997
1022,103744,1000,338.0,1,00/11-19-068-06W4/0,672.6,668.73,672.0,M,672.0,0684061911000,334.0
1026,103744,5000,458.0,1,00/11-19-068-06W4/0,672.6,668.73,672.0,M,672.0,0684061911000,214.0
1028,103744,7000,478.0,2,00/11-19-068-06W4/0,672.6,668.73,672.0,M,672.0,0684061911000,194.0
1029,103744,9000,482.0,3,00/11-19-068-06W4/0,672.6,668.73,672.0,M,672.0,0684061911000,190.0
1030,103744,9500,482.0,3,00/11-19-068-06W4/0,672.6,668.73,672.0,M,672.0,0684061911000,190.0
1031,103744,10000,487.5,1,00/11-19-068-06W4/0,672.6,668.73,672.0,M,672.0,0684061911000,184.5
1032,103744,11000,487.5,1,00/11-19-068-06W4/0,672.6,668.73,672.0,M,672.0,0684061911000,184.5
1033,103744,12000,487.5,1,00/11-19-068-06W4/0,672.6,668.73,672.0,M,672.0,0684061911000,184.5
1034,103744,13000,487.5,1,00/11-19-068-06W4/0,672.6,668.73,672.0,M,672.0,0684061911000,184.5
1035,103744,14000,548.0,1,00/11-19-068-06W4/0,672.6,668.73,672.0,M,672.0,0684061911000,124.0
1036,103746,1000,366.5,1,00/07-27-068-06W4/0,704.1,704.1,707.7,M,707.7,0684062707000,341.20000000000005
1040,103746,5000,486.0,1,00/07-27-068-06W4/0,704.1,704.1,707.7,M,707.7,0684062707000,221.70000000000005
1042,103746,7000,506.0,2,00/07-27-068-06W4/0,704.1,704.1,707.7,M,707.7,0684062707000,201.70000000000005
1043,103746,9000,510.0,3,00/07-27-068-06W4/0,704.1,704.1,707.7,M,707.7,0684062707000,197.70000000000005
1044,103746,9500,510.0,3,00/07-27-068-06W4/0,704.1,704.1,707.7,M,707.7,0684062707000,197.70000000000005
1045,103746,10000,515.0,1,00/07-27-068-06W4/0,704.1,704.1,707.7,M,707.7,0684062707000,192.70000000000005
1046,103746,11000,515.0,1,00/07-27-068-06W4/0,704.1,704.1,707.7,M,707.7,0684062707000,192.70000000000005
1047,103746,12000,515.0,1,00/07-27-068-06W4/0,704.1,704.1,707.7,M,707.7,0684062707000,192.70000000000005
1048,103746,13000,515.0,1,00/07-27-068-06W4/0,704.1,704.1,707.7,M,707.7,0684062707000,192.70000000000005
1049,103746,14000,573.0,1,00/07-27-068-06W4/0,704.1,704.1,707.7,M,707.7,0684062707000,134.70000000000005
1050,103748,1000,398.0,1,00/03-19-068-09W4/0,702.5,702.5,705.5,M,705.5,0684091903000,307.5
1054,103748,5000,521.5,1,00/03-19-068-09W4/0,702.5,702.5,705.5,M,705.5,0684091903000,184.0
1056,103748,7000,542.0,3,00/03-19-068-09W4/0,702.5,702.5,705.5,M,705.5,0684091903000,163.5
1057,103748,9000,545.0,3,00/03-19-068-09W4/0,702.5,702.5,705.5,M,705.5,0684091903000,160.5
1058,103748,9500,545.0,3,00/03-19-068-09W4/0,702.5,702.5,705.5,M,705.5,0684091903000,160.5
1059,103748,10000,551.5,1,00/03-19-068-09W4/0,702.5,702.5,705.5,M,705.5,0684091903000,154.0
1060,103748,11000,556.5,2,00/03-19-068-09W4/0,702.5,702.5,705.5,M,705.5,0684091903000,149.0
1061,103748,12000,556.5,2,00/03-19-068-09W4/0,702.5,702.5,705.5,M,705.5,0684091903000,149.0
1062,103748,13000,556.5,2,00/03-19-068-09W4/0,702.5,702.5,705.5,M,705.5,0684091903000,149.0
1063,103748,14000,606.0,1,00/03-19-068-09W4/0,702.5,702.5,705.5,M,705.5,0684091903000,99.5
1064,103749,1000,525.0,1,00/07-28-068-09W4/0,839.1,839.1,842.3,M,842.3,0684092807000,317.29999999999995
1068,103749,5000,650.0,1,00/07-28-068-09W4/0,839.1,839.1,842.3,M,842.3,0684092807000,192.29999999999995
1070,103749,7000,668.0,2,00/07-28-068-09W4/0,839.1,839.1,842.3,M,842.3,0684092807000,174.29999999999995
1071,103749,9000,671.5,2,00/07-28-068-09W4/0,839.1,839.1,842.3,M,842.3,0684092807000,170.79999999999995
1072,103749,9500,671.5,2,00/07-28-068-09W4/0,839.1,839.1,842.3,M,842.3,0684092807000,170.79999999999995
1073,103749,10000,678.5,3,00/07-28-068-09W4/0,839.1,839.1,842.3,M,842.3,0684092807000,163.79999999999995
1074,103749,11000,682.5,2,00/07-28-068-09W4/0,839.1,839.1,842.3,M,842.3,0684092807000,159.79999999999995
1075,103749,12000,682.5,2,00/07-28-068-09W4/0,839.1,839.1,842.3,M,842.3,0684092807000,159.79999999999995
1076,103749,13000,682.5,2,00/07-28-068-09W4/0,839.1,839.1,842.3,M,842.3,0684092807000,159.79999999999995
1077,103749,14000,730.0,1,00/07-28-068-09W4/0,839.1,839.1,842.3,M,842.3,0684092807000,112.29999999999995
1078,103751,1000,389.0,1,00/07-20-068-10W4/0,690.3,690.3,693.05,M,693.05,0684102007000,304.04999999999995
1082,103751,5000,518.0,1,00/07-20-068-10W4/0,690.3,690.3,693.05,M,693.05,0684102007000,175.04999999999995
1084,103751,7000,540.5,3,00/07-20-068-10W4/0,690.3,690.3,693.05,M,693.05,0684102007000,152.54999999999995
1085,103751,9000,544.5,3,00/07-20-068-10W4/0,690.3,690.3,693.05,M,693.05,0684102007000,148.54999999999995
1086,103751,9500,544.5,3,00/07-20-068-10W4/0,690.3,690.3,693.05,M,693.05,0684102007000,148.54999999999995
1087,103751,10000,548.0,1,00/07-20-068-10W4/0,690.3,690.3,693.05,M,693.05,0684102007000,145.04999999999995
1088,103751,11000,554.0,2,00/07-20-068-10W4/0,690.3,690.3,693.05,M,693.05,0684102007000,139.04999999999995
1089,103751,12000,554.0,2,00/07-20-068-10W4/0,690.3,690.3,693.05,M,693.05,0684102007000,139.04999999999995
1090,103751,13000,554.0,2,00/07-20-068-10W4/0,690.3,690.3,693.05,M,693.05,0684102007000,139.04999999999995
1091,103751,14000,590.0,1,00/07-20-068-10W4/0,690.3,690.3,693.05,M,693.05,0684102007000,103.04999999999995
1092,103752,1000,455.0,1,00/07-36-068-10W4/0,768.6,768.6,761.69,M,761.69,0684103607000,306.69000000000005
1096,103752,5000,575.0,1,00/07-36-068-10W4/0,768.6,768.6,761.69,M,761.69,0684103607000,186.69000000000005
1098,103752,7000,597.0,2,00/07-36-068-10W4/0,768.6,768.6,761.69,M,761.69,0684103607000,164.69000000000005
1099,103752,9000,602.0,3,00/07-36-068-10W4/0,768.6,768.6,761.69,M,761.69,0684103607000,159.69000000000005
1100,103752,9500,602.0,3,00/07-36-068-10W4/0,768.6,768.6,761.69,M,761.69,0684103607000,159.69000000000005
1101,103752,10000,604.0,1,00/07-36-068-10W4/0,768.6,768.6,761.69,M,761.69,0684103607000,157.69000000000005
1102,103752,11000,610.0,1,00/07-36-068-10W4/0,768.6,768.6,761.69,M,761.69,0684103607000,151.69000000000005
1103,103752,12000,610.0,1,00/07-36-068-10W4/0,768.6,768.6,761.69,M,761.69,0684103607000,151.69000000000005
1104,103752,13000,610.0,1,00/07-36-068-10W4/0,768.6,768.6,761.69,M,761.69,0684103607000,151.69000000000005
1105,103752,14000,659.0,1,00/07-36-068-10W4/0,768.6,768.6,761.69,M,761.69,0684103607000,102.69000000000005
1106,103753,1000,301.0,1,00/13-09-068-11W4/0,599.0,599.0,602.0,M,602.0,0684110913000,301.0
1110,103753,5000,422.5,1,00/13-09-068-11W4/0,599.0,599.0,602.0,M,602.0,0684110913000,179.5
1112,103753,7000,441.0,2,00/13-09-068-11W4/0,599.0,599.0,602.0,M,602.0,0684110913000,161.0
1113,103753,9000,445.0,2,00/13-09-068-11W4/0,599.0,599.0,602.0,M,602.0,0684110913000,157.0
1114,103753,9500,445.0,2,00/13-09-068-11W4/0,599.0,599.0,602.0,M,602.0,0684110913000,157.0
1115,103753,10000,450.5,1,00/13-09-068-11W4/0,599.0,599.0,602.0,M,602.0,0684110913000,151.5
1116,103753,11000,455.0,2,00/13-09-068-11W4/0,599.0,599.0,602.0,M,602.0,0684110913000,147.0
1117,103753,12000,455.0,2,00/13-09-068-11W4/0,599.0,599.0,602.0,M,602.0,0684110913000,147.0
1118,103753,13000,455.0,2,00/13-09-068-11W4/0,599.0,599.0,602.0,M,602.0,0684110913000,147.0
1119,103753,14000,481.0,1,00/13-09-068-11W4/0,599.0,599.0,602.0,M,602.0,0684110913000,121.0
1120,103756,1000,310.0,1,00/05-27-068-11W4/0,615.2,615.2,618.0,M,618.0,0684112705000,308.0
1126,103756,7000,454.0,1,00/05-27-068-11W4/0,615.2,615.2,618.0,M,618.0,0684112705000,164.0
1127,103756,9000,457.0,2,00/05-27-068-11W4/0,615.2,615.2,618.0,M,618.0,0684112705000,161.0
1128,103756,9500,457.0,2,00/05-27-068-11W4/0,615.2,615.2,618.0,M,618.0,0684112705000,161.0
1129,103756,10000,463.0,1,00/05-27-068-11W4/0,615.2,615.2,618.0,M,618.0,0684112705000,155.0
1130,103756,11000,469.0,3,00/05-27-068-11W4/0,615.2,615.2,618.0,M,618.0,0684112705000,149.0
1131,103756,12000,469.0,3,00/05-27-068-11W4/0,615.2,615.2,618.0,M,618.0,0684112705000,149.0
1132,103756,13000,469.0,3,00/05-27-068-11W4/0,615.2,615.2,618.0,M,618.0,0684112705000,149.0
1133,103756,14000,500.0,1,00/05-27-068-11W4/0,615.2,615.2,618.0,M,618.0,0684112705000,118.0
