,Formation,n_train,n_holdout,MAE,RMSE,Std
0,1000,1196,395,37.1,49.18735127389226,48.57784095601667
1,2000,245,83,4.7,6.4633503557368615,6.415986304134946
2,3000,275,87,4.1,17.22726031447149,17.119124849461063
3,4000,438,150,14.5,52.60466157072623,52.35099513545948
4,5000,1410,498,5.7,14.555673557745502,14.55066745114093
5,6000,320,105,3.2,4.330627255313705,4.312004999545644
6,7000,1171,405,4.7,16.99382451397727,16.787412784149435
7,8000,0,0,,,
8,9000,1345,438,3.4,11.96441199541947,11.82182946708168
9,9500,1338,445,2.6,7.633481240706573,7.608040094059179
10,10000,1382,449,5.3,36.61573646655298,36.473694674625705
11,11000,1358,439,4.5,20.01149497830976,19.86366591554777
12,12000,1336,447,3.2,9.827378469269888,9.793219903287522
13,13000,1401,479,3.7,7.564215547518158,7.550801719386037
14,14000,1595,504,24.3,33.164321470830984,33.160745940572625
