,API,Formation,SS_pred
312,490250633800,A Sand,-213.9717617186975
313,490250633800,ALCV,734.6829782536624
314,490250633800,B Dolo,-243.88301139171722
315,490250633800,B Sand,-261.79757723578905
316,490250633800,B1,2483.6131542832136
317,490250633800,C1 Dolo,-322.1252876516178
318,490250633800,C1 Sand,-419.23919968146924
319,490250633800,C2 Dolo,-425.9288711989184
320,490250633800,C2 Sand,-414.19236344228193
321,490250633800,C3 Dolo,-444.2721620875582
322,490250633800,C3 Sand,-427.905908843682
323,490250633800,C4 Dolo,-447.18567764695854
324,490250633800,C4 Sand,-460.75207548196045
325,490250633800,CNSP,778.2292448062417
326,490250633800,CRLL,2959.480504360052
327,490250633800,CRMT,818.935620264172
328,490250633800,D Dolo,-469.52001383808215
329,490250633800,D Sand,-540.3009289309423
330,490250633800,DKOT,1368.589838999112
331,490250633800,ERVY,33.22661233858889
332,490250633800,F1WC,2710.0421900708743
333,490250633800,F1WCBench1Base,2670.4538119689632
334,490250633800,F1WCBench2Base,2578.6596382184252
335,490250633800,F1WCBench2Top,2649.908030624045
336,490250633800,F1WCBench3Top,2562.4935087514914
337,490250633800,F1WCbase,2593.7033046205215
338,490250633800,F2WC,2303.2985690991536
339,490250633800,F2WCbase,2244.791367411939
340,490250633800,F3WC,2060.903380430006
341,490250633800,F3WCbase,2044.9994544416636
342,490250633800,FRLL,-155.26068461387808
343,490250633800,GLND,-245.2887043509902
344,490250633800,LKOT,1281.2301283478441
345,490250633800,MDDY,1519.7822397880955
346,490250633800,MNKT,-126.3628971992689
347,490250633800,MRSN,1252.4562300344992
348,490250633800,MWRY,1772.4926067321317
349,490250633800,NBRRsg,3180.597367655807
350,490250633800,NBRRws,3412.790076910167
351,490250633800,OPCH,-147.6718181165918
352,490250633800,RDPK,715.5067457610044
353,490250633800,SHNNbs,4812.505637141665
354,490250633800,SHNNl,4887.156354257455
355,490250633800,SHNNu,4981.364518358839
356,490250633800,SNDCu,1028.6798139239213
357,490250633800,SSXS,5434.500613702984
358,490250633800,SSXbase,5382.664607910691
359,490250633800,StAM,3592.748338570037
360,490250633800,StBR,4595.79510875376
361,490250633800,StFT,4210.444110898609
362,490250633800,StGD,3692.239302924323
363,490250633800,THRM,1500.927275873922
