API,Formation,MD,Datum Elevation
490251101200,F2WC,4072.52,
490251101200,DKOT,4946.49,
490251101200,B1,3874.64,
490251101200,F1WCBench2Top,3705.07,
490251101200,F1WCbase,3817.99,
490251101200,MDDY,4802.06,
490251101200,MWRY,4573.14,
490251101200,THRM,4817.43,
490251074500,F1WC,2858.82,
490251074500,F1WCBench2Base,3012.45,
490251074500,SHNNu,568.13,
490251074500,SHNNl,653.73,
490251074500,SHNNbs,733.29,
490251074500,B1,3078.7,
490251074500,F1WCBench1Base,2918.02,
490251074500,F2WC,3263.97,
490251074500,F2WCbase,3342.21,
490251074500,F1WCBench2Top,2966.23,
490251074500,F1WCBench3Top,3024.26,
490251074500,F1WCbase,3032.92,
490251080600,CRLL,2560.17,
490251076400,SHNNu,944.16,
490251076400,SHNNl,1029.13,
490251076400,SHNNbs,1109.33,
490251076400,SSXbase,561.85,
490251076400,SSXS,513.14,
490251076400,NBRRws,2517.57,
490251076400,NBRRsg,2718.81,
490251076400,CRLL,2920.18,
490251077900,SSXS,411.31,
490251077900,SSXbase,458.89,
490251077900,SHNNu,836.81,
490251077900,SHNNl,915.78,
490251077900,SHNNbs,997.48,
490251025200,F2WC,3079.04,
490251025200,F1WC,2660.73,
490251025200,NBRRws,1973.25,
490251025200,MWRY,3595.85,
490251025200,F2WCbase,3150.71,
490251025200,B1,2907.38,
490251025200,F1WCbase,2861.61,
490251058500,SHNNbs,533.21,
490251058500,SHNNl,456.98,
490251058500,SHNNu,368.25,
490251075700,SHNNbs,620.29,
490251075700,SHNNl,544.13,
490251075700,SHNNu,461.27,
490251075700,SSXbase,102.22,
490251075700,SSXS,58.7,
490250647900,SSXS,138.63,
490250647900,SSXbase,183.46,
490250647900,SHNNu,556.2,
490250647900,SHNNl,648.33,
490251028300,SHNNu,338.68,
490251028300,SHNNl,427.8,
490251028300,SHNNbs,499.09,
490251001700,MNKT,6001.26,
490251001700,OPCH,6018.13,
490251001700,B Sand,6124.61,
490251001700,A Sand,6078.49,
490251001700,B Dolo,6104.94,
490251001700,F2WC,3491.99,
490251001700,F1WCBench1Base,3086.64,
490251001700,F1WC,3072.8,
490251001700,F2WCbase,3565.01,
490251001700,B1,3301.05,
490251001700,CRLL,2827.98,
490251001700,F2WC,3490.15,
490251001700,F1WCBench2Base,3158.32,
490251001700,F1WCBench2Top,3103.64,
490251001700,F1WCBench3Top,3194.53,
490251001700,F1WCbase,3257.98,
490251001700,SHNNu,825.01,
490251001700,SHNNl,907.07,
490251001700,SHNNbs,983.32,
490251001700,SSXbase,450.69,
490251001700,SSXS,409.68,
490251124300,SHNNu,358.06,
490251124300,SHNNbs,520.24,
490251124300,SHNNl,445.75,
490251124000,SSXS,65.62,
490251124000,SSXbase,111.48,
490251124000,SHNNu,416.59,
490251124000,SHNNl,510.59,
490251124000,SHNNbs,581.34,
490252269200,SHNNl,472.43,
490252269200,SSXbase,25.4,
490252269200,SHNNu,386.14,
490252269200,SHNNbs,547.7,
490251104600,SHNNu,348.89,
490251104600,SHNNl,442.1,
490251104600,F1WC,2543.42,
490251104600,B1,2783.69,
490251104600,F2WC,2957.44,
490251104600,F1WCbase,2736.77,
490251110800,F2WCbase,3179.66,
490251110800,B1,2926.56,
490251110800,CRLL,2441.53,
490251110800,F1WCBench1Base,2772,
490251110800,F1WC,2686.26,
490251110800,F2WC,3101.54,
490251110800,SHNNbs,658.29,
490251110800,SHNNl,583.73,
490251110800,SHNNu,502.21,
490251110800,SSXbase,127.09,
490251110800,SSXS,83.66,
490251110800,NBRRws,1991.28,
490251110800,NBRRsg,2223.2,
490251110800,CRLL,2441.99,
490251110800,F1WC,2684.84,
490251110800,F1WCbase,2882.85,
490251110800,F2WCbase,3174.93,
490251110800,F1WCBench2Top,2793.46,
490251110800,F1WCbase,2880.14,
490251069300,F2WCbase,2759.71,
490251069300,SHNNl,162.09,
490251069300,StBR,479.28,
490251069300,StGD,1395.92,
490251069300,F2WC,2716.82,
490251069300,SHNNu,72.66,
490251069300,StFT,862.14,
490251069300,StAM,1495.13,
490251069300,F1WC,2300.76,
490251069300,F1WCbase,2413.13,
490251069300,CRLL,2052.28,
490251069300,NBRRsg,1828.34,
490251069300,NBRRws,1636.61,
490251069300,F2WCbase,2751.71,
490251069300,B1,2536.81,
490251069300,SHNNbs,234.61,
490251064200,F2WCbase,2866.3,
490251064200,F2WC,2794.73,
490251064200,SHNNbs,290.94,
490251064200,SHNNl,216.65,
490251064200,NBRRws,1689.04,
490251064200,NBRRsg,1917.44,
490251064200,CRLL,2148.3,
490251064200,F1WC,2401.35,
490251064200,F1WCbase,2505.76,
490251064200,B1,2619.02,
490251064200,F2WCbase,2847.28,
490251064200,SHNNu,130.87,
490251064200,StBR,529.49,
490251064200,StFT,917.18,
490251064200,StGD,1456.09,
490251064200,StAM,1554.19,
490251097200,F2WCbase,3067.36,
490251097200,F1WCBench2Top,2758.07,
490251097200,SHNNbs,576.17,
490251097200,SHNNl,500.88,
490251097200,SHNNu,415.96,
490251097200,SSXbase,42.87,
490251097200,CRLL,2373.32,
490251097200,NBRRsg,2140.42,
490251097200,NBRRws,1901.15,
490251097200,F2WC,3006.34,
490251097200,StBR,824.8,
490251097200,StFT,1123.66,
490251097200,StAM,1769.69,
490251097200,StGD,1665.7,
490251097200,SSXS,0,
490251097200,F1WC,2630.27,
490251097200,F1WCBench1Base,2730.23,
490251097200,B1,2830.15,
490251097200,F1WCbase,2781.62,
490251065000,SSXbase,121.03,
490251065000,SSXS,77.32,
490251065000,SHNNu,493.55,
490251065000,SHNNl,575.01,
490251078200,StBR,635.04,
490251078200,StFT,1015.56,
490251075500,SHNNu,351.62,
490251075500,SHNNl,440.81,
490251075500,SHNNbs,514.79,
490251055000,SSXS,100.05,
490251055000,SSXbase,144.07,
490251055000,SHNNu,458.72,
490251055000,SHNNl,552.82,
490251055000,SHNNbs,624.12,
490251067000,SHNNu,399.2,
490251067000,SHNNl,488.12,
490251067000,SHNNbs,557.52,
490251126500,SHNNl,500.69,
490251126500,SHNNu,408.42,
490251126500,SSXS,5.73,
490251126500,SSXbase,50.37,
490251126500,SHNNbs,572.06,
490251109700,SHNNu,398.74,
490251109700,SHNNl,486.48,
490251109700,SHNNbs,559.01,
490251109700,SSXbase,33.75,
490251090300,F2WC,3379.12,
490251090300,F1WCBench2Base,3132.06,
490251090300,SHNNu,672.17,
490251090300,SHNNl,756.36,
490251090300,SSXbase,297.14,
490251090300,SSXS,249.62,
490251090300,F1WC,2972.92,
490251090300,SHNNbs,831.96,
490251090300,B1,3190.3,
490251090300,F1WCBench1Base,3066.94,
490251090300,F1WCBench2Top,3079.54,
490251090300,F1WCBench3Top,3137.31,
490251090300,F1WCbase,3145.05,
490251106400,F1WCBench1Base,2789.48,
490251106400,F1WC,2708.87,
490251106400,B1,2943.91,
490251106400,F2WCbase,3199.6,
490251106400,CRLL,2470.07,
490251106400,F2WC,3124.78,
490251106400,F1WCBench2Base,2868.37,
490251106400,SHNNu,519.25,
490251106400,SHNNl,592.92,
490251106400,SHNNbs,669.28,
490251106400,SSXbase,150.78,
490251106400,SSXS,109.42,
490251106400,F3WC,3368.76,
490251106400,F3WCbase,3378.05,
490251106400,F1WC,2709.86,
490251106400,F1WCbase,2901.04,
490251106400,CRLL,2463,
490251106400,NBRRsg,2242.61,
490251106400,NBRRws,2003.59,
490251106400,F1WCBench2Top,2812.62,
490251106400,F1WCBench3Top,2888.68,
490251106400,F1WCbase,2899.74,
490251112000,F2WC,2701.56,
490251112000,StBR,457.56,
490251112000,StAM,1476.35,
490251112000,StFT,841.09,
490251112000,StGD,1378.61,
490251112000,F2WCbase,2738.53,
490251112000,F1WC,2290.8,
490251112000,F1WCbase,2406.33,
490251112000,B1,2522.98,
490251112000,NBRRws,1611.93,
490251112000,NBRRsg,1840.41,
490251112000,SHNNl,148.12,
490251112000,SHNNbs,219.81,
490251112000,SHNNu,57.86,
490251112000,CRLL,2063.37,
490250655000,SSXS,325.68,
490250655000,SSXbase,378.92,
490250655000,SHNNu,745.87,
490250655000,SHNNl,844.34,
490251078700,SHNNbs,884.97,
490251078700,SHNNl,814.31,
490251078700,SHNNu,718.74,
490251029400,SHNNu,373.9,
490251029400,SHNNl,461.09,
490251029400,SHNNbs,538.14,
490251055100,SSXbase,54.14,
490251055100,SHNNu,422.57,
490251055100,SHNNl,515.2,
490251055100,SHNNbs,586.58,
490251028400,SHNNl,491.5,
490251028400,SSXbase,32.34,
490251028400,SHNNu,404.14,
490251028400,SHNNbs,562.61,
490252305500,SHNNu,1109.54,
490252305500,SHNNl,1187.81,
490252305500,SHNNbs,1266.07,
490252305500,SSXS,616.08,
490252305500,SSXbase,662.67,
490251102400,SHNNu,385.12,
490251102400,SHNNl,472.27,
490251102400,SHNNbs,547.25,
490251102400,SSXbase,17.29,
490251101700,SHNNbs,551.77,
490251101700,SHNNl,475.73,
490251101700,SHNNu,390.57,
490251101700,SSXbase,16.47,
490252248400,SHNNu,727.73,
490252248400,SHNNl,819.58,
490252248400,SSXS,318.99,
490252248400,SSXbase,369.63,
490252248400,SHNNbs,877.92,
490252274700,SHNNu,408.14,
490252274700,SHNNl,493.62,
490251104700,F2WCbase,3093.34,
490251104700,SHNNu,418.69,
490251104700,SHNNl,506.54,
490251104700,SHNNbs,584.52,
490251104700,SSXbase,57.14,
490251104700,SSXS,10.86,
490251104700,F1WC,2602.57,
490251104700,F2WC,3017.4,
490251104700,B1,2846.66,
490251104700,F1WCbase,2797.84,
490251036200,SHNNu,404.11,
490251036200,SHNNl,492.19,
490251036200,F1WC,2644.13,
490251036200,F2WCbase,3118.22,
490251036200,B1,2879.52,
490251036200,F2WC,3049.23,
490251036200,SHNNbs,565.59,
490251036200,F1WCbase,2832.92,
490251067400,F2WC,2745.6,
490251067400,StFT,852.96,
490251067400,StAM,1501.56,
490251067400,StBR,475.35,
490251067400,StGD,1402.35,
490251067400,F1WC,2333.62,
490251067400,F1WCbase,2448.85,
490251067400,CRLL,2089.84,
490251067400,NBRRsg,1870.58,
490251067400,NBRRws,1642.12,
490251067400,B1,2568.11,
490251067400,SHNNu,66.27,
490251067400,SHNNl,158.44,
490251067400,SHNNbs,233.73,
490251067400,F2WCbase,2776.75,
490251064500,F2WCbase,2910.11,
490251064500,F2WC,2852.28,
490251064500,StGD,1511.36,
490251064500,StBR,598.7,
490251064500,NBRRws,1748.83,
490251064500,NBRRsg,1990.8,
490251064500,SHNNbs,354.71,
490251064500,SHNNl,281.62,
490251064500,CRLL,2216.28,
490251064500,F1WC,2459.91,
490251064500,F1WCbase,2566.01,
490251064500,B1,2676.04,
490251064500,F2WCbase,2903.91,
490251064500,StAM,1617.22,
490251064500,StFT,979.58,
490251064500,SHNNu,191.22,
490251097100,F2WCbase,2898.37,
490251097100,F2WC,2829.05,
490251097100,SHNNbs,336.15,
490251097100,SHNNl,261.96,
490251097100,SHNNu,170.66,
490251097100,NBRRws,1730.74,
490251097100,NBRRsg,1963.93,
490251097100,CRLL,2185.59,
490251097100,F1WC,2438.66,
490251097100,F1WCbase,2541.3,
490251097100,B1,2652.79,
490251097100,F2WCbase,2882.26,
490251097100,F3WC,3073.03,
490251097100,MWRY,3347.81,
490251097100,LKOT,3818.69,
490251097100,F3WCbase,3082.43,
490251097100,DKOT,3740.01,
490251097100,MRSN,3895.01,
490251097100,StAM,1602.96,
490251097100,StGD,1499.72,
490251097100,StFT,956.35,
490251097100,StBR,570.55,
490251055600,SSXbase,73.51,
490251055600,SHNNu,415.25,
490251055600,SHNNl,510.76,
490251055600,SHNNbs,579.01,
490251023000,SSXS,344.56,
490251023000,SSXbase,396.86,
490251023000,SHNNu,704.25,
490251023000,SHNNl,802.47,
490251057100,SHNNl,488.95,
490251057100,SHNNbs,564.46,
490251057100,SHNNu,404.51,
490251063100,SSXS,93.85,
490251063100,SHNNl,586.1,
490251063100,SSXbase,141.09,
490251063100,SHNNu,512.13,
490251063100,SHNNbs,637.68,
490251073900,CRLL,2407.11,
490251073900,SHNNu,414.63,
490251073900,SHNNl,501.95,
490251073900,SHNNbs,576.94,
490251077600,SHNNu,448.17,
490251077600,SHNNbs,608.07,
490251077600,F1WCbase,2851.14,
490251077600,MNKT,5541.3,
490251077600,A Sand,5613.06,
490251077600,B Sand,5660.44,
490251077600,F2WCbase,3133.31,
490251077600,CRLL,2429.29,
490251077600,SHNNl,536.08,
490251077600,F1WC,2661.35,
490251077600,B1,2901.29,
490251077600,OPCH,5561.04,
490251077600,B Dolo,5639.56,
490251077600,F2WC,3066.55,
490251077600,TensleepFluidLevel,-288,
490252250100,SSXbase,347.22,
490252250100,SHNNl,762.41,
490252250100,SSXS,313.24,
490252250100,SHNNu,678.45,
490252250100,SHNNbs,824.47,
490251105400,B1,2844.49,
490251105400,F2WCbase,3099.76,
490251105400,SHNNu,382.82,
490251105400,SHNNl,464.25,
490251105400,SSXbase,56.33,
490251105400,SSXS,14.8,
490251105400,SHNNbs,541.59,
490251105400,F2WC,3018.34,
490251105400,F1WC,2601.86,
490251105400,F1WCbase,2800.01,
490251102200,F1WC,2604.98,
490251102200,F2WCbase,3102.34,
490251102200,SHNNbs,553.01,
490251102200,F2WC,3022.09,
490251102200,B1,2849.94,
490251102200,F1WCbase,2802.88,
490251028000,SSXbase,53.86,
490251028000,SHNNbs,535.96,
490251028000,SHNNl,458.74,
490251028000,SHNNu,379.31,
490251027600,SHNNl,622.59,
490251027600,SSXbase,178.72,
490251027600,SHNNu,541.41,
490251027600,SHNNbs,698.53,
490251027600,SSXS,132.24,
