UWI,DATUM,GL,EREF,UNIT,datum
00/06-35-073-14W4/0,683.666,683.666,686.714,M,686.714
00/06-35-080-18W4/0,553.517,550.469,553.517,M,553.517
00/06-35-082-09W4/0,2387,2380,2387,F,727.5576
00/06-35-090-19W4/0,515.5,515.5,519.3,M,519.3
00/06-35-092-19W4/0,1718,1707,1718,F,523.6464
00/06-36-069-06W4/0,692.4,692.4,696,M,696
00/06-36-071-09W4/0,679.91,679.91,683.7,M,683.7
00/06-36-072-17W4/0,592.836,592.836,595.884,M,595.884
00/06-36-074-22W4/0,656.8,656.8,660,M,660
00/06-36-075-06W4/0,608.8,608.8,612.3,M,612.3
00/06-36-075-15W4/0,729.082,729.082,732.13,M,732.13
00/06-36-076-25W4/0,878.19,874.166,878.19,M,878.19
00/06-36-077-02W5/0,659.282,659.282,662.635,M,662.635
00/06-36-080-25W4/0,559.979,557.083,559.979,M,559.979
00/06-36-082-16W4/0,549.25,545.592,549.25,M,549.25
00/06-36-085-20W4/0,616,616,619,M,619
00/06-36-085-23W4/0,565.404,565.404,568.452,M,568.452
00/06-36-089-21W4/0,513,513,516.3,M,516.3
00/06-36-095-16W4/0,571.4,567.8,571.4,M,571.4
00/07-01-068-06W4/0,672.57,672.57,675.6,M,675.6
00/07-01-070-27W4/0,648.005,648.005,650.748,M,650.748
00/07-01-074-03W5/0,685.4,685.4,688.4,M,688.4
00/07-01-077-03W5/0,769.925,769.925,774.192,M,774.192
00/07-01-079-13W4/0,683.057,679.399,683.057,M,683.057
00/07-01-079-24W4/0,583.387,583.387,587.045,M,587.045
00/07-01-080-06W4/0,466.74,463.74,466.74,M,466.74
00/07-01-084-19W4/0,579.272,579.272,582.32,M,582.32
00/07-01-084-26W4/0,1811,1800,1811,F,551.9928
00/07-01-085-22W4/0,605.485,605.485,608.533,M,608.533
00/07-02-067-12W4/0,610.8,607.4,610.8,M,610.8
00/07-02-069-14W4/0,577.901,577.901,580.949,M,580.949
00/07-02-075-24W4/0,702.107,702.107,706.222,M,706.222
00/07-02-084-18W4/0,550.3,547.8,550.3,M,550.3
00/07-03-070-08W4/0,648.7,640,648.7,M,648.7
00/07-03-073-06W4/0,703.68,703.68,702.89,M,702.89
00/07-03-075-14W4/0,774.5,774.5,777.8,M,777.8
00/07-03-078-15W4/0,584.77,581.32,584.77,M,584.77
00/07-04-069-05W4/0,680.2,680.2,683.8,M,683.8
00/07-04-077-04W5/0,726.338,726.338,729.905,M,729.905
00/07-04-085-23W4/0,572.628,572.628,575.767,M,575.767
00/07-04-086-17W4/0,509.016,505.968,509.016,M,509.016
00/07-04-087-25W4/0,629.412,629.412,632.46,M,632.46
00/07-04-095-18W4/0,602,598.5,602,M,602
00/07-05-074-20W4/0,705.612,705.612,708.965,M,708.965
00/07-05-094-18W4/0,525.8,522,525.8,M,525.8
00/07-06-069-09W4/0,785.99,785.99,789.09,M,789.09
00/07-06-072-25W4/0,582.473,582.473,586.13,M,586.13
00/07-06-077-23W4/0,828.294,828.294,832.104,M,832.104
00/07-06-078-22W4/0,598.902,598.902,602.346,M,602.346
00/07-06-079-03W4/0,556.38,552.02,556.38,M,556.38
00/07-06-080-06W4/0,555.25,552,555.25,M,555.25
00/07-06-083-03W4/0,507.1,502.3,507.1,M,507.1
00/07-06-083-04W4/0,465.5,462.5,465.5,M,465.5
00/07-06-094-20W4/0,664.86,661.36,664.86,M,664.86
00/07-06-095-21W4/0,810,807,810,M,810
00/07-07-067-16W4/0,612.953,609.905,612.953,M,612.953
00/07-07-069-12W4/0,598.64,598.64,601.19,M,601.19
00/07-07-069-13W4/0,548.03,548.03,551.078,M,551.078
00/07-07-072-16W4/0,594.36,594.36,597.408,M,597.408
00/07-07-077-14W4/0,657,657,660.5,M,660.5
00/07-07-078-23W4/0,601.9,601.9,606,M,606
00/07-07-081-06W4/0,516.08,512.58,516.08,M,516.08
00/07-08-067-02W4/0,648.1,644.3,648.1,M,648.1
00/07-08-068-05W4/0,690.6,690.6,694.1,M,694.1
00/07-08-072-24W4/0,560.222,560.222,562.661,M,562.661
00/07-08-073-03W5/0,593.5,590,593.5,M,593.5
00/07-08-076-12W4/0,709.879,709.879,713.842,M,713.842
00/07-08-076-15W4/0,735.6,735.6,739.7,M,739.7
00/07-08-081-17W4/0,485.851,482.498,485.851,M,485.851
00/07-08-081-18W4/0,1865,1854,1865,F,568.452
00/07-08-082-07W4/0,745.846,743.102,745.846,M,745.846
00/07-08-085-18W4/0,570,566.3,570,M,570
00/07-09-072-08W4/0,673.1,673.1,676.9,M,676.9
00/07-09-072-13W4/0,632.57,632.57,636.97,M,636.97
00/07-09-075-06W4/0,648.36,648.36,651.64,M,651.64
00/07-09-077-04W5/0,2364.5,2352,2364.5,F,720.6996
00/07-09-078-23W4/0,609,605,609,M,609
00/07-09-081-02W5/0,607.771,607.771,612.023,M,612.023
00/07-10-070-26W4/0,638.861,638.861,642.214,M,642.214
00/07-10-072-20W4/0,594.36,594.36,597.408,M,597.408
00/07-10-073-12W4/0,638.29,638.29,641.49,M,641.49
00/07-10-075-11W4/0,649,649,652.5,M,652.5
00/07-10-078-03W5/0,660.197,660.197,664.403,M,664.403
00/07-11-073-12W4/0,661.5,661.5,665,M,665
00/07-11-074-01W5/0,678.18,678.18,681.838,M,681.838
00/07-11-077-01W5/0,746.455,746.455,750.113,M,750.113
00/07-11-078-02W5/0,630.601,630.601,634.289,M,634.289
00/07-11-078-09W4/0,600.669,597.164,600.669,M,600.669
00/07-11-078-17W4/0,596.494,593.446,596.494,M,596.494
00/07-11-082-20W4/0,572.719,572.719,581.863,M,581.863
00/07-11-082-25W4/0,580.339,580.339,583.387,M,583.387
00/07-12-068-05W4/0,683.1,683.1,686.8,M,686.8
00/07-12-071-03W4/0,701.01,697.61,701.01,M,701.01
00/07-12-071-15W4/0,618.3,618.3,621.8,M,621.8
00/07-12-075-13W4/0,682.021,682.021,685.19,M,685.19
00/07-12-077-04W5/0,719.938,719.938,723.595,M,723.595
00/07-12-081-07W4/0,551.5,548,551.5,M,551.5
00/07-12-092-18W4/0,520.74,517.74,520.74,M,520.74
00/07-13-071-16W4/0,603.199,600.151,603.199,M,603.199
00/07-13-072-17W4/0,572.9,572.9,576,M,576
00/07-13-073-15W4/0,644.71,644.71,648,M,648
00/07-13-075-07W4/0,642.12,642.12,645.4,M,645.4
00/07-13-077-06W4/0,563.3,563.3,566.3,M,566.3
00/07-13-078-14W4/0,676.6,678.1,676.6,M,676.6
00/07-13-078-26W4/0,591.16,591.16,594.482,M,594.482
00/07-14-070-05W4/0,676.5,676.5,680.4,M,680.4
00/07-14-070-19W4/0,560.497,560.497,564.185,M,564.185
00/07-14-078-13W4/0,684.886,681.533,684.886,M,684.886
00/07-14-079-02W5/0,611.124,607.771,611.124,M,611.124
00/07-14-083-18W4/0,555.71,552.71,555.71,M,555.71
00/07-14-089-25W4/0,597.713,597.713,601.066,M,601.066
00/07-14-091-18W4/0,509.87,507.02,509.87,M,509.87
00/07-15-068-06W4/0,694.03,694.03,697.03,M,697.03
00/07-15-069-14W4/0,561.899,561.899,565.191,M,565.191
00/07-15-071-04W5/0,667.36,667.36,671.474,M,671.474
00/07-15-072-15W4/0,603.39,603.39,606.89,M,606.89
00/07-15-077-12W4/0,635.66,635.66,639.166,M,639.166
00/07-15-080-14W4/0,678.8,674.75,678.8,M,678.8
00/07-15-081-23W4/0,605,605,608.6,M,608.6
00/07-15-094-21W4/0,693.5,690.4,693.5,M,693.5
00/07-16-068-03W4/0,736.44,736.44,740.9,M,740.9
00/07-16-070-04W4/0,677.5,677.5,681,M,681
00/07-16-070-12W4/0,604.388,604.388,607.436,M,607.436
00/07-16-072-26W4/0,630.936,627.888,630.936,M,630.936
00/07-16-077-04W5/0,690.982,690.982,694.334,M,694.334
00/07-16-077-14W4/0,683.2,683.2,686.9,M,686.9
00/07-16-079-24W4/0,557.479,557.479,561.137,M,561.137
00/07-16-083-07W4/0,715,711.2,715,M,715
00/07-16-083-09W4/0,736.397,732.739,736.397,M,736.397
00/07-17-070-15W4/0,567.89,567.89,572.24,M,572.24
00/07-17-075-03W4/0,627.7,624.1,627.7,M,627.7
00/07-17-076-11W4/0,667.817,667.817,671.17,M,671.17
00/07-17-082-10W4/0,705.7,701.6,705.7,M,705.7
00/07-17-090-17W4/0,483.475,480.575,483.475,M,483.475
00/07-18-069-12W4/0,597.57,595.57,598.5,M,598.5
00/07-18-070-17W4/0,554.2,554.2,557.2,M,557.2
00/07-18-079-19W4/0,567.995,564.794,567.995,M,567.995
00/07-19-071-26W4/0,633.374,633.374,636.422,M,636.422
00/07-19-074-01W5/0,673.608,673.608,677.57,M,677.57
00/07-19-074-04W4/0,650.2,650.2,654.7,M,654.7
00/07-19-074-05W4/0,2156,2144,2156,F,657.1488
00/07-19-077-16W4/0,624.8,624.8,628.94,M,628.94
00/07-19-077-19W4/0,562.356,562.356,565.404,M,565.404
00/07-19-078-03W4/0,560.15,556.2,560.15,M,560.15
00/07-19-085-19W4/0,610.057,610.057,613.105,M,613.105
00/07-19-085-24W4/0,543.794,543.794,546.08,M,546.08
00/07-19-088-18W4/0,515.64,512.14,515.64,M,515.64
00/07-20-068-10W4/0,690.3,690.3,693.05,M,693.05
00/07-20-073-02W5/0,627.583,627.583,630.631,M,630.631
00/07-20-073-14W4/0,670.255,670.255,673.303,M,673.303
00/07-20-074-13W4/0,728.69,728.69,732.14,M,732.14
00/07-20-076-09W4/0,677.49,677.49,681.99,M,681.99
00/07-20-079-04W4/0,506.6,503,506.6,M,506.6
00/07-20-081-22W4/0,606.19,606.19,609.8,M,609.8
00/07-20-084-09W4/0,701.95,698.35,701.95,M,701.95
00/07-21-069-14W4/0,569.9,569.9,573.024,M,573.024
00/07-21-073-02W5/0,615.086,615.086,618.134,M,618.134
00/07-21-073-16W4/0,570.65,570.65,574.2,M,574.2
00/07-21-076-09W4/0,683.33,683.33,686.74,M,686.74
00/07-21-079-22W4/0,560.222,560.222,562.966,M,562.966
00/07-21-080-01W5/0,570.6,570.6,574.3,M,574.3
00/07-21-081-21W4/0,613.45,613.45,616.75,M,616.75
00/07-21-084-10W4/0,637,633.5,637,M,637
00/07-22-073-19W4/0,670.865,670.865,673.913,M,673.913
00/07-22-076-16W4/0,714.146,714.146,723.595,M,723.595
00/07-22-077-05W4/0,582,582,585,M,585
00/07-22-077-15W4/0,689.6,689.6,693.74,M,693.74
00/07-22-077-26W4/0,693.42,693.42,696.773,M,696.773
00/07-22-078-12W4/0,679.094,675.315,679.094,M,679.094
00/07-22-086-25W4/0,579.12,576.682,579.12,M,579.12
00/07-22-088-18W4/0,502.71,499.66,502.71,M,502.71
00/07-22-093-19W4/0,1722.6,1711,1722.6,F,525.04848
00/07-23-067-06W4/0,657,653.7,657,M,657
00/07-23-076-22W4/0,749.198,749.198,752.551,M,752.551
00/07-23-078-17W4/0,562.9,559.6,562.9,M,562.9
00/07-23-081-22W4/0,610.7,610.7,614,M,614
00/07-23-083-13W4/0,563.88,561.442,563.88,M,563.88
00/07-24-069-16W4/0,552.572,552.572,555.65,M,555.65
00/07-24-069-17W4/0,550.5,550.5,553.4,M,553.4
00/07-24-071-17W4/0,565.404,565.404,568.452,M,568.452
00/07-24-071-23W4/0,641.909,641.909,645.566,M,645.566
00/07-24-075-13W4/0,698.602,698.602,702.869,M,702.869
00/07-24-075-16W4/0,726.948,726.948,729.691,M,729.691
00/07-24-076-07W4/0,572.32,572.32,575.82,M,575.82
00/07-24-082-05W4/0,462.76,459.76,462.76,M,462.76
00/07-24-082-06W4/0,474.8,471.6,474.8,M,474.8
00/07-24-086-03W4/0,476.707,474.878,476.707,M,476.707
00/07-24-086-19W4/0,527.7,527.7,532,M,532
00/07-24-094-19W4/0,560.8,557.4,560.8,M,560.8
00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64
00/07-25-071-18W4/0,590.245,590.245,592.836,M,592.836
00/07-25-075-16W4/0,742.493,742.493,745.541,M,745.541
00/07-25-076-26W4/0,836.28,832.805,836.28,M,836.28
00/07-25-077-06W4/0,565.83,565.83,568.85,M,568.85
00/07-25-077-24W4/0,670.865,667.573,670.865,M,670.865
00/07-25-080-03W4/0,486.3,482.7,486.3,M,486.3
00/07-25-083-18W4/0,546.68,543.08,546.68,M,546.68
00/07-26-074-05W4/0,659.1,659.1,663.6,M,663.6
00/07-26-075-22W4/0,682.539,682.539,685.648,M,685.648
00/07-26-076-12W4/0,669.95,669.95,672.998,M,672.998
00/07-26-079-10W4/0,683.666,679.094,683.666,M,683.666
00/07-26-079-26W4/0,558.394,558.394,562.051,M,562.051
00/07-26-080-02W5/0,602.254,602.254,605.607,M,605.607
00/07-26-080-12W4/0,702.6,698.9,702.6,M,702.6
00/07-26-082-07W4/0,655.625,651.967,655.625,M,655.625
00/07-26-084-18W4/0,558.37,555,558.37,M,558.37
00/07-26-090-21W4/0,515.4,515,519.4,M,519.4
00/07-26-090-22W4/0,513,513.7,516.8,M,516.8
00/07-27-068-06W4/0,704.1,704.1,707.7,M,707.7
00/07-27-073-18W4/0,582.168,582.168,585.216,M,585.216
00/07-27-074-09W4/0,661.416,661.416,665.074,M,665.074
00/07-27-082-21W4/0,623.621,623.621,627.278,M,627.278
00/07-28-068-09W4/0,839.1,839.1,842.3,M,842.3
00/07-28-072-04W4/0,697.26,697.26,701.51,M,701.51
00/07-28-072-11W4/0,657.48,657.48,660.68,M,660.68
00/07-28-073-24W4/0,654.558,654.558,656.844,M,656.844
00/07-28-077-14W4/0,674.43,674.43,677.88,M,677.88
00/07-28-094-19W4/0,641.909,639.775,641.909,M,641.909
00/07-29-068-16W4/0,563.575,563.575,567.111,M,567.111
00/07-29-071-02W5/0,592.56,592.56,596.21,M,596.21
00/07-29-072-12W4/0,622.95,622.95,626.55,M,626.55
00/07-29-073-23W4/0,659.282,659.282,661.721,M,661.721
00/07-29-078-03W4/0,555.2,551.2,555.2,M,555.2
00/07-29-078-07W4/0,549.432,545.592,549.432,M,549.432
00/07-29-080-04W4/0,465.033,461.498,465.033,M,465.033
00/07-29-084-18W4/0,571.5,567.8,571.5,M,571.5
00/07-29-086-21W4/0,575.158,575.158,578.206,M,578.206
00/07-30-068-17W4/0,543.154,543.154,547.116,M,547.116
00/07-30-070-22W4/0,659.282,659.282,662.33,M,662.33
00/07-30-071-04W5/0,725.4,719.4,725.4,M,725.4
00/07-30-072-24W4/0,633.984,633.984,642.518,M,642.518
00/07-30-075-15W4/0,733.4,733.4,736.4,M,736.4
00/07-31-069-12W4/0,582,582,585.8,M,585.8
00/07-31-069-13W4/0,568.8,568.8,576.5,M,576.5
00/07-31-070-14W4/0,2039.71,2039.71,2053.71,F,625.970808
00/07-31-070-24W4/0,655.9,655.9,659.5,M,659.5
00/07-31-072-15W4/0,575,575,577.75,M,577.75
00/07-31-074-25W4/0,703.95,703.95,707.95,M,707.95
00/07-31-087-18W4/0,517.63,514.13,517.63,M,517.63
00/07-32-067-17W4/0,593,589.2,593,M,593
00/07-32-073-21W4/0,674,674,677.8,M,677.8
00/07-32-074-18W4/0,583.844,583.844,586.892,M,586.892
00/07-32-076-15W4/0,679.7,679.7,684,M,684
00/07-32-077-22W4/0,630.9,630.9,635.4,M,635.4
00/07-32-078-03W4/0,552.8,549.79,552.8,M,552.8
00/07-32-079-06W4/0,550.5,547.4,550.5,M,550.5
00/07-32-081-20W4/0,586.77,586.77,590.123,M,590.123
00/07-33-067-04W4/0,701.6,697.8,701.6,M,701.6
00/07-33-073-16W4/0,586.26,586.26,589.81,M,589.81
00/07-33-073-20W4/0,719.938,719.938,722.986,M,722.986
00/07-33-074-11W4/0,657.149,657.149,660.38,M,660.38
00/07-33-074-24W4/0,687.1,687.1,691.7,M,691.7
00/07-33-076-17W4/0,704.76,704.76,709.26,M,709.26
00/07-33-078-09W4/0,661.416,660.38,661.416,M,661.416
00/07-33-083-07W4/0,617.06,613.79,617.06,M,617.06
00/07-33-091-18W4/0,520.4,517.2,520.4,M,520.4
00/07-34-067-08W4/0,648.68,644.13,648.68,M,648.68
00/07-34-068-13W4/0,587.045,587.045,589.788,M,589.788
00/07-34-068-14W4/0,561.289,561.289,564.49,M,564.49
00/07-34-072-21W4/0,642,642,645.4,M,645.4
00/07-34-074-12W4/0,661.49,661.49,664.75,M,664.75
00/07-34-079-03W5/0,599.084,595.793,599.084,M,599.084
00/07-34-081-05W4/0,472,469,472,M,472
00/07-34-083-16W4/0,529.5,526.5,529.5,M,529.5
00/07-35-070-11W4/0,622,622,625.35,M,625.35
00/07-35-070-17W4/0,520.17,520.17,524.67,M,524.67
00/07-35-071-17W4/2,583.387,583.387,586.435,M,586.435
00/07-35-073-05W4/0,664.4,660.7,664.4,M,664.4
00/07-35-074-21W4/0,691.896,691.896,695.615,M,695.615
00/07-35-075-08W4/0,637.83,637.83,641.29,M,641.29
00/07-35-078-10W4/0,661.416,657.454,661.416,M,661.416
00/07-35-088-24W4/0,524.866,524.866,527.914,M,527.914
00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28
00/07-36-068-10W4/0,768.6,768.6,761.69,M,761.69
00/07-36-073-13W4/0,662.29,662.29,665.74,M,665.74
00/07-36-075-23W4/0,678.058,678.058,681.106,M,681.106
00/07-36-076-11W4/0,673.303,673.303,677.509,M,677.509
00/07-36-076-19W4/0,565.099,565.099,568.757,M,568.757
00/07-36-079-21W4/0,572.05,572.05,575.35,M,575.35
00/07-36-081-02W5/0,578.206,578.206,581.863,M,581.863
00/07-36-086-22W4/0,567.842,567.842,571.195,M,571.195
00/07-36-093-19W4/0,524.6,521.1,524.6,M,524.6
00/08-01-071-02W5/0,593.49,593.49,597.61,M,597.61
00/08-01-072-12W4/0,626.5,626.5,630,M,630
00/08-01-081-06W4/0,476.9,473.7,476.9,M,476.9
00/08-02-067-15W4/0,597.3,594.3,597.3,M,597.3
00/08-02-080-13W4/0,692.7,686.67,692.7,M,692.7
00/08-02-083-06W4/0,497.7,494,497.7,M,497.7
00/08-04-073-04W4/0,711,707,711,M,711
00/08-04-079-06W4/0,512.4,509.4,512.4,M,512.4
00/08-04-082-12W4/0,748.6,746,748.6,M,748.6
00/08-05-067-12W4/0,558.5,555.5,558.5,M,558.5
00/08-05-073-02W5/0,604.3,601.5,604.3,M,604.3
00/08-05-075-25W4/0,700.126,700.126,704.088,M,704.088
00/08-05-086-22W4/0,575.767,575.767,577.291,M,577.291
00/08-06-078-19W4/0,562.4,562.4,565.92,M,565.92
00/08-07-095-15W4/0,1880.7,1870.5,1880.7,F,573.23736
00/08-08-073-09W4/2,662.52,662.52,666.7,M,666.7
00/08-09-070-18W4/0,553.6,553.6,556.9,M,556.9
00/08-09-076-03W5/0,793.13,793.13,796.43,M,796.43
00/08-09-077-02W5/0,742.1,742.1,745.1,M,745.1
00/08-09-079-05W4/0,513.2,510.2,513.2,M,513.2
00/08-09-082-21W4/0,631.241,631.241,627.583,M,627.583
00/08-11-069-08W4/0,618,615.3,618,M,618
00/08-11-082-12W4/0,766,762,766,M,766
00/08-14-073-26W4/0,628.498,624.84,628.498,M,628.498
00/08-16-069-07W4/0,627.1,623,627.1,M,627.1
00/08-16-072-05W4/0,697.9,697.9,702.17,M,702.17
00/08-16-075-05W5/0,968.35,964.66,968.35,M,968.35
00/08-16-094-18W4/0,541.3,537.5,541.3,M,541.3
00/08-17-078-03W4/0,570,567,570,M,570
00/08-20-077-05W4/0,570.1,570.1,574,M,574
00/08-22-067-12W4/2,671.6,668.6,671.6,M,671.6
00/08-22-076-18W4/0,610.2,606.6,610.2,M,610.2
00/08-23-096-18W4/0,689.4,685,689.4,M,689.4
00/08-24-070-04W5/0,138.15,132,138.15,M,138.15
00/08-24-076-02W4/0,630.326,630.326,633.832,M,633.832
00/08-26-067-18W4/0,586.6,583.7,586.6,M,586.6
00/08-26-076-21W4/0,723.85,723.85,728.35,M,728.35
00/08-27-093-19W4/0,527.8,523.8,527.8,M,527.8
00/08-28-078-20W4/0,568,568,572,M,572
00/08-29-067-07W4/0,690.14,686.24,690.14,M,690.14
00/08-29-077-10W4/0,663.245,663.245,640.69,M,640.69
00/08-32-069-06W4/0,685.1,685.1,688.8,M,688.8
00/08-32-076-16W4/0,680.5,680.5,683.97,M,683.97
00/08-33-070-04W4/0,664.3,660.7,664.3,M,664.3
00/08-34-077-13W4/0,674.2,670.6,674.2,M,674.2
00/08-34-083-24W4/0,564.16,564.16,567.76,M,567.76
00/08-34-085-25W4/0,564.185,564.185,567.538,M,567.538
00/08-36-076-10W4/0,639.1,639.1,642.6,M,642.6
00/09-01-094-19W4/0,530.7,527.3,530.7,M,530.7
00/09-04-084-04W4/0,477.5,474.5,477.5,M,477.5
00/09-05-068-03W4/0,705.08,705.08,709,M,709
00/09-06-077-04W4/0,576.6,576.6,579.8,M,579.8
00/09-09-069-09W4/0,743.29,743.29,746.5,M,746.5
00/09-09-074-02W5/0,639,636,639,M,639
00/09-10-073-25W4/0,633.6,633.6,637.3,M,637.3
00/09-11-067-02W4/0,623,619.09,623,M,623
00/09-11-068-02W4/0,681.9,681.9,686,M,686
00/09-11-077-11W4/0,678.1,678.1,681.6,M,681.6
00/09-12-070-06W4/0,675.2,675.2,678.8,M,678.8
00/09-13-072-12W4/0,639.4,639.4,642.75,M,642.75
00/09-13-083-02W4/0,480.66,477.66,480.66,M,480.66
00/09-14-071-06W4/0,672.05,672.05,676.32,M,676.32
00/09-14-081-14W4/0,647.8,643.4,647.8,M,647.8
00/09-17-073-18W4/0,595.3,595.3,599.2,M,599.2
00/09-18-081-12W4/0,729.9,726.2,729.9,M,729.9
00/09-19-071-20W4/0,593.2,593.2,596.2,M,596.2
00/09-24-071-06W4/0,676.91,676.91,681.65,M,681.65
00/09-25-073-05W4/0,682.7,682.7,686.9,M,686.9
00/09-25-078-16W4/0,627.6,624.14,627.6,M,627.6
00/09-25-079-01W5/0,570.5,570.5,574.14,M,574.14
00/09-27-072-05W5/0,585.42,585.42,591,M,591
AA/09-29-073-07W4/0,731.5,727.6,731.5,M,731.5
00/09-29-073-10W4/0,557.9,557.9,660,M,660
00/09-30-073-24W4/0,633.3,633.3,636.3,M,636.3
00/09-31-067-10W4/0,657.15,653,657.15,M,657.15
00/09-32-073-10W4/0,659.06,659.06,662.2,M,662.2
00/09-32-084-05W4/0,458.3,454.8,458.3,M,458.3
00/09-34-072-01W5/0,651.1,651.1,654,M,654
00/09-34-074-10W4/0,675.02,675.02,679,M,679
00/09-35-070-06W4/0,664.6,664.6,668.7,M,668.7
00/09-35-094-18W4/0,558.7,554.9,558.7,M,558.7
00/09-36-081-06W4/0,481.7,478.6,481.7,M,481.7
00/10-01-069-16W4/0,557.784,557.784,560.222,M,560.222
00/10-01-070-04W5/0,669.493,665.5,669.493,M,669.493
00/10-01-071-11W4/0,643.55,643.55,646.55,M,646.55
00/10-01-071-23W4/0,658.216,658.216,661.416,M,661.416
00/10-01-072-07W4/0,664.2,664.2,667.1,M,667.1
00/10-01-072-23W4/0,641.452,641.452,645.262,M,645.262
00/10-01-072-24W4/0,670.96,670.96,674.31,M,674.31
00/10-01-073-09W4/0,682.9,682.9,685.9,M,685.9
00/10-01-073-15W4/0,625.45,625.45,629.107,M,629.107
00/10-01-074-08W4/0,725.14,725.14,728.54,M,728.54
00/10-01-074-14W4/0,698.4,695,698.4,M,698.4
00/10-01-074-21W4/0,708.05,708.05,710.489,M,710.489
00/10-01-076-05W4/0,620.878,620.878,624.23,M,624.23
00/10-01-079-01W5/0,1935.5,1935.5,1947.5,F,593.598
00/10-01-079-16W4/0,606.552,603.504,606.552,M,606.552
00/10-01-082-17W4/0,540.258,537.058,540.258,M,540.258
00/10-01-082-18W4/0,548.64,545.287,548.64,M,548.64
00/10-01-082-22W4/0,617.891,613.867,617.891,M,617.891
00/10-01-084-16W4/0,531.754,527.609,531.754,M,531.754
00/10-01-091-18W4/0,1673.88,1663.06,1673.88,F,510.198624
00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11
00/10-02-070-11W4/0,604.1,604.1,606.85,M,606.85
00/10-02-070-24W4/0,637.184,637.184,640.324,M,640.324
00/10-02-074-05W4/0,631.5,631.5,635,M,635
00/10-02-077-12W4/0,662.7,662.7,666,M,666
00/10-02-082-05W4/0,459.638,455.981,459.638,M,459.638
00/10-02-096-18W4/0,676.9,673.9,676.9,M,676.9
00/10-02-099-13W4/0,830,827,830,M,830
00/10-03-067-08W4/0,613.4,609.7,613.4,M,613.4
00/10-03-068-13W4/0,582.473,582.473,585.216,M,585.216
00/10-03-072-05W5/0,691.5,687.72,691.5,M,691.5
00/10-03-072-15W4/0,609.7,609.7,613,M,613
00/10-03-072-21W4/0,597.713,597.713,600.761,M,600.761
00/10-03-073-07W4/0,720.71,720.71,723.71,M,723.71
00/10-03-080-14W4/0,701.65,696.773,701.65,M,701.65
00/10-03-081-09W4/0,706.039,702.259,706.039,M,706.039
00/10-03-081-16W4/0,566.89,563.09,566.89,M,566.89
00/10-03-082-13W4/0,669.8,666.6,669.8,M,669.8
00/10-03-084-22W4/0,607.771,605.333,607.771,M,607.771
00/10-03-090-19W4/0,514.8,511,514.8,M,514.8
00/10-03-094-21W4/0,618.8,615.5,618.8,M,618.8
00/10-04-070-12W4/0,601.98,601.98,604.418,M,604.418
00/10-04-073-08W4/0,692.94,692.94,696.02,M,696.02
00/10-04-073-20W4/0,680.5,680.5,683.2,M,683.2
00/10-04-075-07W4/0,662.33,662.33,665.074,M,665.074
00/10-04-077-07W4/0,565.97,565.97,569.42,M,569.42
00/10-04-078-01W5/0,613.41,613.41,617.311,M,617.311
00/10-04-079-25W4/0,587.35,587.35,590.855,M,590.855
00/10-05-073-01W5/0,635.203,635.203,638.251,M,638.251
00/10-05-073-18W4/0,594.543,594.543,598.201,M,598.201
00/10-05-077-18W4/0,567.842,567.842,572.11,M,572.11
00/10-05-079-03W4/0,552.73,548.88,552.73,M,552.73
00/10-05-079-04W4/0,1707,1695,1707,F,520.2936
00/10-05-080-15W4/0,565.57,561.82,565.57,M,565.57
00/10-06-067-15W4/0,592.1,588,592.1,M,592.1
00/10-06-073-10W4/0,661.721,661.721,665.074,M,665.074
00/10-06-074-15W4/0,637.337,637.337,637.337,M,637.337
00/10-06-076-07W4/0,647.669,647.669,651.51,M,651.51
00/10-06-076-20W4/0,2109.8,2101.6,2109.8,F,643.06704
00/10-06-079-24W4/0,594.9,594.9,598.6,M,598.6
00/10-06-080-01W5/0,608.64,605,608.64,M,608.64
00/10-06-080-25W4/0,555.315,555.315,559.308,M,559.308
00/10-06-082-14W4/0,581.8,578,581.8,M,581.8
00/10-06-085-06W4/0,485.9,482.2,485.9,M,485.9
00/10-06-096-21W4/0,822.9,819.4,822.9,M,822.9
00/10-07-067-04W4/0,686.8,682.01,686.28,M,686.28
00/10-07-076-23W4/0,858.317,854.964,858.317,M,858.317
00/10-07-077-21W4/0,752.856,752.856,758.342,M,758.342
00/10-07-081-24W4/0,600.761,600.761,604.418,M,604.418
00/10-07-093-15W4/0,469.5,466,469.5,M,469.5
00/10-08-067-03W4/0,678.04,673.54,678.04,M,678.04
00/10-08-067-17W4/0,610,606.1,610,M,610
00/10-08-068-02W4/0,743.94,743.94,746.86,M,746.86
00/10-08-070-23W4/0,615.391,615.391,618.744,M,618.744
00/10-08-072-07W4/0,672.83,672.83,675.83,M,675.83
00/10-08-073-01W5/0,608.2,604.8,608.2,M,608.2
00/10-08-074-04W4/0,613.867,613.867,616.915,M,616.915
00/10-08-076-05W4/0,578.86,578.86,582.66,M,582.66
00/10-08-076-06W4/0,580.278,580.278,584.119,M,584.119
00/10-08-076-08W4/0,630.79,630.79,634.29,M,634.29
00/10-08-082-15W4/0,566.2,563,566.2,M,566.2
