,API,Well_MAE,well_rmse,Easting,Northing
480,490251066300,3.1006567382473804,3.1006567382473804,800435.5,956481.0
481,490250632900,4.214838275435795,4.214838275435795,808321.5,952091.8
482,490252305500,19.64491055979215,19.64491055979215,804360.5,943786.8
483,490251059600,9.398536497666555,10.174244053709424,792235.4,970261.3
484,490251101200,22.518451006692203,22.52605987019587,804919.7,940475.9
485,490252251700,2.092793526125206,2.4564188807433025,802788.5,959816.2
486,490251083800,4.645630479832107,4.645630479832107,805104.7,952228.2
487,490251107500,30.18028859010701,40.65607758756175,805379.6,954360.2
488,490252269300,2.780440127933616,2.780440127933616,802678.6,965315.4
489,490251084800,13.15616813189854,13.15616813189854,793489.1,971988.7
490,490251036800,9.788986867155245,10.123138059628078,796826.5,971432.1
491,490251073900,0.36996499636097724,0.36996499636097724,798849.6,958820.7
492,490251044400,9.629184926821836,11.46994093425168,792934.6,971937.3
493,490251064000,5.775271213677115,5.775271213677115,803738.6,948681.2
494,490251125000,1.464981078826895,1.464981078826895,802240.1,954808.9
495,490252244800,4.3384856335769655,4.3384856335769655,802586.9,956488.1
496,490250656900,2.715156311436658,2.715156311436658,802105.4,966241.5
497,490251123100,2.1122695831918463,2.1122695831918463,802941.0,956742.4
498,490251114700,7.871340242113547,7.871340242113547,803357.6,953572.7
499,490251132300,8.147445679448538,8.147445679448538,802594.0,953942.4
500,490251115500,6.727075515117576,6.733704706174773,801677.0,955691.7
501,490252267600,4.204620382475696,4.791763224742851,806753.0,947876.8
502,490251106800,4.715503735189486,4.715503735189486,805771.8,961273.3
503,490251088000,1.4287967795908116,1.4287967795908116,802664.1,952064.7
504,490252273800,1.7366318154599867,1.7366318154599867,801265.8,958902.0
505,490251105800,4.345001334617336,4.345001334617336,807367.5,951749.4
506,490251115100,6.459341284070433,6.459341284070433,803591.8,950855.1
507,490252267900,2.300257518678336,2.300257518678336,803183.4,960766.2
508,490251058400,18.50027584257259,18.50027584257259,795200.0,964215.5
509,490251086800,1.394381035526294,1.394381035526294,799591.9,951536.5
510,490251043900,3.115395913666134,3.115395913666134,801286.0,953409.1
511,490251025300,1.3563921671484422,1.3563921671484422,795588.8,968078.6
512,490251064400,29.219923592011583,35.097189425564856,798229.3,968165.9
513,490251042100,3.0349490444828007,3.0349490444828007,800398.8,966859.5
514,490251029000,0.32175946936604305,0.32175946936604305,800520.8,953229.0
515,490251022200,69.54824250094612,95.84576587346724,792973.9,976722.7
516,490250644200,3.3022027962788343,3.3022027962788343,806190.0,959157.0
517,490251076000,4.769302591873384,4.769302591873384,805004.2,947995.3
518,490252252000,3.375354336630153,3.375354336630153,801924.7,960191.1
519,490251027900,22.627642299883064,31.48492373039877,802949.5,959690.9
520,490250642400,4.469163367156398,4.469163367156398,806238.2,958513.6
521,490251040700,2.9003782097502153,3.683832384666147,802966.8,957861.5
522,490251043700,1.49794923493846,1.5031531705834553,793617.0,968663.8
523,490251123200,4.649883065667382,4.649883065667382,802952.5,957001.1
524,490252275300,3.905919539653951,3.905919539653951,803482.3,954248.8
525,490252244600,3.126035396849147,3.126035396849147,803616.1,955070.1
526,490251039400,4.542009701695861,4.542009701695861,800459.6,955844.7
527,490250636500,14.718336576826005,16.78626051645061,805695.7,955294.9
528,490251069900,21.10951566998301,24.111546689080143,800942.8,964770.5
529,490251055200,4.472605432533783,4.472605432533783,802311.6,958493.1
530,490250648100,4.384805385526306,4.384805385526306,804922.9,961081.2
531,490251068600,17.21165906537294,18.924761444414315,796147.3,966095.0
532,490251097100,13.19337373249391,22.464060070246045,793597.7,969666.7
533,490250635800,1.658117200228844,1.658117200228844,806985.3,954626.6
534,490251030700,1.6141456506156828,1.6141456506156828,800188.9,958487.0
535,490251036200,3.884600468386452,3.884600468386452,804102.8,958989.8
536,490251116400,6.625512684829118,8.348740222710683,802359.4,956255.6
537,490252248500,2.7946395737526473,2.7946395737526473,807294.6,956391.9
538,490251134300,2.6604833961864642,2.6604833961864642,801591.5,958336.8
539,490250632800,0.45769795424621407,0.45769795424621407,807051.6,952038.5
540,490251029900,2.718555803248819,2.718555803248819,804267.3,958516.1
541,490251123800,0.13846360882507724,0.13846360882507724,795112.5,963555.7
542,490251038200,2.9099012473093353,3.3981812060977385,795540.1,972659.6
543,490251032200,0.7417014272105007,0.7417014272105007,803613.2,959033.1
544,490251023000,11.415802901918141,11.947253969400142,804208.1,964322.4
545,490251128100,1.6064755298220916,1.6064755298220916,803236.9,958311.6
546,490251099500,3.7317743545436315,3.7317743545436315,801989.8,956037.9
