,Formation,n_train,n_holdout,MAE,RMSE,Std
0,1000,1195,396,33.3,47.19928145297082,47.1621095424379
1,2000,248,80,37.2,58.364402307153746,53.31606856013479
2,3000,284,78,4.5,12.468452107642277,12.418557414435455
3,4000,434,154,11.5,22.56772315032217,22.369585507573447
4,5000,1409,499,5.0,6.82663712099124,6.82127389736678
5,6000,324,101,5.3,14.079329794287272,13.973250296521229
6,7000,1195,381,3.1,11.247161077585265,11.13399804207559
7,8000,0,0,,,
8,9000,1336,447,5.6,34.572641474272054,34.38203945187343
9,9500,1342,441,4.5,18.116486375035375,17.92034995871949
10,10000,1349,482,3.0,9.976202412658425,9.887475527619234
11,11000,1380,417,4.5,16.960829327413073,16.803638917796636
12,12000,1321,462,4.6,16.95428868975971,16.764440062726997
13,13000,1437,443,7.3,36.90047714868603,36.795008832807355
14,14000,1559,540,27.1,37.18257492007431,37.042522752705494
